,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,AB569_EDTA_NaNO2__EDTA_NaNo2_wt,0.0,0.4569356716645032,2.0,0.0,-0.323102312,1.0,0.323102312,,,,,,,,,,,,
1,AB569_EDTA_NaNO2__NaNO2,-4.2951818565,0.11744682233232692,2.0,2.0,-4.212134412,3.0,-4.378229301,,,,,,,,,,,,
2,AB569_EDTA_NaNO2__EDTA,-0.531510108,0.24819710891448807,3.0,4.0,-0.508666909,5.0,-0.790339157,6.0,-0.29552425800000004,,,,,,,,,,
3,AB569_EDTA_NaNO2__NaNO2_EDTA,-5.093681761,0.17556399726740687,2.0,7.0,-5.217824254,8.0,-4.969539268,,,,,,,,,,,,
4,Anthranilate_metabolism_GntR_AntP__GntR_AntP_wt,0.0,0.06955094521576288,2.0,9.0,0.049179945,10.0,-0.049179945,,,,,,,,,,,,
5,Anthranilate_metabolism_GntR_AntP__antP,0.3846650185,0.26783360100464987,2.0,11.0,0.5740519740000001,12.0,0.195278063,,,,,,,,,,,,
6,Antibiotics_impregnated_catheters__PA01_Planktonic_Ctrl,0.0,0.15388281500767215,2.0,13.0,-0.108811582,14.0,0.108811582,,,,,,,,,,,,
7,Antibiotics_impregnated_catheters__PA01_Biofilm_Ctrl,0.3757126572499999,1.4668619550673574,4.0,15.0,2.413269996,16.0,0.47944124600000004,17.0,-0.70199236,18.0,-0.6878682530000001,,,,,,,,
8,Antibiotics_impregnated_catheters__PA01_Planktonic_Clin-Rif,1.3889191840000001,0.25453913743327733,4.0,19.0,1.432693079,20.0,1.184492955,21.0,1.731695055,22.0,1.206795647,,,,,,,,
9,Antibiotics_impregnated_catheters__PA01_Biofilm_Clin-Rif,-0.26623308133333334,0.4313390432943128,3.0,23.0,-0.670711359,24.0,0.18770302300000002,25.0,-0.315690908,,,,,,,,,,
