,doi,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,SRS_Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,strain_final,biosample_genotype,project,condition,refrence,condition_name_old,project_name_old,full_condition_name,replicate,refrence_condition_old,strain_description,base_media,carbon_source,aerobicity,nitrogen_source,supplement,temperature,growth_phase,OD,additional_notes,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_similar_replicates,passed_number_replicates,sample,n_replicates
SRX7442752,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768834,SRP238832,PRJNA597754,597754.0,SRS5887073,SAMN13683003,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734641.0,GSE142611,GSM4232895,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,EDTA_NaNo2_wt,EDTA_NaNo2_wt,EDTA_NaNo2_wt,AB569_PAO1,AB569_EDTA_NaNO2:EDTA_NaNo2_wt,1,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,2.0
SRX7442753,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768835,SRP238832,PRJNA597754,597754.0,SRS5887074,SAMN13683002,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734642.0,GSE142611,GSM4232896,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,EDTA_NaNo2_wt,EDTA_NaNo2_wt,EDTA_NaNo2_wt,AB569_PAO1,AB569_EDTA_NaNO2:EDTA_NaNo2_wt,2,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,2.0
SRX7442754,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768836,SRP238832,PRJNA597754,597754.0,SRS5887075,SAMN13683001,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734643.0,GSE142611,GSM4232897,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,NaNO2,EDTA_NaNo2_wt,NaNO2_1,AB569_PAO1,AB569_EDTA_NaNO2:NaNO2,1,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:NaNO2:1,2.0
SRX7442755,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768837,SRP238832,PRJNA597754,597754.0,SRS5887076,SAMN13682999,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734644.0,GSE142611,GSM4232898,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,NaNO2,EDTA_NaNo2_wt,NaNO2_3,AB569_PAO1,AB569_EDTA_NaNO2:NaNO2,2,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:NaNO2:2,2.0
SRX7442756,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768838,SRP238832,PRJNA597754,597754.0,SRS5887077,SAMN13682998,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734645.0,GSE142611,GSM4232899,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,EDTA,EDTA_NaNo2_wt,EDTA_1,AB569_PAO1,AB569_EDTA_NaNO2:EDTA,1,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:EDTA:1,3.0
SRX7442757,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768839,SRP238832,PRJNA597754,597754.0,SRS5887078,SAMN13682997,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734646.0,GSE142611,GSM4232900,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,EDTA,EDTA_NaNo2_wt,EDTA_2,AB569_PAO1,AB569_EDTA_NaNO2:EDTA,2,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:EDTA:2,3.0
SRX7442758,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768840,SRP238832,PRJNA597754,597754.0,SRS5887079,SAMN13682996,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734647.0,GSE142611,GSM4232901,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,EDTA,EDTA_NaNo2_wt,EDTA_3,AB569_PAO1,AB569_EDTA_NaNO2:EDTA,3,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:EDTA:3,3.0
SRX7442759,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768841,SRP238832,PRJNA597754,597754.0,SRS5887080,SAMN13682994,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734648.0,GSE142611,GSM4232902,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,NaNO2_EDTA,EDTA_NaNo2_wt,NaNO2_EDTA_1,AB569_PAO1,AB569_EDTA_NaNO2:NaNO2_EDTA,1,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:NaNO2_EDTA:1,2.0
SRX7442761,https://doi.org/10.1073/pnas.1911927117,2/19/20 16:57,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR10768843,SRP238832,PRJNA597754,597754.0,SRS5887082,SAMN13682995,SRA1016704,RNA-Seq,cDNA,TRANSCRIPTOMIC,University of British Columbia,0.0,9734650.0,GSE142611,GSM4232904,32071223,32071223.0,PA01,PAO1,wild type,NC_002516.2,AB569_EDTA_NaNO2,NaNO2_EDTA,EDTA_NaNo2_wt,NaNO2_EDTA_3,AB569_PAO1,AB569_EDTA_NaNO2:NaNO2_EDTA,2,EDTA_NaNo2_wt,,LB,,Aerobic,,,37.0,,,,1.0,1.0,1.0,1.0,1.0,AB569_EDTA_NaNO2:NaNO2_EDTA:2,2.0
SRX7874204,https://doi.org/10.1111/mmi.14584,3/9/20 5:15,208964.0,Pseudomonas aeruginosa PAO1,287,1236.0,208964.0,Pseudomonas aeruginosa,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR11267574,SRP252017,PRJNA611483,611483.0,SRS6282508,SAMN14332581,SRA1052330,RNA-Seq,PCR,TRANSCRIPTOMIC,Southern University of Science and Technology,0.0,10303907.0,,,,,PAO1,PAO1,wild type,NC_002516.2,Anthranilate_metabolism_GntR_AntP,GntR_AntP_wt,GntR_AntP_wt,GntR_AntP_wt,Anthranilate_GntR_AntP,Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt,1,GntR_AntP_wt,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,2.0
