k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,LexA,LexA,SOS response for DNA protection and repair,Stress Response,17,0.0034078988311511127,0.64705882,0.73333333,11
1,EatR,EatR,Ethanolamine utilization,Amino Acid and Nucleotide Biosynthesis,5,0.0016041511313535928,0.8,1.0,1
2,PrrF,PrrF,2-Oxocarboxylic acid metabolism,Amino Acid and Nucleotide Biosynthesis,11,0.0012963021466966262,0.18181799999999998,1.0,1
3,RpoS-2,RpoS or Sfa3,General stress response,Stress Response,104,0.02803783366763224,0.15384615000000001,0.53333333,11
4,CbrB,CbrB,Polyamine catabolism,Amino Acid and Nucleotide Biosynthesis,17,0.0052597866231696155,0.17647059,0.375,1
5,CueR,CueR,Copper adaptation/transport,Metal Homeostasis,13,0.0023332981389233565,0.84615385,1.0,3
6,Translational-2,,,Translational,57,0.0006968833084957105,,,5
7,PprB,PprB,Flp pilus assembly protein,Structural Components,20,0.008097713225746817,0.25,1.0,9
8,PhhR-1,PhhR or HmgR,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid and Nucleotide Biosynthesis,11,0.0036645461420719005,0.90909091,0.83333333,1
9,DhcR,DhcR,Carnitine catabolism,Amino Acid and Nucleotide Biosynthesis,6,0.002501428837905606,0.5,1.0,1
10,EutR,EutR,Ethanolamine catabolism,Amino Acid and Nucleotide Biosynthesis,5,0.0024377705458537013,1.0,1.0,1
11,ExsB,ExsB,T3SS system,Secretion System,39,0.009185979102101283,0.33333333,1.0,7
12,Singlet-1,,,Singlet,1,0.0007136320283707143,,,15
13,SoxR,SoxR,RND efflux pump,Antibiotic Resistance,8,0.0022459870124479364,0.75,0.8571428600000001,8
14,Singlet-2,,,Singlet,1,0.0011573008127475637,,,15
15,Singlet-3,,,Singlet,2,0.0009324583882460713,,,15
16,NagQ,NagQ or GbuR,N-acetylglucosamine catabolism,Carbon Source Utilization,17,0.0016160500291877433,0.35294118,0.75,0
17,ErbR-2,ErbR,PQQ biosynthesis,Miscellaneous Metabolism,16,0.003450258447749821,0.625,0.90909091,4
18,Uncharacterized-6,,,Uncharacterized,46,0.0026700300640394303,,,16
19,TagR1,TagR1,H1-Type VI secretion system,Secretion System,127,0.01140890632866709,0.17322835,1.0,7
20,GcsR,GcsR,Glycine cleavage,Amino Acid and Nucleotide Biosynthesis,5,0.0020478975984391523,1.0,1.0,1
21,BexR,BexR,Virulence factor AprA,Miscellaneous Metabolism,23,0.002772673412790305,0.34782609000000003,1.0,4
22,Uncharacterized-11,,,Uncharacterized,12,0.0015464120355070943,,,16
23,EsrC,EsrC,RND efflux pump,Antibiotic Resistance,13,0.0034407062394016252,0.23076923,1.0,8
24,Sfa2,Sfa2,H2-T6SS/Secretion system (VI),Secretion System,32,0.007381489022720622,0.5,1.0,7
25,Uncharacterized-5,,,Uncharacterized,8,0.0008633975590406351,,,16
26,MexS-1,MexS or MexZ,RND efflux pump,Antibiotic Resistance,27,0.012475226341339685,0.18518519,1.0,8
27,Translational-1,,,Translational,72,0.019194313567526655,,,5
28,Uncharacterized-8,,,Translational,11,0.002501744108502013,,,5
