,name,Log Odds Ratio,Adj. p-value,precision,recall,True Positives,n_genes,Annotation Method,Function,Category,TF,Regulator
0,TreR,7.942718,4.53E-06,0.5,0.666667,2,4,Fisher's Exact Test,Trehalose Metabolism,Carbon Source Utilization,TreR,TreR
1,Vim-3,--,--,--,--,--,16,Manual,Virulence Expression,Virulence,,
2,Unc-1,--,--,--,--,--,45,,,Uncharacterized,,
3,CymR,6.704874,6.45E-15,0.777778,0.368421,7,9,Fisher's Exact Test,Cysteine Metabolism,Amino Acid and Nucleotide Metabolism,CymR,CymR
4,SigB,2.445359,1.63E-17,0.353659,0.189542,29,82,Fisher's Exact Test,Stress Response,Stress Response,SigB,SigB
5,SaeR,4.507406,1.16E-14,0.37037,0.357143,10,27,Fisher's Exact Test,Virulence Expression,Virulence,SaeR,SaeR
6,Rex,6.792928,1.26E-15,0.888889,0.242424,8,9,Fisher's Exact Test,Redox Balance,Energy Metabolism,Rex,Rex
7,Translation,--,--,--,--,--,37,Manual,Translation Machinery Expression,Biological Enrichment,,
8,Fur,6.115722,6.29E-53,0.711111,0.680851,32,45,Fisher's Exact Test,Iron Metabolism,Metal Homeostasis,Fur,Fur
9,CodY,3.689258,4.71E-44,0.6,0.326531,48,80,Fisher's Exact Test,Amino Acid Metabolism,Amino Acid and Nucleotide Metabolism,CodY,CodY
10,Guanine Responsive (GR),7.249215,9.05E-06,0.5,0.5,2,4,Fisher's Exact Test,Purine Salvage,Amino Acid and Nucleotide Metabolism,Guanine Riboswitch,Guanine Riboswitch
11,NreC/Rex,6.808073,5.33E-25,0.866667,0.393939,13,15,Fisher's Exact Test,Redox Balance,Energy Metabolism,NreC/Rex,NreC/Rex
12,Urease,--,--,--,--,--,13,Manual,Urea Metabolism,Miscellaneous Metabolism,,
13,FMN,inf,1.90E-12,1,0.8,4,4,Fisher's Exact Test,Riboflaving Biosynthesis,Miscellaneous Metabolism,,
14,CcpA-1,4.821252,1.56E-65,0.753425,0.454545,55,73,Fisher's Exact Test,Glucose Dependent Carbon Metabolism,Carbon Source Utilization,CcpA,CcpA
15,PurR,9.037415,1.60E-29,0.857143,0.857143,12,14,Fisher's Exact Test,Purine Metabolism,Amino Acid and Nucleotide Metabolism,PurR,PurR
16,SigS,--,--,--,--,--,137,Manual,Stress Response,Stress Response,SigS,SigS
17,SNFR,--,--,--,--,--,49,Manual,,Genomic Strain Difference,,
18,LacR,inf,8.51E-14,0.555556,1,5,9,Fisher's Exact Test,Lactose Metabolism,Carbon Source Utilization,LacR,LacR
19,PyrR,inf,4.58E-22,0.8,1,8,10,Fisher's Exact Test,Pyrimidine Metabolism,Amino Acid and Nucleotide Metabolism,PyrR,PyrR
20,CcpA-2,3.293127,9.75E-10,0.526316,0.082645,10,19,Fisher's Exact Test,Glucose Independent Carbon Metabolism,Carbon Source Utilization,CcpA,CcpA
21,Gal/Man.,--,--,--,--,--,15,Manual,Galactose/Mannose Metabolism,Carbon Source Utilization,,
22,VraR,5.15293,3.73E-23,0.652174,0.333333,15,23,Fisher's Exact Test,Cell Wall Biosynthesis,Structural Components,VraR,VraR
23,Phi-Sa3,5.438846,3.27E-61,0.716667,0.589041,43,60,Fisher's Exact Test,Prophage Expression,Mobile Elements,,
24,Autolysin,4.23104,2.67E-12,0.785714,0.071895,11,14,Fisher's Exact Test,Autolysin Expression,Biological Enrichment,,
25,B-Lactam Resistance,--,--,--,--,--,6,Manual,B-lactam Resistance,Stress Response,,
26,MntR,7.942007,2.14E-08,0.5,0.75,3,6,Fisher's Exact Test,Manganese Acquisition,Metal Homeostasis,MntR,MntR
27,PerR,6.06593,1.35E-08,0.666667,0.235294,4,6,Fisher's Exact Test,Oxidative Stress Response,Stress Response,PerR,PerR
28,Agr,2.391616,7.74E-06,0.363636,0.054422,8,22,Fisher's Exact Test,Quorum Sensor/ Virulence Expression,Virulence,AgrA,AgrA
