locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Lrp,link
b2670,0.2040851162,alaE,L-alanine exporter,"Intracellular trafficking, secretion, and vesicular transport",alaE,"RpoD,Lrp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7399
b1190,0.14963746990000001,dadX,alanine racemase 2,Amino acid transport and metabolism,dadAX,"RpoD,Crp,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11408
b1634,0.14239700360000002,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,"Intracellular trafficking, secretion, and vesicular transport",dtpA,"RpoD,YfeC,YdcI,GadX,OmpR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6877
b1189,0.1422969905,dadA,D-amino acid dehydrogenase,Amino acid transport and metabolism,dadAX,"RpoD,YddM,Crp,ppGpp,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11407
b2209,0.1343117913,eco,serine protease inhibitor ecotin,Cell wall/membrane/envelope biogenesis,eco,Lrp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10255
b1244,0.1268006399,oppB,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB,Amino acid transport and metabolism,oppABCDF,"FliA,ArcA,ModE,Lrp,Fur,gcvB,Spermidine",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10675
b2845,0.1252570206,yqeG,putative transporter YqeG,Amino acid transport and metabolism,yqeG,"ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7465
b1245,0.1170094911,oppC,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC,Amino acid transport and metabolism,oppABCDF,"FliA,ArcA,ModE,Lrp,Fur,Nac,gcvB,Spermidine",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10676
b2796,0.11695482700000001,sdaC,serine:H(+) symporter SdaC,Amino acid transport and metabolism,sdaCB,"omrA,omrB,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12142
b1246,0.11603419940000001,oppD,murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD,Inorganic ion transport and metabolism,oppABCDF,"FliA,ArcA,ModE,Lrp,Fur,gcvB,Spermidine",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10677
b2797,0.10955655,sdaB,L-serine deaminase II,Amino acid transport and metabolism,sdaCB,"omrA,omrB,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11623
b1243,0.1079310597,oppA,oligopeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,oppABCDF,"YciT,gcvB,FliA,ArcA,ModE,Lrp,Fur,Nac,Spermidine",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10674
b1247,0.1073951979,oppF,murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF,Inorganic ion transport and metabolism,oppABCDF,"FliA,ArcA,ModE,Lrp,Fur,gcvB,Spermidine",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10678
b3617,0.09445657,kbl,2-amino-3-ketobutyrate CoA ligase,Coenzyme transport and metabolism,kbl-tdh,"RpoD,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10512
b1798,0.0905213978,leuE,leucine exporter,Amino acid transport and metabolism,leuE,"Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6984
b3616,0.0901239502,tdh,threonine dehydrogenase,Amino acid transport and metabolism,kbl-tdh,"RpoD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10993
b4045,0.0767631416,yjbJ,putative stress response protein,Function unknown,yjbJ,"Lrp,FliZ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11928
b1605,0.0745397153,ydgI,putative arginine:ornithine antiporter,Amino acid transport and metabolism,ydgI-folM,"ppGpp,ArgR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6861
b1534,0.07416458520000001,ydeE,dipeptide exporter,Amino acid transport and metabolism,ydeE,"Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11640
b3496,0.0727728574,dtpB,dipeptide/tripeptide:H(+) symporter DtpB,"Intracellular trafficking, secretion, and vesicular transport",dtpB,"YfeC,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12232
b4129,0.071978915,lysU,lysine--tRNA ligase/Ap4A synthetase/Ap3A synthetase,"Translation, ribosomal structure and biogenesis",lysU,"RpoD,YeiE,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10553
b3673,0.0699819032,emrD,multidrug efflux pump EmrD,Amino acid transport and metabolism,emrD,"RpoN,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11693
b3089,0.0680431892,sstT,serine/threonine:Na(+) symporter,Amino acid transport and metabolism,sstT,"gcvB,Lrp,OmpR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12732
b0381,0.062399511500000004,ddlA,D-alanine--D-alanine ligase A,Nucleotide transport and metabolism,ddlA,"YdcI,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10213
b1814,0.0598666476,sdaA,L-serine deaminase I,Amino acid transport and metabolism,sdaA,"RpoH,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10930
b0078,-0.0888660369,ilvH,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,ilvIH,"RpoD,H-NS,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10499
b0077,-0.0907101491,ilvI,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,ilvIH,"RpoD,YeiE,dsrA,H-NS,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10500
b3774,-0.09801561880000001,ilvC,ketol-acid reductoisomerase (NADP(+)),Amino acid transport and metabolism,ilvC,"RpoD,gcvB,IlvY",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10495
b2669,-0.1155026717,stpA,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,stpA,"RpoD,StpA,Lrp,H-NS,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11554
b3829,-0.1347286036,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,metE,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
