k,Name,Regulator,Function,Category,category_num
0,YieP,YieP,Unknown,Regulator Discovery,7
1,GlpR,GlpR,Glycerol catabolism,Carbon Source Utilization,0
2,YgbI,YgbI,Unknown Function,Regulator Discovery,7
3,efeU-repair,,Accounts for repair and expression of efeU operon,Genomic Alterations,9
4,ydcI-KO,,Accounts for ydcI knock-out,Genomic Alterations,9
5,BW25113,,Transcriptional difference between BW25113 and MG1655,Genomic Alterations,9
6,proVWX,,Glycine betaine transport,Biological Enrichment,8
7,DhaR/Mlc,DhaR or Mlc,Dihydroxyacetone kinase and phosphotransferase systems,Carbon Source Utilization,0
8,ArgR,ArgR,Arginine biosynthesis,Amino Acid and Nucleotide Biosynthesis,1
9,YneJ,YneJ,Unknown Function,Regulator Discovery,7
10,NarL,NarL,Nitrate respiration,Energy Metabolism,2
11,e14-deletion,,Removal of e14 prophage,Genomic Alterations,9
12,MalT,MalT,Maltose catabolism,Carbon Source Utilization,0
13,OxyR,OxyR,Peroxide reductases,Stress Response,6
14,Crp-2,Crp,Various carbon source catabolism,Carbon Source Utilization,0
15,AtoC,AtoC,Acetoacetate degradation,Miscellaneous Metabolism,4
16,PurR-1,PurR,Purine Biosynthesis,Amino Acid and Nucleotide Biosynthesis,1
17,yheO-KO,,Accounts for yheO knock-out,Genomic Alterations,9
18,CsqR,CsqR,Sulfoquinovose catabolism,Miscellaneous Metabolism,4
19,MetJ,MetJ,Methionine biosynthesis,Amino Acid and Nucleotide Biosynthesis,1
20,entC-menF-KO,,Accounts for entC and menF knock-outs,Genomic Alterations,9
21,uncharacterized-6,,Unknown Function,Uncharacterized,10
22,PurR-2,PurR,Pyrimidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,1
23,Cbl+CysB,Cbl and CysB,Aliphatic sulfonate utilization,Miscellaneous Metabolism,4
24,GlcC,GlcC,Glycolate catabolism,Carbon Source Utilization,0
25,Crp-1,Crp,Miscellaneous functions,Miscellaneous Metabolism,4
26,YiaJ,YiaJ,Ascorbate utilization,Carbon Source Utilization,0
27,GcvA,GcvA,Glycine cleavage system,Miscellaneous Metabolism,4
28,XylR,XylR,Xylose catabolism,Carbon Source Utilization,0
29,fur-KO,,Accounts for fur knock-out,Genomic Alterations,9
30,RpoH,RpoH,Heat shock response,Stress Response,6
31,GadEWX,GadE and GadW and GadX,Acid stress response,Stress Response,6
32,translation,,Enriched in translation machinery,Biological Enrichment,8
33,PrpR,PrpR,Propionate catabolism,Carbon Source Utilization,0
34,GadWX,GadW and GadX,Acid stress response,Stress Response,6
35,fimbriae,,Fimbriae assembly,Biological Enrichment,8
36,CecR,CecR,Related to antibiotic sensitivity,Stress Response,6
37,uncharacterized-4,,Unknown Function,Uncharacterized,10
