locus,gene_weight,gene_name,gene_product,cog,regulator,FucR,AllR,AraC,link
b0509,0.3053527394964554,glxR,tartronate semialdehyde reductase 2,Lipid transport and metabolism,"RpoD,AllR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6278
b0508,0.3036957234300262,hyi,hydroxypyruvate isomerase,Carbohydrate transport and metabolism,"RpoD,AllR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6277
b0507,0.2548028125850018,gcl,glyoxylate carboligase,Function unknown,"RpoD,AllR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11583
b0512,0.2240100669029561,allB,allantoinase,Nucleotide transport and metabolism,"RpoD,AllR,ppGpp",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6281
b0063,0.1851173212233637,araB,ribulokinase,Nucleotide transport and metabolism,"RpoD,AraC,Crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b0061,0.1803346685905855,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b0062,0.1734764043795577,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,"RpoD,AraC,Crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
b0505,0.1684021476289978,allA,ureidoglycolate lyase,Nucleotide transport and metabolism,"YcjW,AllR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6275
b0511,0.1575317147372951,ybbW,putative allantoin transporter,Nucleotide transport and metabolism,"RpoD,YeiE,AllR,Nac",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6280
b1901,0.1416930871382417,araF,arabinose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,"RpoD,RpoS,AraC,Crp,Nac,spf",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10057
b2801,0.1292584104462585,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,"RpoD,FucR,Crp,spf",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.1154027311096411,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,"RpoD,FucR,Crp,spf",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2800,0.114136726754948,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,"RpoD,FucR,Crp,Nac",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2803,0.1035826280355302,fucK,L-fuculokinase,Nucleotide transport and metabolism,"RpoD,FucR,Crp,spf",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
b2841,0.1030187693375575,araE,arabinose:H(+) symporter,Amino acid transport and metabolism,"RpoD,AraC,Crp,Nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10056
b1900,0.1021823874701986,araG,arabinose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,RpoS,AraC,Crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10058
b2799,0.1008997535912171,fucO,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,"RpoD,YdcN,FucR,Crp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b0513,0.094119868677685,ybbY,putative purine transporter,Nucleotide transport and metabolism,"RpoD,AllR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6282
b4460,0.0921879152821749,araH,arabinose ABC transporter membrane subunit,Carbohydrate transport and metabolism,"RpoD,RpoS,AraC,Crp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10059
b2804,0.081092230921072,fucU,L-fucose mutarotase,Carbohydrate transport and metabolism,"RpoD,FucR,ppGpp,Crp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10355
