,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,2AA__WT,1.3877787807814457e-17,0.28814517287333574,4.0,0.0,-0.1687645962,1.0,-0.1848501941,2.0,0.42571513790000004,3.0,-0.0721003476
1,2AA__del_ridA,0.1475684907,0.23345474574725592,4.0,4.0,-0.0051931755,5.0,0.4899633685,6.0,0.10251431280000001,7.0,0.002989457
2,GC_MS__WT,3.333333146541643e-11,0.13897899956804222,3.0,8.0,-0.160475366,9.0,0.0792863717,10.0,0.0811889944,,
3,GC_MS__del_slyA,-0.2286193457,0.09003586925466639,2.0,11.0,-0.2922843194,12.0,-0.16495437200000002,,,,
4,Rho__WT,-1.850371707708594e-17,0.302004889572023,3.0,13.0,0.2722957022,14.0,-0.32482281300000004,15.0,0.0525271108,,
5,Rho__rho_Y80C,-2.1213506536,0.3493902196035461,3.0,16.0,-2.5240602693,17.0,-1.8989661139,18.0,-1.9410255776,,
6,Rho__rho_K130Q,4.722182352066667,0.41568511667812386,3.0,19.0,5.0050554315,20.0,4.2449166416,21.0,4.9165749831,,
7,flagella__WT,0.0,0.7249095189553413,2.0,22.0,-0.5125884366,23.0,0.5125884366,,,,
8,flagella__del_rfaL,-0.5932266918,0.15240521879759658,2.0,24.0,-0.7009934555,25.0,-0.4854599281,,,,
9,flagella__del_rfaG,-3.93973710465,0.2274116005225764,2.0,26.0,-3.7789328198,27.0,-4.1005413895,,,,
10,flagella__del_rfaD,-5.2532534279,0.6931209437386232,2.0,28.0,-5.7433639474,29.0,-4.7631429084,,,,
11,nusG__WT_OD08,0.0,0.16118214141398804,2.0,30.0,0.1139729852,31.0,-0.1139729852,,,,
12,omv__spi2_ind_lowOD_intracellularRNAs,-0.030011398166666686,1.1260975592351568,3.0,32.0,1.267976325,33.0,-0.7462110318,45.0,-0.6117994877,,
13,omv__spi2_ind_highOD_intracellularRNAs,2.725102666833333,0.6210984366128709,3.0,34.0,3.2008320693,36.0,2.9520222378,37.0,2.0224536934,,
14,omv__spi1_ind_highOD_intracellularRNAs,3.9347168129666663,0.26673492001887833,3.0,35.0,3.7858346603,41.0,3.7756560777,42.0,4.2426597009,,
15,omv__controlPCN_highOD_intracellularRNAs,0.39347363356666665,0.6180932938662892,3.0,38.0,1.0958022196,39.0,-0.0676462771,40.0,0.1522649582,,
16,omv__controlPCN_lowOD_intracellularRNAs,-9.25185853854297e-18,0.2395891742474958,3.0,43.0,-0.09465995890000001,44.0,0.2724579243,46.0,-0.1777979654,,
17,sv5015__STM1625,2.0166377261333337,0.2152673891082477,3.0,47.0,1.8960280755,48.0,1.8887138795,49.0,2.2651712234,,
18,sv5015__STM0581,1.7002420499333333,0.42939835885638533,3.0,50.0,2.0615523495,51.0,1.8136516909,52.0,1.2255221094,,
19,sv5015__WT,9.25185853854297e-18,0.15287976537803455,3.0,53.0,0.15276365420000002,54.0,0.00023195840000000002,55.0,-0.1529956126,,
20,tomato__tomato_root,0.4280528776333334,0.07874375953649064,3.0,56.0,0.40509976880000004,57.0,0.5157229079,58.0,0.36333595620000003,,
21,tomato__LB,0.0,0.724077611221388,2.0,59.0,-0.512000189,60.0,0.512000189,,,,
22,AcrB_efflux_virulence__AcrB_D408A,-1.2608749165666666,0.4571372793856757,3.0,61.0,-1.7401870761,62.0,-0.8297263239,63.0,-1.2127113497,,
23,AcrB_efflux_virulence__WT,3.33333360913457e-11,0.3076837314814414,3.0,64.0,0.31865053860000003,65.0,-0.0232530299,66.0,-0.2953975086,,
24,Chlortetracycline_florfenicol_MDR__5317_Chlortetracycline_0,0.047323428766666654,0.6748977737145314,3.0,67.0,0.8049785469,74.0,-0.1735293018,75.0,-0.48947895880000003,,
25,Chlortetracycline_florfenicol_MDR__1434_Chlortetracycline_16,4.852106753,0.37131587726881443,3.0,68.0,5.2783412771,69.0,4.6792210527,71.0,4.5987579292,,
26,Chlortetracycline_florfenicol_MDR__1434_Chlortetracycline_0,0.2835931324,0.5928595105042999,3.0,70.0,-0.23444389570000002,106.0,0.9301818044,107.0,0.15504148850000002,,
27,Chlortetracycline_florfenicol_MDR__5317_Chlortetracycline_32,3.7451906945999998,1.0185048451200949,3.0,72.0,4.553309626,79.0,4.0811041771,110.0,2.6011582807,,
28,Chlortetracycline_florfenicol_MDR__530_Florfenicol_0,4.792557950933333,0.6260904617698628,3.0,73.0,5.5154080842,76.0,4.4208844724,109.0,4.4413812962,,
29,Chlortetracycline_florfenicol_MDR__5317_Chlortetracycline_16,4.059869194533333,0.9883222096778345,3.0,77.0,4.7070948726,78.0,4.5502618723,86.0,2.9222508387,,
30,Chlortetracycline_florfenicol_MDR__530_Chlortetracycline_32,2.75650865145,0.09793292440753863,2.0,80.0,2.8257576864000002,95.0,2.6872596165,,,,
31,Chlortetracycline_florfenicol_MDR__530_Chlortetracycline_16,3.47688565755,0.31732761093519135,2.0,81.0,3.7012701631000002,82.0,3.252501152,,,,
32,Chlortetracycline_florfenicol_MDR__530_Chlortetracycline_0,2.131412722033333,1.7800888458944373,3.0,83.0,3.6514770448,84.0,0.173144507,85.0,2.5696166143,,
33,Chlortetracycline_florfenicol_MDR__1306_Chlortetracycline_0,2.233431721366667,1.4477101095387719,3.0,87.0,1.9562294457,100.0,0.9443656238,101.0,3.7997000946,,
34,Chlortetracycline_florfenicol_MDR__5317_Florfenicol_0,3.33333360913457e-11,0.8343554812678493,3.0,88.0,-0.6608319115,89.0,-0.2767289673,90.0,0.9375608789000001,,
35,Chlortetracycline_florfenicol_MDR__1434_Florfenicol_16,2.9183161248666667,0.5963487343134635,3.0,91.0,3.60485584,92.0,2.5289027133,93.0,2.6211898213,,
36,Chlortetracycline_florfenicol_MDR__1434_Florfenicol_0,0.23775339773333334,0.40132990876779406,3.0,94.0,-0.2250605666,119.0,0.489608399,120.0,0.44871236080000004,,
37,Chlortetracycline_florfenicol_MDR__5317_Florfenicol_16,3.0143471068,1.0230984898575644,2.0,96.0,3.7377869867999998,97.0,2.2909072268,,,,
38,Chlortetracycline_florfenicol_MDR__1306_Chlortetracycline_16,3.2336648274,0.2976285285513804,3.0,98.0,3.3199985113,99.0,3.4785823694,105.0,2.9024136015,,
39,Chlortetracycline_florfenicol_MDR__1306_Chlortetracycline_32,3.7284054937666666,0.36764164274087596,3.0,102.0,3.6227486552,103.0,3.4251610949,104.0,4.1373067312,,
40,Chlortetracycline_florfenicol_MDR__530_Florfenicol_16,2.544469403766667,0.6012390627304717,3.0,108.0,3.0489739117,111.0,1.8791859020000001,112.0,2.7052483976,,
41,Chlortetracycline_florfenicol_MDR__1306_Florfenicol_0,2.7389858802666667,1.4236816287429666,3.0,113.0,2.2356434354,114.0,4.345963034,115.0,1.6353511714,,
42,Chlortetracycline_florfenicol_MDR__1306_Florfenicol_16,2.6423627795333333,0.15776100042809377,3.0,116.0,2.5529674061,117.0,2.8245191279,118.0,2.5496018046,,
43,OPG__del_opgGH,1.8553563599333334,0.6838712566327716,3.0,121.0,1.0696436192,122.0,2.3165611936,123.0,2.179864267,,
44,OPG__del_opgGH_pBK16,-0.2627156683333333,0.19744913337201245,3.0,124.0,-0.4584065062,125.0,-0.0635540007,126.0,-0.2661864981,,
45,OPG__WT,-3.333333146541643e-11,0.23554336639762016,3.0,127.0,0.2481013732,128.0,-0.2205647214,129.0,-0.0275366519,,
46,PinT__pinT+_1h,0.0,0.7235257652903602,2.0,130.0,0.511609975,131.0,-0.511609975,,,,
47,cold_shock_protein__WT_RNAseq,0.0,0.8453801931071238,3.0,132.0,-0.5389401498,133.0,0.9743284345000001,134.0,-0.4353882847,,
48,cold_shock_protein__DeltaCspCE_RNAseq,-3.0704264815333335,0.7087374441588689,3.0,135.0,-2.3784859735,136.0,-3.7948442415,137.0,-3.0379492296,,
49,dephostatin__LB_DMSO,0.0,0.5106396925246834,3.0,138.0,-0.3456795684,139.0,-0.2408414005,140.0,0.5865209689,,
50,dephostatin__LB_Dephostatin,-0.6363371123666667,0.4734964990160742,3.0,141.0,-0.5074258864,142.0,-1.1609398284,143.0,-0.2406456223,,
51,dephostatin__LPM_DMSO,-8.676094549350001,0.17174912061543518,2.0,144.0,-8.7975395172,145.0,-8.5546495815,,,,
52,dephostatin__LPM_Dephostatin,-8.427087861133334,0.6112029592498958,3.0,146.0,-8.2832557612,147.0,-9.0973794643,148.0,-7.9006283579000005,,
53,efflux_inhibition__Chlorpromazine,-1.8779979403249998,0.6702912855837818,4.0,149.0,-2.8690324782000003,150.0,-1.3879642842,151.0,-1.6208702286999999,157.0,-1.6341247702000001
54,efflux_inhibition__PABN,-1.1054775869,0.3903716170789514,3.0,152.0,-0.6616444386,153.0,-1.259209839,158.0,-1.3955784831,,
55,efflux_inhibition__no_treatment,0.0,0.038873919601804655,3.0,154.0,-0.0352409615,155.0,-0.00645726,156.0,0.0416982215,,
56,fis_regulatory_network__GX_EE,-0.16154682615000002,0.38781559086427997,2.0,159.0,0.112680208,160.0,-0.43577386030000004,,,,
57,fis_regulatory_network__GX_TS,8.84122077615,0.615941431107699,2.0,161.0,9.2767571389,162.0,8.4056844134,,,,
58,fis_regulatory_network__WT_EE,0.0,0.08482161138287365,2.0,163.0,0.059977936600000004,164.0,-0.059977936600000004,,,,
59,fis_regulatory_network__WT_TS,8.390803622349999,0.6479707131094858,2.0,165.0,8.8489881076,166.0,7.9326191371,,,,
60,fis_regulatory_network__OX_EE,0.013359689950000003,0.31114890594148603,2.0,167.0,-0.2066558114,168.0,0.2333751913,,,,
61,fis_regulatory_network__OX_TS,11.85527317745,0.6398713632625069,2.0,169.0,11.4028157974,170.0,12.3077305575,,,,
62,persisters__rep,0.0,0.6574379523272549,2.0,171.0,-0.46487883430000004,172.0,0.46487883430000004,,,,
63,proQ_pulse_expression__empty_vector,0.0,0.4769925037828456,2.0,173.0,0.337284634,174.0,-0.337284634,,,,
64,proQ_pulse_expression__long_STnc540_overexpression,-0.0211769196,0.05232939717804529,2.0,175.0,0.015825552,176.0,-0.0581793912,,,,
65,proQ_pulse_expression__short_STnc540_overexpression,0.15563007115,0.28950409767883944,2.0,177.0,-0.049080239500000004,178.0,0.3603403818,,,,
66,proQ_virulence__dhfq_dproQ_LB,-6.8324064476999995,0.7677798528069018,3.0,179.0,-7.5390614084,180.0,-6.9427221246,181.0,-6.0154358101,,
67,proQ_virulence__dhfq_dproQ_SPI-2,-7.179325347533333,0.07795021773140803,3.0,182.0,-7.1200860433,183.0,-7.267632861,184.0,-7.1502571383,,
68,proQ_virulence__dhfq_LB,-5.2870340031,0.20054773240121468,3.0,185.0,-5.0557094448,186.0,-5.4119755342,187.0,-5.3934170303,,
69,proQ_virulence__dhfq_SPI-2,-6.7512297829,0.11702875889444497,3.0,188.0,-6.8797513616,189.0,-6.6508112383,190.0,-6.7231267488,,
70,proQ_virulence__dproQ_LB,-0.6088939554333334,1.610155265774736,3.0,191.0,-2.1885924482,192.0,-0.6681704264,193.0,1.0300810083,,
71,proQ_virulence__dproQ_SPI-2,-6.7296931136,0.21690901393412831,3.0,194.0,-6.4851464972,195.0,-6.8988410911999996,196.0,-6.8050917524,,
72,proQ_virulence__WT_LB,-3.33333360913457e-11,1.6697029846665052,3.0,197.0,0.2145513909,198.0,1.5520566499,199.0,-1.7666080409,,
73,proQ_virulence__WT_SPI-2,-6.220670982833333,0.1172827137322745,3.0,200.0,-6.2295430448,201.0,-6.0992041874,202.0,-6.3332657163,,
74,rcsB__del_rcsB_S207C,-0.66821264015,1.278485556358286,2.0,203.0,0.2358131664,211.0,-1.5722384467000001,,,,
75,rcsB__del_rcsB_WT,-1.850371707708594e-17,0.2817085878289176,3.0,204.0,-0.1405059683,212.0,-0.1838203972,218.0,0.3243263655,,
76,rcsB__del_rcsB,-0.8634129724,0.620664120436736,2.0,205.0,-1.3022887808,213.0,-0.424537164,,,,
77,rcsB__del_rcsB_H12A,-0.8055926736666666,0.840260678790392,3.0,206.0,-1.1792983927,214.0,0.15669299080000001,219.0,-1.3941726191,,
78,rcsB__del_rcsB_D56A,-1.2723704405666667,1.5542508737107665,3.0,207.0,-0.037324324400000004,215.0,-0.7622004568,220.0,-3.0175865405,,
79,rcsB__del_rcsB_M88A,-0.57384468725,0.3565049597275675,2.0,208.0,-0.32175761270000003,221.0,-0.8259317618,,,,
80,rcsB__del_rcsB_H77A,-1.0764886157333333,0.7121309670410836,3.0,209.0,-0.92344337,216.0,-0.4533231804,222.0,-1.8526992968,,
81,rcsB__del_rcsB_L108A,-1.3440925943666666,0.5762902570228652,3.0,210.0,-1.3555240137,217.0,-0.7621716675,223.0,-1.9145821019,,
82,ribodepletion__RiboZero,0.0,0.2087393757592323,2.0,224.0,0.1476010281,225.0,-0.1476010281,,,,
83,single_carbon_source__mucic,0.0,0.5257416080442371,2.0,226.0,0.3717554562,227.0,-0.3717554562,,,,
84,single_carbon_source__tartarate,1.120612095,0.061816820405330264,2.0,228.0,1.0769010021,229.0,1.1643231879,,,,
85,ssrA_ssrB_TCS__ssrB_minus,4.625929269271485e-18,0.07871519049093653,3.0,230.0,0.034789433700000004,231.0,-0.0901157777,232.0,0.055326344000000006,,
86,ssrA_ssrB_TCS__ssrB_plus,-1.0335844375666667,0.0563210267277405,3.0,233.0,-1.0873509783,234.0,-1.0383859802,235.0,-0.9750163542,,
87,yedF__WT,0.0,0.3085376511789428,2.0,236.0,-0.2181690654,237.0,0.2181690654,,,,
88,yedF__del_yedF,-1.1931658158000003,1.0769908136868138,3.0,238.0,-0.9732480036000001,239.0,-2.3631418584,240.0,-0.24310758540000002,,
