locus,gene_weight,gene_name,gene_product,cog,operon,regulator,AhrC,YlxR,link
BSU_11230,0.23681181,carA,carbamoyl-phosphate transferase-arginine (subunit A),Nucleotide transport and metabolism,argC->argF,"SigA,AhrC,CodY,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11230
BSU_11240,0.229764393,carB,carbamoyl-phosphate transferase-arginine (subunit B),Amino acid transport and metabolism,argC->argF,"SigA,AhrC,CodY,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11240
BSU_11220,0.22654986100000002,argD,acetylornithine transaminase,Amino acid transport and metabolism,argC->argF,"SigA,AhrC,CodY,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11220
BSU_11250,0.22178118,argF,ornithine carbamoyltransferase,Amino acid transport and metabolism,argC->argF,"SigA,AhrC,CodY,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11250
new_3014345_3014422_c,0.217874231,S1118,5'UTR of argG,No COG category,,"AhrC,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3014345_3014422_c
BSU_11210,0.21515646300000002,argB,N-acetylglutamate 5-phosphotransferase,Amino acid transport and metabolism,argC->argF,"SigA,AhrC,CodY,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11210
BSU_11200,0.20754285900000002,argJ,N-acetylglutamate synthase,Amino acid transport and metabolism,argC->argF,"SigA,AhrC,CodY,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11200
BSU_11190,0.205492268,argC,N-acetyl-g-glutamyl-phosphate reductase,Amino acid transport and metabolism,argC->argF,"SigA,AhrC,CodY,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11190
BSU_29450,0.186811882,argG,"argininosuccinate synthase, reversible",Amino acid transport and metabolism,argG->argH,"AhrC,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29450
BSU_29440,0.17687738,argH,argininosuccinate lyase,Amino acid transport and metabolism,argG->argH,"AhrC,YlxR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29440
BSU_23980,0.152483516,artP,high affinity arginine [SW|ABC transporter] (ATP-binding protein),Amino acid transport and metabolism,artP->artR,YlxR,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23980
new_2491949_2492028_c,0.145862655,S909,intergenic region,No COG category,,YlxR,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2491949_2492028_c
BSU_23970,0.125527799,artQ,high affinity arginine [SW|ABC transporter] (permease),Amino acid transport and metabolism,artP->artR,YlxR,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23970
BSU_29430,0.125237433,ytzD,unknown,No COG category,,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29430
BSU_23960,0.12292370300000001,artR,high affinity arginine [SW|ABC transporter ](ATP-binding protein),No COG category,artP->artR,YlxR,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23960
