,A,rpoS
R2,,0.4887609033849104
xmin,,-5.4711761313
xmid,,-1.5470473072507966
xmax,,3.5753102223
ystart,,-10.559777453037686
yend,,30.550076289656104
2AA:WT:1.0,-0.2541016901,-0.1774098174
2AA:WT:2.0,0.0770614248,-0.3852343803
2AA:WT:3.0,-0.3704949229,0.8243980235
2AA:WT:4.0,0.5475351882,-0.2617538258
2AA:del_ridA:1.0,0.2070622302,1.0952402963
2AA:del_ridA:2.0,0.5710628379,0.9129294646
2AA:del_ridA:3.0,0.11977778110000001,1.0153315673
2AA:del_ridA:4.0,0.8998994305,1.0356137869
GC_MS:WT:1.0,0.0805952375,-0.09208468560000001
GC_MS:WT:2.0,-0.1898733807,0.0658394257
GC_MS:WT:3.0,0.10927814320000001,0.02624526
GC_MS:del_slyA:1.0,3.1046166165,0.420092542
GC_MS:del_slyA:2.0,3.4562910481999998,0.7444177077
Rho:WT:1.0,0.20697063770000002,0.0462747638
Rho:WT:2.0,-0.7701326841,-0.1820051128
Rho:WT:3.0,0.5631620464,0.135730349
Rho:rho_Y80C:1.0,0.432886239,-0.10538784570000001
Rho:rho_Y80C:2.0,1.5087041759000002,0.1738754739
Rho:rho_Y80C:3.0,1.4345662011,0.1210323819
Rho:rho_K130Q:1.0,-5.2453882175,0.059727558300000004
Rho:rho_K130Q:2.0,-6.4177594529,0.3538334327
Rho:rho_K130Q:3.0,-6.0477422665,0.0210396245
flagella:WT:1.0,-0.016051060500000002,0.0646937841
flagella:WT:2.0,0.016051060500000002,-0.0646937841
flagella:del_rfaL:1.0,-3.6642295226,0.3834575494
flagella:del_rfaL:2.0,-3.0843936984,0.2263574194
flagella:del_rfaG:1.0,0.4281262221,-0.3378503954
flagella:del_rfaG:2.0,1.155999135,-0.3119820217
flagella:del_rfaD:1.0,0.1698412161,0.8308459341000001
flagella:del_rfaD:2.0,0.5244551334,0.305662875
nusG:WT_OD08:1.0,3.8389233523,-0.1965624494
nusG:WT_OD08:2.0,-3.8389233523,0.1965624494
omv:spi2_ind_lowOD_intracellularRNAs:1.0,1.2953598724,-1.0883680375
omv:spi2_ind_lowOD_intracellularRNAs:2.0,0.6213813916,-0.8130691552
omv:spi2_ind_highOD_intracellularRNAs:1.0,5.9784834979,-1.8733348332
omv:spi1_ind_highOD_intracellularRNAs:1.0,9.0906296448,0.9046263359000001
omv:spi2_ind_highOD_intracellularRNAs:2.0,6.1142933082,-1.8734259648
omv:spi2_ind_highOD_intracellularRNAs:3.0,4.3197658036,-1.1249756728
omv:controlPCN_highOD_intracellularRNAs:1.0,22.4412949826,0.2050655486
omv:controlPCN_highOD_intracellularRNAs:2.0,17.4574813494,0.16640632260000002
omv:controlPCN_highOD_intracellularRNAs:3.0,17.3159978741,0.46200902720000003
