,A,cytR
R2,,0.10536276736173433
xmin,,-6.0913175714
xmid,,-1.1738441578817127
xmax,,3.3696783628
ystart,,-2.8192848049866965
yend,,5.021398285210922
2AA:WT:1.0,0.2660552855,0.07326874750000001
2AA:WT:2.0,0.5262480586,0.0042390433
2AA:WT:3.0,-2.0156831241,0.1096234705
2AA:WT:4.0,1.22337978,-0.18713126130000002
2AA:del_ridA:1.0,-0.4552330788,0.019968509000000002
2AA:del_ridA:2.0,-0.1999799022,-0.0009934501000000001
2AA:del_ridA:3.0,-0.050884709,-0.1970253186
2AA:del_ridA:4.0,-0.0853129484,-0.0657938768
GC_MS:WT:1.0,0.0407817865,0.061990230400000006
GC_MS:WT:2.0,0.0506301575,-0.1093968528
GC_MS:WT:3.0,-0.09141194400000001,0.0474066224
GC_MS:del_slyA:1.0,2.2050565603,-0.1613581358
GC_MS:del_slyA:2.0,2.127274399,0.1164537539
Rho:WT:1.0,-0.538160784,-0.034550901
Rho:WT:2.0,0.3648604084,-0.039180065800000004
Rho:WT:3.0,0.1733003757,0.0737309668
Rho:rho_Y80C:1.0,-4.1443389972,-0.46598343080000004
Rho:rho_Y80C:2.0,-5.6620260564,-0.7459233246
Rho:rho_Y80C:3.0,-5.125962437,-0.4892329225
Rho:rho_K130Q:1.0,2.1230969447,0.4022717209
Rho:rho_K130Q:2.0,2.0055992342,0.4320775979
Rho:rho_K130Q:3.0,1.3192620347,0.2423267201
flagella:WT:1.0,-0.5819399683,0.0215962635
flagella:WT:2.0,0.5819399683,-0.0215962635
flagella:del_rfaL:1.0,-1.8343087507,-0.285753009
flagella:del_rfaL:2.0,-1.9959474211,-0.0752053081
flagella:del_rfaG:1.0,-2.2518662698,0.5113195933
flagella:del_rfaG:2.0,-1.728887206,0.3631461814
flagella:del_rfaD:1.0,2.1116166913,1.143356734
flagella:del_rfaD:2.0,1.1799746551,1.0430372698
nusG:WT_OD08:1.0,0.3949346445,0.06492014680000001
nusG:WT_OD08:2.0,-0.3949346445,-0.06492014680000001
omv:spi2_ind_lowOD_intracellularRNAs:1.0,1.7957183062,0.17225219760000002
omv:spi2_ind_lowOD_intracellularRNAs:2.0,3.7893331837,0.2704186433
omv:spi2_ind_highOD_intracellularRNAs:1.0,6.1724057495,-0.46638281060000003
omv:spi1_ind_highOD_intracellularRNAs:1.0,1.6263746675,0.9200550439
omv:spi2_ind_highOD_intracellularRNAs:2.0,5.7788076246,-0.22090822440000002
omv:spi2_ind_highOD_intracellularRNAs:3.0,5.1472150263,-0.0454957142
omv:controlPCN_highOD_intracellularRNAs:1.0,1.7782724796,0.46686580660000004
omv:controlPCN_highOD_intracellularRNAs:2.0,-0.1838543473,0.2849137281
omv:controlPCN_highOD_intracellularRNAs:3.0,-0.9550168040000001,0.1686595223
omv:spi1_ind_highOD_intracellularRNAs:2.0,1.1889315237,0.8438446797
omv:spi1_ind_highOD_intracellularRNAs:3.0,1.7086423241,1.0362272477
omv:controlPCN_lowOD_intracellularRNAs:1.0,-0.0085009505,0.1314726884
omv:controlPCN_lowOD_intracellularRNAs:2.0,-0.1235007028,-0.2595648306
omv:spi2_ind_lowOD_intracellularRNAs:3.0,3.8303531628,0.1337037198
omv:controlPCN_lowOD_intracellularRNAs:3.0,0.1320016534,0.1280921422
sv5015:STM1625:1.0,-0.3542460895,0.4080500812
sv5015:STM1625:2.0,-0.5582868286,0.3520469217
sv5015:STM1625:3.0,-0.4854352048,0.34780456400000004
sv5015:STM0581:1.0,-5.126698263,0.5190262877
sv5015:STM0581:2.0,-5.4296357266,0.5263936565
sv5015:STM0581:3.0,-5.0635392172,0.5901384238
sv5015:WT:1.0,-0.1415949659,-0.08082951000000001
sv5015:WT:2.0,0.16854061350000002,0.1537618485
sv5015:WT:3.0,-0.0269456475,-0.0729323385
tomato:tomato_root:1.0,-2.0227516529,0.499271787
tomato:tomato_root:2.0,-1.5752991208,0.412520649
tomato:tomato_root:3.0,-0.9957705787000001,0.4199966537
tomato:LB:1.0,0.4853946617,0.15276569880000002
tomato:LB:2.0,-0.4853946617,-0.15276569880000002
AcrB_efflux_virulence:AcrB_D408A:1.0,0.0371374763,-0.11467423400000001
AcrB_efflux_virulence:AcrB_D408A:2.0,-0.0407978555,-0.0774629758
AcrB_efflux_virulence:AcrB_D408A:3.0,-0.1246206819,-0.1528849059
AcrB_efflux_virulence:WT:1.0,-0.1309260095,-0.0486083974
AcrB_efflux_virulence:WT:2.0,0.1952606661,0.0353410828
AcrB_efflux_virulence:WT:3.0,-0.0643346566,0.013267314700000001
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:1.0,-4.0581628302,0.017255356700000002
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:1.0,-5.3377142061,-1.8333346437
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:2.0,-5.4873943665,-2.161353347
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_0:1.0,-1.3624435015,0.1889809193
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:3.0,-1.2374563626,-1.5384705040000002
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_32:1.0,-5.7557113819,-2.4841097311
Chlortetracycline_florfenicol_MDR:530_Florfenicol_0:1.0,4.1197548431,0.1399649866
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:2.0,-1.8389005337,0.11675773440000001
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:3.0,-4.5232839494,-0.2217517296
Chlortetracycline_florfenicol_MDR:530_Florfenicol_0:2.0,5.1534248808,0.057253289900000004
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16:1.0,-5.6856525211,-2.5094196284
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16:2.0,-3.7547445745,-1.865122811
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_32:2.0,-3.4285517757,-1.9812216096
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_32:1.0,4.3291205303,-0.7964963772
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_16:1.0,-4.0700435946,-1.9752747792
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_16:2.0,-1.5318285749,-1.9264378581
Chlortetracycline_florfenicol_MDR:530_Chlortetracycline_0:1.0,5.671360846,1.2865918791
