,A,narL
R2,,0.048490096171886155
xmin,,-3.2575829944
xmid,,
xmax,,2.9726796732
ystart,,8.094506532645838
yend,,-4.418722543313576
2AA:WT:1.0,0.8988750417,0.0289559374
2AA:WT:2.0,0.5106036486000001,-0.0761850941
2AA:WT:3.0,0.9736819783,-0.2330030444
2AA:WT:4.0,-2.3831606687,0.2802322011
2AA:del_ridA:1.0,0.3573125425,0.0420948375
2AA:del_ridA:2.0,0.07875881950000001,-0.0477804755
2AA:del_ridA:3.0,0.5534716844,0.1561503104
2AA:del_ridA:4.0,-0.0315366507,0.10316868380000001
GC_MS:WT:1.0,-0.303750149,-0.026223813500000002
GC_MS:WT:2.0,-0.3194351577,0.0783991778
GC_MS:WT:3.0,0.6231853067,-0.0521753644
GC_MS:del_slyA:1.0,-6.8179576454,0.23304413140000002
GC_MS:del_slyA:2.0,-6.0737371274,0.22628952800000002
Rho:WT:1.0,-0.5973053114,0.0219989054
Rho:WT:2.0,0.4457859172,-0.1280795035
Rho:WT:3.0,0.1515193943,0.1060805981
Rho:rho_Y80C:1.0,-2.6021937037000002,0.6890234549
Rho:rho_Y80C:2.0,-3.278285154,0.9325172029000001
Rho:rho_Y80C:3.0,-2.9019055954,0.6625468315
Rho:rho_K130Q:1.0,-2.4220528233,-0.0006570931
Rho:rho_K130Q:2.0,-2.5821668057,0.1429594548
Rho:rho_K130Q:3.0,-2.4748503417,0.0430525306
flagella:WT:1.0,0.8983987080000001,0.46008066340000003
flagella:WT:2.0,-0.8983987080000001,-0.46008066340000003
flagella:del_rfaL:1.0,-0.9779056627,-0.36881099100000003
flagella:del_rfaL:2.0,-0.7315893277000001,-0.5815881303
flagella:del_rfaG:1.0,-0.0876861911,0.1902236787
flagella:del_rfaG:2.0,-1.413277232,0.012703685800000001
flagella:del_rfaD:1.0,4.353141401,0.500237625
flagella:del_rfaD:2.0,3.5414001988,0.3930414325
nusG:WT_OD08:1.0,0.2595976632,0.4759064092
nusG:WT_OD08:2.0,-0.2595976632,-0.4759064092
omv:spi2_ind_lowOD_intracellularRNAs:1.0,13.4998031371,0.3203243212
omv:spi2_ind_lowOD_intracellularRNAs:2.0,1.0075832765,0.3094268283
omv:spi2_ind_highOD_intracellularRNAs:1.0,11.1930742723,0.0998459023
omv:spi1_ind_highOD_intracellularRNAs:1.0,-2.9422712157,0.4466655738
omv:spi2_ind_highOD_intracellularRNAs:2.0,11.0262645638,0.5394000063000001
omv:spi2_ind_highOD_intracellularRNAs:3.0,9.3026355102,-0.051946294600000005
omv:controlPCN_highOD_intracellularRNAs:1.0,1.4519586095,1.5582952071
