locus,gene_weight,gene_name,gene_product,cog,regulator,MvfR,LasR,link
PA1431,0.21427059280000002,rsaL,regulatory protein RsaL,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1431&e1=1&assembly=complete
PA1432,0.18158640010000002,lasI,acyl-homoserine-lactone synthase,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1432&e1=1&assembly=complete
PA3904,0.1616957558,PA3904,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3904&e1=1&assembly=complete
PA2303,0.1571109836,ambD,protein AmbD,"Secondary metabolites biosynthesis, transport, and catabolism",MvfR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2303&e1=1&assembly=complete
PA3905,0.1438993653,PA3905,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3905&e1=1&assembly=complete
PA3907,0.12329263210000001,PA3907,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3907&e1=1&assembly=complete
PA3724,0.1224092184,lasB,elastase LasB,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3724&e1=1&assembly=complete
PA3906,0.12155632670000001,PA3906,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3906&e1=1&assembly=complete
PA2305,0.12070534420000001,ambB,protein AmbB,"Secondary metabolites biosynthesis, transport, and catabolism",MvfR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2305&e1=1&assembly=complete
PA2193,0.1154041276,hcnA,hydrogen cyanide synthase subunit HcnA,Energy production and conversion,"Anr,LasR,RhlR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2193&e1=1&assembly=complete
PA2587,0.1126942596,pqsH,2-heptyl-3-hydroxy-4(1H)-quinolone synthase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2587&e1=1&assembly=complete
PA3908,0.1088846124,PA3908,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3908&e1=1&assembly=complete
PA2302,0.1055926296,ambE,protein AmbE,"Secondary metabolites biosynthesis, transport, and catabolism",MvfR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2302&e1=1&assembly=complete
PA1250,0.10323457130000001,aprI,alkaline proteinase inhibitor AprI,Function unknown,LasR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1250&e1=1&assembly=complete
PA2304,0.10300521600000001,ambC,protein AmbC,"Secondary metabolites biosynthesis, transport, and catabolism",MvfR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2304&e1=1&assembly=complete
PA2591,0.1029571791,PA2591,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2591&e1=1&assembly=complete
PA1247,0.1020511395,aprE,alkaline protease secretion protein AprE,Cell wall/membrane/envelope biogenesis,LasR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1247&e1=1&assembly=complete
PA3476,0.10201915610000001,rhlI,acyl-homoserine-lactone synthase,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3476&e1=1&assembly=complete
PA1246,0.1016579472,aprD,alkaline protease secretion ATP-binding protein AprD,Defense mechanisms,LasR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1246&e1=1&assembly=complete
PA1248,0.0956083977,aprF,alkaline protease secretion protein AprF,Cell wall/membrane/envelope biogenesis,LasR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1248&e1=1&assembly=complete
PA1249,0.0931057705,aprA,alkaline metalloproteinase,"Secondary metabolites biosynthesis, transport, and catabolism","LasR,BexR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1249&e1=1&assembly=complete
PA1871,0.0885168238,lasA,protease LasA,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1871&e1=1&assembly=complete
