locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigA,PhoP,link
BSU_13330,0.13326401400000001,ykoL,unknown,Function unknown,"ykzB->ykoL, ykoL","SigA,PhoP,TnrA",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13330
BSU_35610,0.13120150900000002,tuaA/2,lipid carrier sugar transferase,No COG category,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35610
BSU_35609,0.126627603,tuaA/1,lipid carrier sugar transferase,No COG category,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35609
new_2840767_2840964_c,0.125785217,pipA,independent transcript,No COG category,,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2840767_2840964_c
BSU_35600,0.12352637200000001,tuaB,unknown,Function unknown,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35600
BSU_35590,0.123206275,tuaC,sugar transferase,Carbohydrate transport and metabolism,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35590
BSU_05730,0.11972134300000001,ydhF,unknown,Function unknown,phoB->ydhF,"SigA,SigE,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU05730
BSU_05740,0.11662777,phoB,"alkaline phosphatase III, heptaprenylglyceryl phosphate processing phosphatase",Inorganic ion transport and metabolism,phoB->ydhF,"SigA,SigE,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU05740
BSU_35580,0.116042476,tuaD,UDP glucose 6-dehydrogenase,No COG category,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35580
new_3654055_3654138_c,0.111918505,S1361,intergenic region,No COG category,,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3654055_3654138_c
BSU_35570,0.108973805,tuaE,unknown,Cell wall/membrane/envelope biogenesis,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35570
BSU_02130,0.10493071,glpQ,glycerolphosphate diester phosphodiesterase,Energy production and conversion,"glpT->glpQ, glpQ","SigA,GlpP,PhoP,CcpA",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02130
BSU_24970,0.10394972300000001,pstA,phosphate [SW|ABC transporter] (permease),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24970
BSU_35560,0.10304560500000001,tuaF,unknown,Cell wall/membrane/envelope biogenesis,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35560
BSU_24980,0.10215294300000001,pstC,phosphate [SW|ABC transporter] (permease),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24980
BSU_35550,0.100444455,tuaG,sugar transferase,Cell wall/membrane/envelope biogenesis,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35550
BSU_35540,0.100036389,tuaH,sugar transferase,Cell wall/membrane/envelope biogenesis,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35540
BSU_02620,0.093999071,phoD,phosphodiesterase/alkaline phosphatase,Inorganic ion transport and metabolism,phoD->tatCD,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02620
BSU_09410,0.09385694400000001,phoA,alkaline phosphatase A,No COG category,phoA,"SigA,SigG,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09410
BSU_24990,0.093657341,pstS,phosphate [SW|ABC transporter] (binding protein),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24990
BSU_24960,0.09319472200000001,pstBA,phosphate [SW|ABC transporter] (ATP-binding protein),No COG category,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24960
BSU_24950,0.09147506600000001,pstBB,phosphate [SW|ABC transporter] (ATP-binding protein),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24950
