,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,6.853650146850001,0.05020711227012549,2.0,0.0,6.8181483573,5.0,6.8891519364,,
1,U01-Set001__USA300 LAC CA-MHB Control,6.72126307785,0.10843780216805915,2.0,1.0,6.6445859726,6.0,6.7979401831,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,6.6483151036,0.07123297886562281,2.0,2.0,6.698684426,7.0,6.5979457812,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,6.4648827969,0.04284169747200867,2.0,3.0,6.4345891421,8.0,6.4951764517,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,6.761798918449999,0.15422194037936993,2.0,4.0,6.8708502983,9.0,6.6527475386,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,7.74628605945,0.08301188662269948,2.0,10.0,7.6875877915,29.0,7.8049843274,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,7.6131940060000005,0.05204568274433052,2.0,11.0,7.6499958612,30.0,7.5763921508,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,7.4831592521,0.01996796845351601,2.0,12.0,7.4690397662,31.0,7.497278738,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,5.9336960881,0.11836059266686591,2.0,13.0,6.0173896658,14.0,5.8500025104,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,5.9967907813,0.15840298322701316,2.0,15.0,5.8847829577,18.0,6.1087986049,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,6.00116133505,0.05482723130577945,2.0,16.0,6.0399300421,19.0,5.962392628,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,6.000795468650001,0.03513003935320272,2.0,17.0,6.0256361577,20.0,5.9759547796,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,5.821188413350001,0.1317491411886523,2.0,21.0,5.7280277022,24.0,5.9143491245,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,5.5251840422,0.045836048475752525,2.0,22.0,5.5575950229,25.0,5.4927730615,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,5.6209577962,0.09690199842946094,2.0,23.0,5.6894778564,26.0,5.552437736,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,6.1187454129,0.12553461565033655,2.0,27.0,6.2075117909,28.0,6.0299790349,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,7.19792475675,0.02904566636390646,2.0,32.0,7.2184631444,33.0,7.1773863691,,
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,6.5587037151,0.11068046337877335,2.0,34.0,6.6369666213,38.0,6.4804408089,,
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,6.35849457495,0.08866419855965126,2.0,35.0,6.421189631,39.0,6.2957995189,,
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,6.1721231575,0.08732970032670202,2.0,36.0,6.1103717342,40.0,6.2338745808,,
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,6.1385806505,0.13012271788088783,2.0,37.0,6.0465699943,41.0,6.2305913067,,
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,6.43253139475,0.0483857436532966,2.0,42.0,6.3983175073,45.0,6.4667452822,,
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,6.2704790918,0.03862181826933335,2.0,43.0,6.2977888414,46.0,6.2431693422,,
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,6.272804806,0.1248241529403668,2.0,44.0,6.361068811,47.0,6.184540801,,
24,U01-Set003__USA300 TCH1516 CA-MHB Control,7.754579721000001,0.05465017296985221,2.0,48.0,7.7932232289000005,52.0,7.7159362131,,
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,8.0119776322,0.3321196080257131,2.0,49.0,7.7771336052,53.0,8.2468216592,,
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,7.8549078875500005,0.10721428073817293,2.0,50.0,7.7790959426,54.0,7.9307198325,,
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,7.62370355835,0.10130099506301049,2.0,51.0,7.6953341789,55.0,7.5520729378,,
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,5.91337708585,0.09429882816016824,2.0,56.0,5.9800564267,57.0,5.846697745,,
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,5.789381022800001,0.06466639440689596,2.0,58.0,5.8351070688,59.0,5.7436549768,,
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,6.3618765251500005,0.08760750059000971,2.0,60.0,6.2999286674,61.0,6.4238243829,,
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,6.0644651842999995,0.134657956808478,2.0,62.0,6.1596827387,63.0,5.9692476299,,
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,6.022418023649999,0.47265237449593617,2.0,64.0,6.3566337228,65.0,5.6882023245,,
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,5.67419034535,0.00033206434480272963,2.0,66.0,5.6739555404,67.0,5.6744251503,,
