locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SigA,PhoP,link
BSU_24990,0.185480749,pstS,phosphate [SW|ABC transporter] (binding protein),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24990
BSU_24980,0.144701197,pstC,phosphate [SW|ABC transporter] (permease),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24980
BSU_24960,0.144376591,pstBA,phosphate [SW|ABC transporter] (ATP-binding protein),No COG category,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24960
BSU_24970,0.144277163,pstA,phosphate [SW|ABC transporter] (permease),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24970
BSU_24950,0.13116607600000002,pstBB,phosphate [SW|ABC transporter] (ATP-binding protein),Inorganic ion transport and metabolism,pstS->pstBB,"SigA,PhoP",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24950
BSU__misc_RNA_27,0.105591975,BSU_misc_RNA_27,,No COG category,,"SigA,PyrR",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_27
new_2840767_2840964_c,0.101066394,pipA,independent transcript,No COG category,,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2840767_2840964_c
BSU_35609,0.100294457,tuaA/1,lipid carrier sugar transferase,No COG category,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35609
BSU_35610,0.09885769800000001,tuaA/2,lipid carrier sugar transferase,No COG category,tuaA/2->tuaH,"SigA,PhoP,SigF",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35610
BSU_32130,0.09303072600000001,guaC,GMP reductase,Nucleotide transport and metabolism,guaC,"CodY,PurR",False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32130
BSU_13330,0.087978999,ykoL,unknown,Function unknown,"ykzB->ykoL, ykoL","SigA,PhoP,TnrA",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13330
