locus,gene_weight,gene_name,gene_product,cog,regulator,CovR,link
SP5448_06225,0.26996150750000003,SP5448_06225,exosortase,Function unknown,,False,
SP5448_07740,0.2413327857,SP5448_07740,hypothetical protein,Function unknown,"CovR,RivR_M1,CovR,CovR,CovR",True,
SP5448_06220,0.2176661819,SP5448_06220,IgG-degrading enzyme/Mac-1 IdeZ,Function unknown,"CovR,Mga,Mga,CodY_M49,CovR,CovR,CovR,CovR,Nra_transition_M49,Nra_stationary_M49,VicR",True,
SP5448_08580,0.21418873030000002,SP5448_08580,hypothetical protein,Function unknown,"CovR,Rgg,Rgg,RivR_M1,CovR,Nra_exponetional_M49,Nra_transition_M49,Nra_stationary_M49,VicR",True,
SP5448_09370,0.201551415,hasB,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,"CovR,Rgg,CovR,Nra_exponetional_M49,Nra_transition_M49,Nra_stationary_M49",True,
SP5448_06230,0.1977424542,SP5448_06230,transposase,"Replication, recombination and repair",,False,
SP5448_09365,0.1903997527,nodC,hyaluronan synthase,Cell wall/membrane/envelope biogenesis,"CovR,Rgg,CodY_M49,CovR,CovR,Nra_exponetional_M49,Nra_transition_M49,Nra_stationary_M49",True,
SP5448_07755,0.1843006299,SP5448_07755,hypothetical protein,Function unknown,"CovR,CovR,CovR,CovR,Irr_EE_M6,Irr_LE_M6",True,
SP5448_09375,0.18136409,galU,UTP--glucose-1-phosphate uridylyltransferase,Cell wall/membrane/envelope biogenesis,"CovR,Rgg,CovR,CovR,CovR,Nra_exponetional_M49,Nra_transition_M49,Nra_stationary_M49",True,
SP5448_07800,0.1767222567,prtP,peptidase S8,"Posttranslational modification, protein turnover, chaperones","CovR,Mga,Rgg,RivR_M1,CovR,CovR,CovR,CovR,Nra_exponetional_M49",True,
SP5448_00755,0.1690882849,SP5448_00755,hypothetical protein,Function unknown,"CovR,Mga,Rgg,CovR,CovR,CovR,CovR,CovR,Nra_exponetional_M49",True,
SP5448_00890,0.1349021248,SP5448_00890,hypothetical protein,Function unknown,"CovR,Mga,Mga,Rgg,Rgg,CovR,CovR,CovR",True,
SP5448_04645,0.12901603250000002,SP5448_04645,exotoxin,Function unknown,"CovR,CodY_M49,CovR,CovR,CovR,Phage_3",True,
SP5448_02515,0.1171770932,SP5448_02515,esterase,Lipid transport and metabolism,Mga,False,
SP5448_00745,0.09594352340000001,XK27_01125,transposase,"Replication, recombination and repair","CovR,Mga,Mga,CovR,CovR,CovR",True,
SP5448_07745,0.0942915272,SP5448_07745,hypothetical protein,Function unknown,"CovR,Rgg,CovR,CovR,CovR,Nra_stationary_M49",True,
SP5448_07730,0.079507135,SP5448_07730,hypothetical protein,Function unknown,"CovR,Rgg,CovR,CovR,CovR",True,
SP5448_03130,0.0775576409,cas3,RNA helicase,"Replication, recombination and repair","Rgg,Rgg,Nra_transition_M49",False,
SP5448_01765,0.0759879004,SP5448_01765,hypothetical protein,Function unknown,"CovR,CovR,Nra_transition_M49",True,
SP5448_03140,0.0751832441,csd1,CRISPR-associated protein Csd1,Cell wall/membrane/envelope biogenesis,"CcpA,CovR,Mga,Rgg,Rgg,Nra_transition_M49",True,
SP5448_03145,0.0708150107,csd2,CRISPR-associated protein,"Replication, recombination and repair","CcpA,Rgg,Rgg,Nra_transition_M49",False,
SP5448_03150,0.0677112904,cas4,CRISPR-associated protein Cas4,"Replication, recombination and repair","CovR,Mga,Rgg,Rgg,CovR,Nra_transition_M49",True,
SP5448_07760,0.06746573510000001,SP5448_07760,ADP-ribosyltransferase,Signal transduction mechanisms,"CovR,Rgg,CovR,CovR,CovR,CovR,Srv_M1,Irr_LE_M6",True,
SP5448_07735,0.0664671871,SP5448_07735,exotoxin,Function unknown,"CovR,CovR,CovR,CovR",True,
SP5448_03155,0.0648599223,cas1,CRISPR-associated protein Cas1,"Replication, recombination and repair","CcpA,CovR,Rgg,Rgg,Nra_transition_M49",True,
SP5448_00870,0.0646590147,SP5448_00870,N-acetylglucosamine-1-phosphate uridyltransferase,Function unknown,"CovR,Mga,Rgg,Rgg,CodY_M49,CovR,CovR,CovR,Nra_exponetional_M49,Nra_transition_M49,Irr_LE_M6",True,
SP5448_00875,0.0641217582,SP5448_00875,NAD glycohydrolase inhibitor,Function unknown,"Mga,CovR,CovR,CovR",True,
SP5448_03135,0.0613869546,cas5d,CRISPR-associated protein Cas5,Function unknown,"CcpA,CovR,Rgg,Rgg,CovR,Nra_transition_M49",True,
SP5448_00880,0.0594197224,slo,alveolysin,Cell wall/membrane/envelope biogenesis,"CovR,TrxR_M1,Mga,Rgg,Rgg,CodY_M49,CovR,CovR,CovR,CovR,Nra_exponetional_M49,Nra_stationary_M49",True,
SP5448_00885,0.0578762018,SP5448_00885,hypothetical protein,Function unknown,"CovR,Rgg,CovR,CovR,CovR",True,
SP5448_08790,0.0575345084,prsA,foldase,Cell wall/membrane/envelope biogenesis,"Rgg,Rgg,CovR,CovR,Nra_transition_M49",True,
SP5448_03160,0.0571639518,cas2,CRISPR-associated protein Cas2,"Replication, recombination and repair","CcpA,CovR,Mga,Rgg,Rgg,CovR,Nra_transition_M49",True,
SP5448_06755,-0.0582113862,SP5448_06755,hypothetical protein,Transcription,,False,
SP5448_07175,-0.0600952931,lmrB,XRE family transcriptional regulator,Function unknown,"Rgg,FasX_15min_M1,FasX_60min_M1",False,
SP5448_03240,-0.0691848176,asnA,asparagine synthetase AsnA,Amino acid transport and metabolism,"CodY,CovR",True,
SP5448_08815,-0.06977540830000001,Z012_04635,XRE family transcriptional regulator,Transcription,"Rgg,CovR,Nra_stationary_M49",True,
SP5448_01140,-0.0715149251,XK27_09605,multidrug ABC transporter permease,Defense mechanisms,"TrxR_M1,Rgg,Rgg",False,
SP5448_03885,-0.0721817341,SP5448_03885,hypothetical protein,Defense mechanisms,"CovR,Rgg,CovR,Irr_LE_M6",True,
SP5448_04720,-0.0741858013,SP5448_04720,hypothetical protein,Cell motility,"CovR,Rgg,CovR",True,
SP5448_03880,-0.07505135,SP5448_03880,hypothetical protein,Function unknown,"CovR,Rgg,CovR",True,
SP5448_01135,-0.0756462561,XK27_09600,multidrug ABC transporter ATP-binding protein,Defense mechanisms,"Rgg,CovR,CovR",True,
SP5448_03890,-0.0771008308,SP5448_03890,peptidase S11,Defense mechanisms,"CovR,CovR",True,
SP5448_06835,-0.0787650181,XK27_08435,GntR family transcriptional regulator,Transcription,"AgaR2,CovR,CovR,Srv_M1",True,
SP5448_06830,-0.08619782200000001,agaS,tagatose-6-phosphate ketose isomerase,Cell wall/membrane/envelope biogenesis,"AgaR2,Rgg,CovR,CovR",True,
SP5448_01130,-0.0912483756,SP5448_01130,MarR family transcriptional regulator,Transcription,"Rgg,Rgg",False,
SP5448_03840,-0.11902264970000001,kup,potassium transporter Kup,Inorganic ion transport and metabolism,"CodY,Rgg,CovR",True,
SP5448_00905,-0.1378400022,metC,cystathionine gamma-synthase,Amino acid transport and metabolism,"CovR,CovR",True,
SP5448_04075,-0.1479880136,SP5448_04075,protein G alpha 2M-binding protein,Function unknown,"CovR,Rgg,Rgg,RivR_M1,CovR,CovR,CovR",True,
