k,Name,Regulator,Function,Category,n_genes,precision,recall,category_num
0,e14 Removal,,,Prophage,13,,,21
1,SG_yzfA,,,Unknown,3,,,24
2,SG_ytiD,,,Unknown,1,,,24
3,Membrane-1,,,Membrane Homeostasis,81,,,11
4,CysB-1,CysB,,Amino Acid Metabolism,31,0.22580599999999998,0.411765,2
5,CueR/CusR/HprR,CueR or CusR or HprR,,Metal Homeostasis,11,0.727273,0.8888889999999999,9
6,DLP12,,,Prophage,10,,,21
7,SG_yqhI,,,Unknown,1,,,24
8,SG_icdC,,,Unknown,2,,,24
9,NQ-ALE3,,,Energy Metabolism,41,,,4
10,YieP,YieP,,Membrane Homeostasis,10,0.6000000000000001,1.0,11
11,PhoB-1,PhoB,,Phosphate Metabolism,10,0.9,0.19148936200000002,7
12,Curli,BasR and Cra and Crp and CsgD and IHF and MlrA and OmpR and ppGpp and RcdA and CpxR and FliZ and H-NS and MqsA and BtsR and RcsAB and RstA,,Extracellular Structures,4,1.0,1.0,12
13,SG_ymdG,,,Unknown,1,,,24
14,Fnr-1,Fnr,,Anaerobiosis,43,0.488372093,0.20792079200000002,5
15,TdcAR/CadC,TdcA or TdcR or CadC,,Amino Acid Metabolism,12,0.75,1.0,2
16,Fimbriae,Lrp and H-NS,,Extracellular Structures,7,1.0,0.583333333,12
17,UTP,PurR,,Nucleotide Metabolism,12,0.41666699999999995,0.15625,3
18,Fnr+NarL,Fnr and NarL,,Nitrogen Metabolism,12,0.833333,0.185185,6
19,Crp-related,,,Carbon Metabolism,25,,,0
20,Fe-related-1,,,Metal Homeostasis,11,,,9
21,SG_yfaH,,,Unknown,3,,,24
22,malE OE,,,Carbon Metabolism,1,,,0
23,GalRS,GalR and GalS and Crp,,Carbon Metabolism,6,1.0,0.666667,0
24,BtsR,BtsR,,Carbon Metabolism,4,0.25,1.0,0
25,SG_yafF,,,Unknown,1,,,24
26,LPS,,,Extracellular Structures,35,,,12
27,PyrR,PyrR,,Carbon Metabolism,1,1.0,1.0,0
28,PlaR,PlaR and IHF and Crp,,Carbon Metabolism,11,0.909091,1.0,0
29,SG_ygdT,,,Unknown,1,,,24
30,FhlA,RpoN and FhlA,,Carbon Metabolism,8,1.0,0.444444,0
