,A,cdaR
R2,,0.48455191716362067
xmin,,-3.9903338896
xmid,,-2.0540503935275587
xmax,,6.2682875431
ystart,,-6.845384137144046
yend,,19.06041771921072
2AA:WT:1.0,0.0036426680000000004,-0.09966713390000001
2AA:WT:2.0,-0.0081272904,-0.0270164942
2AA:WT:3.0,-0.5097386810000001,-0.2775003422
2AA:WT:4.0,0.5142233034,0.40418397030000003
2AA:del_ridA:1.0,0.2569745122,0.0218786639
2AA:del_ridA:2.0,-0.5222768966,-0.18653156780000002
2AA:del_ridA:3.0,-0.0674677137,-0.190813679
2AA:del_ridA:4.0,-0.6797704921000001,0.0330454086
GC_MS:WT:1.0,0.0762105389,-0.176683628
GC_MS:WT:2.0,0.035187889300000004,0.1164967724
GC_MS:WT:3.0,-0.11139842820000001,0.0601868557
GC_MS:del_slyA:1.0,-0.0737373181,-0.08905552480000001
GC_MS:del_slyA:2.0,0.0325149459,0.2448266306
Rho:WT:1.0,0.196810025,-0.0533545216
Rho:WT:2.0,-0.0723472935,-0.1297965006
Rho:WT:3.0,-0.1244627315,0.1831510221
Rho:rho_Y80C:1.0,-4.1330662118,-0.5603692952
Rho:rho_Y80C:2.0,-2.3917724579,-0.4617754677
Rho:rho_Y80C:3.0,-3.8920156877,-0.6087875730000001
Rho:rho_K130Q:1.0,-3.5797986758,-0.5843985371
Rho:rho_K130Q:2.0,-3.9340769047,-0.3465184455
Rho:rho_K130Q:3.0,-4.4933247391,-0.4999392755
flagella:WT:1.0,-0.1595423602,0.0303374465
flagella:WT:2.0,0.1595423602,-0.0303374465
flagella:del_rfaL:1.0,-0.7690118978,-0.0720726367
flagella:del_rfaL:2.0,-0.7565069077000001,0.0396617053
flagella:del_rfaG:1.0,0.07789803470000001,1.3623072059
flagella:del_rfaG:2.0,0.1870632956,1.1113205249
flagella:del_rfaD:1.0,0.15543411840000002,1.8727867668
flagella:del_rfaD:2.0,0.6539525487,2.168073997
nusG:WT_OD08:1.0,-4.6482715973,-1.0624666272
nusG:WT_OD08:2.0,4.6482715973,1.0624666272
omv:spi2_ind_lowOD_intracellularRNAs:1.0,1.2059855782,-1.3040651205
