,A,mce1R
R2,,0.08207605619383329
xmin,,-3.9767276956
xmid,,
xmax,,4.6189089539
ystart,,-7.386475354274808
yend,,6.192452700270126
AX:AX_10_MIC:1,0.4800887004,-0.7502414061
AX:AX_10_MIC:2,-0.9836131351,-0.709691935
AX:AX_30_MIC:1,0.6949619983,-0.5800192578000001
AX:AX_30_MIC:2,-0.8113172457000001,-0.4606771197
AX:QZ_10_MIC:1,0.41709191370000004,-0.8430788096
AX:QZ_10_MIC:2,-1.1332532404,-0.7970269185000001
AX:QZ_30_MIC:1,-0.2701683981,-0.6284350865
AX:QZ_30_MIC:2,0.8211537276,-0.9323469863
AX:wt:1,-0.4143818709,-0.4297663352
AX:wt:2,0.4143818709,0.4297663352
ITM_04:00h_clinic_ctrl:1,6.6241819514,-0.8330818354
ITM_04:00h_clinic_ctrl:2,6.5234544245,-0.8273150149
ITM_04:00h_h37rv_control:1,0.0831000529,0.0117743438
ITM_04:00h_h37rv_control:2,-0.5425476918000001,-0.0037239380000000004
ITM_04:00h_h37rv_control:3,0.459447639,-0.0080504058
ITM_04:06h_clinic_delam:1,-0.122501934,-2.5599863095
ITM_04:06h_clinic_delam:2,-0.060731947800000005,-2.7467981357999998
ITM_04:06h_clinic_delam:3,0.0387349389,-2.6426543482
ITM_04:06h_clinic_DMSO:1,7.4709603272,-0.9969150017
ITM_04:06h_clinic_DMSO:2,7.8684308406,-1.3991533602000001
ITM_04:06h_clinic_DMSO:3,7.5127882537,-1.0765613439
ITM_04:06h_h37rv_delam:1,-4.107048111,-2.1124721523
ITM_04:06h_h37rv_delam:2,-4.8067972511,-2.2314760849
ITM_04:06h_h37rv_delam:3,-4.9831745784,-2.4669328556
ITM_04:06h_h37rv_DMSO:1,1.0035620932,-1.3779005062
ITM_04:06h_h37rv_DMSO:2,1.319848065,-1.3258789299
ITM_04:06h_h37rv_DMSO:3,0.7374227141,-1.2704994816
ITM_04:24h_clinic_delam:1,-0.6550101890000001,-2.7736545638
ITM_04:24h_clinic_delam:2,0.3536238316,-2.1023204367
ITM_04:24h_clinic_delam:3,-0.5995729179,-2.6184851759
ITM_04:24h_clinic_DMSO:1,9.3592871718,-0.6375678326
ITM_04:24h_clinic_DMSO:2,9.9652775464,-0.6124411274
ITM_04:24h_clinic_DMSO:3,10.0023229838,-0.5964976505
ITM_04:24h_h37rv_delam:1,-1.2675671356,-1.9908159556
ITM_04:24h_h37rv_delam:2,-2.9210238131,-2.4672815337
ITM_04:24h_h37rv_delam:3,-2.7591763019,-2.2854890365
ITM_04:24h_h37rv_DMSO:1,7.1664466111,-0.4982842156
ITM_04:24h_h37rv_DMSO:2,7.0445002548,-0.6043992923
JSF:DMSO:1,0.32372688110000003,-0.046551279300000005
JSF:DMSO:2,0.126758625,0.0361280291
JSF:DMSO:3,-0.2027092286,0.0244621088
JSF:DMSO:4,-0.2477762775,-0.0140388586
JSF:JSF_2019:1,-9.8083711849,-2.6767452105
JSF:JSF_2019:2,-11.5544356643,-2.8230493788
JSF:JSF_2019:3,-9.7333224592,-2.4975807042
JSF:JSF_2019:4,-8.914946369,-2.5732663515
JSF:JSF_2026:1,-7.4287442728,-1.8651861665
JSF:JSF_2026:2,-7.8851143561,-1.8577611108
JSF:JSF_2026:3,-7.4714432195,-1.8150424815
JSF:JSF_2026:4,-7.4769063344,-1.7991358244
MTS1338:over_expression:1,-2.9079045021,-0.6689350924
MTS1338:over_expression:2,2.9079045021,0.6689350924
PAS:control:1,0.3153868844,0.044443406500000004
PAS:control:2,1.2023411851,0.0802216607
PAS:control:3,-1.5177280694,-0.1246650671
PAS:treated:1,-6.7146035779,1.6199971652
PAS:treated:2,-5.8292177345,1.7425245571999999
PAS:treated:3,-6.5712500309,1.2184351286
THP-1:24h_THP_B_enriched:1,-0.5460772942000001,0.2896843744
THP-1:24h_THP_B_enriched:2,0.5460772942000001,-0.2896843744
aminoimidazoles:02h_treated:1,-1.5367715733,-0.25396599880000004
aminoimidazoles:02h_treated:2,-1.7423082936,-0.1879688679
aminoimidazoles:24h_treated:1,-5.8960090041,-1.0377000719
aminoimidazoles:24h_treated:2,-6.022205485,-0.787482038
aminoimidazoles:untreated:1,0.032286624,0.0810753599
aminoimidazoles:untreated:2,-0.2276275821,0.0341427075
aminoimidazoles:untreated:3,0.19534095810000002,-0.1152180674
antibiotic:ctrl_24h:1,1.5960130036,-0.4095478799
antibiotic:ctrl_24h:2,1.0270693312,-1.8341353643
antibiotic:ctrl_24h:3,2.3299098899,-1.8341353643
antibiotic:ctrl_4h:1,0.6758020766,-0.1166276819
antibiotic:ctrl_4h:2,-0.3235679249,0.44600119250000003
antibiotic:ctrl_4h:3,-0.3522341517,-0.32937351060000003
antibiotic:izd_4h:1,16.497505619400002,1.8687412501
antibiotic:izd_4h:2,16.4835089102,-0.0741775662
base:wt_glu_24:1,2.6598311734999998,0.5435251291000001
base:wt_glu_24:2,3.2496028618,0.7819951771
base:wt_glu_24:3,2.6909427796000003,0.7845787035
base:wt_glu_6:1,-0.3458121046,0.0881174012
base:wt_glu_6:2,-0.3729891642,-0.3399185659
base:wt_glu_6:3,0.7188012688000001,0.2518011647
base:wt_llac_24:1,0.18144978220000002,-1.8248854805999999
