,A,cadC
R2,,0.04648853754618354
xmin,,-4.4968458499
xmid,,
xmax,,2.0401919511
ystart,,4.235477187101598
yend,,-2.0432161083924156
2AA:WT:1.0,-0.459241184,-0.11486397370000001
2AA:WT:2.0,-0.4405804286,-0.1572254499
2AA:WT:3.0,0.4995198101,0.3305331063
2AA:WT:4.0,0.4003018025,-0.0584436827
2AA:del_ridA:1.0,0.5493242186,0.0471844046
2AA:del_ridA:2.0,0.8837324224,0.2385538345
2AA:del_ridA:3.0,0.9859444516,0.11476546030000001
2AA:del_ridA:4.0,0.5275784126,0.1349887821
GC_MS:WT:1.0,-0.2767731378,-0.027011593
GC_MS:WT:2.0,0.0096906613,-0.0213063175
GC_MS:WT:3.0,0.2670824764,0.0483179105
GC_MS:del_slyA:1.0,-0.18450481800000001,0.23895054500000001
GC_MS:del_slyA:2.0,0.4322809905,0.3768798451
Rho:WT:1.0,-0.0638238543,-0.009946235500000001
Rho:WT:2.0,-0.2862729187,-0.0101167836
Rho:WT:3.0,0.3500967729,0.0200630191
Rho:rho_Y80C:1.0,-3.9859983623,0.0660355942
Rho:rho_Y80C:2.0,-4.3060604173,0.6624022422
Rho:rho_Y80C:3.0,-3.9262992142,0.6521897129
Rho:rho_K130Q:1.0,-2.2904961324,0.2380880948
Rho:rho_K130Q:2.0,-2.7107795008,0.3233504963
Rho:rho_K130Q:3.0,-2.8234930877,0.4997046807
flagella:WT:1.0,-0.7475536891,0.0185331738
flagella:WT:2.0,0.7475536891,-0.0185331738
flagella:del_rfaL:1.0,0.0352242079,1.0484668057
flagella:del_rfaL:2.0,0.270961954,0.5811166996
flagella:del_rfaG:1.0,1.6671305907,1.9733682199
flagella:del_rfaG:2.0,2.0400279847,1.7656955642
flagella:del_rfaD:1.0,-3.0673655354,1.0434127109
flagella:del_rfaD:2.0,-1.8270660897000002,1.1308426215
nusG:WT_OD08:1.0,0.11017151400000001,0.0172573314
nusG:WT_OD08:2.0,-0.11017151400000001,-0.0172573314
omv:spi2_ind_lowOD_intracellularRNAs:1.0,3.3418816984,0.8769448713
omv:spi2_ind_lowOD_intracellularRNAs:2.0,1.8077898170000002,0.5194792034
omv:spi2_ind_highOD_intracellularRNAs:1.0,4.192574546,0.3802720471
omv:spi1_ind_highOD_intracellularRNAs:1.0,3.6074256890000003,0.6216401920000001
omv:spi2_ind_highOD_intracellularRNAs:2.0,3.9845079942,0.6920274795
omv:spi2_ind_highOD_intracellularRNAs:3.0,3.6394731245000003,0.4402496281
omv:controlPCN_highOD_intracellularRNAs:1.0,-0.8822143268,0.8300300151000001
omv:controlPCN_highOD_intracellularRNAs:2.0,-0.4242898442,0.7867919175
omv:controlPCN_highOD_intracellularRNAs:3.0,-0.458656277,0.3205768518
omv:spi1_ind_highOD_intracellularRNAs:2.0,4.084801277,0.5867167154
omv:spi1_ind_highOD_intracellularRNAs:3.0,3.6302548261,0.6392014655
omv:controlPCN_lowOD_intracellularRNAs:1.0,-0.29922318670000003,0.0461716385
omv:controlPCN_lowOD_intracellularRNAs:2.0,0.639435729,-0.006723389000000001
omv:spi2_ind_lowOD_intracellularRNAs:3.0,1.8264465671,0.5493269712000001
omv:controlPCN_lowOD_intracellularRNAs:3.0,-0.34021254230000003,-0.039448249500000004
sv5015:STM1625:1.0,4.8068521996,-0.21390552370000002
sv5015:STM1625:2.0,4.2094426416,-0.1256499366
sv5015:STM1625:3.0,4.8942344785,-0.1238942115
sv5015:STM0581:1.0,1.4460533905,-0.3198434718
sv5015:STM0581:2.0,1.066381392,-0.33219385030000004
sv5015:STM0581:3.0,0.8251416038,-0.23403554070000002
sv5015:WT:1.0,0.3765564516,0.0716447394
sv5015:WT:2.0,0.0704048077,-0.162967007
sv5015:WT:3.0,-0.4469612593,0.0913222677
tomato:tomato_root:1.0,7.6552854939,0.9478975015000001
