,names,Log Odds Ratio,Adj. p-value,Precision,Recall,True Positives,I-modulon size,Annotation Method,Putative Function,TF
0,TreR,7.942718,4.53E-06,0.5,0.666667,2,4,Fisher's Exact Test,Trehalose Metabolism,TreR
1,Vim-3,--,--,--,--,--,16,Manual,Virulence Expression,
2,Unc-1,--,--,--,--,--,45,,,
3,CymR,6.704874,6.45E-15,0.777778,0.368421,7,9,Fisher's Exact Test,Cysteine Metabolism,CymR
4,SigB,2.445359,1.63E-17,0.353659,0.189542,29,82,Fisher's Exact Test,Stress Response,SigB
5,SaeR,4.507406,1.16E-14,0.37037,0.357143,10,27,Fisher's Exact Test,Virulence Expression,SaeR
6,Rex,6.792928,1.26E-15,0.888889,0.242424,8,9,Fisher's Exact Test,Redox Balance,Rex
7,Translation,--,--,--,--,--,37,Manual,Translation Machinery Expression,
8,Fur,6.115722,6.29E-53,0.711111,0.680851,32,45,Fisher's Exact Test,Iron Metabolism,Fur
9,CodY,3.689258,4.71E-44,0.6,0.326531,48,80,Fisher's Exact Test,Amino Acid Metabolism,CodY
10,Guanine Responsive (GR),7.249215,9.05E-06,0.5,0.5,2,4,Fisher's Exact Test,Purine Salvage,Guanine Riboswitch
11,NreC/Rex,6.808073,5.33E-25,0.866667,0.393939,13,15,Fisher's Exact Test,Redox Balance,NreC/Rex
12,Urease,--,--,--,--,--,13,Manual,Urea Metabolism,
13,FMN,inf,1.90E-12,1,0.8,4,4,Fisher's Exact Test,Riboflaving Biosynthesis,
14,CcpA-1,4.821252,1.56E-65,0.753425,0.454545,55,73,Fisher's Exact Test,Glucose Dependent Carbon Metabolism,CcpA
15,PurR,9.037415,1.60E-29,0.857143,0.857143,12,14,Fisher's Exact Test,Purine Metabolism,PurR
16,SigS,--,--,--,--,--,137,Manual,Stress Response,SigS
17,SNFR,--,--,--,--,--,49,Manual,,
18,LacR,inf,8.51E-14,0.555556,1,5,9,Fisher's Exact Test,Lactose Metabolism,LacR
19,PyrR,inf,4.58E-22,0.8,1,8,10,Fisher's Exact Test,Pyrimidine Metabolism,PyrR
20,CcpA-2,3.293127,9.75E-10,0.526316,0.082645,10,19,Fisher's Exact Test,Glucose Independent Carbon Metabolism,CcpA
21,Gal/Man.,--,--,--,--,--,15,Manual,Galactose/Mannose Metabolism,
22,VraR,5.15293,3.73E-23,0.652174,0.333333,15,23,Fisher's Exact Test,Cell Wall Biosynthesis,VraR
23,Phi-Sa3,5.438846,3.27E-61,0.716667,0.589041,43,60,Fisher's Exact Test,Prophage Expression,
24,Autolysin,4.23104,2.67E-12,0.785714,0.071895,11,14,Fisher's Exact Test,Autolysin Expression,
25,B-Lactam Resistance,--,--,--,--,--,6,Manual,B-lactam Resistance,
26,MntR,7.942007,2.14E-08,0.5,0.75,3,6,Fisher's Exact Test,Manganese Acquisition,MntR
27,PerR,6.06593,1.35E-08,0.666667,0.235294,4,6,Fisher's Exact Test,Oxidative Stress Response,PerR
28,Agr,2.391616,7.74E-06,0.363636,0.054422,8,22,Fisher's Exact Test,Quroum Sensor/ Virulence Expression,AgrA
