sample_id,project_id,strain,OD600 growth-stage,sample-time,Temperature (degrees C),base-media,condition_id,accession,repository,mean phred scores,percent aligned,total reads,mapped reads,Data Source (PMID)
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,U01-Set001,USA300 LAC,0.4168,0hr,37,CA-MHB,PreCulture,SRR8195172,Sequence Read Archives (SRA),38.7,99.12,7210562,7147236,This Publication
USA300_LAC_U01-Set001_CAMHB_Control_1,U01-Set001,USA300 LAC,0.5405,2.5hr,37,CA-MHB,Control,SRR8195174,Sequence Read Archives (SRA),38.5,98.56,6025146,5938234,This Publication
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,U01-Set001,USA300 LAC,0.5789,2.5hr,37,CA-MHB,Nafcillin 0.15,SRR8195182,Sequence Read Archives (SRA),38.5,95.51,5503694,5256648,This Publication
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,U01-Set001,USA300 LAC,0.4916,2.5hr,37,CA-MHB,Nafcillin 0.5 ,SRR8195177,Sequence Read Archives (SRA),38.6,99.14,7071584,7011074,This Publication
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,U01-Set001,USA300 LAC,0.4272,2.5hr,37,CA-MHB,Nafcillin 1,SRR8195194,Sequence Read Archives (SRA),38.5,98.95,6676750,6606497,This Publication
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,U01-Set001,USA300 LAC,0.3917,0hr,37,CA-MHB,PreCulture,SRR7146299,Sequence Read Archives (SRA),39.7,99.49,11692898,11633246,This Publication
USA300_LAC_U01-Set001_CAMHB_Control_2,U01-Set001,USA300 LAC,0.5747,2hr,37,CA-MHB,Control,SRR7146313,Sequence Read Archives (SRA),39.6,98.98,10140778,10036884,This Publication
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,U01-Set001,USA300 LAC,0.5263,2hr,37,CA-MHB,Nafcillin 0.15,SRR7146318,Sequence Read Archives (SRA),39.6,96.85,10963088,10618013,This Publication
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,U01-Set001,USA300 LAC,0.5036,2hr,37,CA-MHB,Nafcillin 0.5 ,SRR7146320,Sequence Read Archives (SRA),39.7,99.52,12706870,12646427,This Publication
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,U01-Set001,USA300 LAC,0.4302,2hr,37,CA-MHB,Nafcillin 1,SRR7146311,Sequence Read Archives (SRA),39.6,99.36,12118516,12040492,This Publication
USA300_TCH1516_U01-Set000_CAMHB_Control_1,U01-Set000,USA300 TCH1516,0.7946,2.5hr,37,CA-MHB,Control,SRR6391835,Sequence Read Archives (SRA),38.4,97.15,14833886,14410782,31028276
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,U01-Set000,USA300 TCH1516,0.6237,2.5hr,37,CA-MHB,Nafcillin 0.0625,SRR6391842,Sequence Read Archives (SRA),38.5,98.62,16327102,16102147,31028276
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,U01-Set000,USA300 TCH1516,0.6357,2.5hr,37,CA-MHB,Nafcillin 0.5,SRR6391833,Sequence Read Archives (SRA),38.6,97.39,18096282,17623426,31028276
USA300_LAC_U01-Set001_R10LB_PreCulture_1,U01-Set001,USA300 LAC,0.3665,0hr,37,RPMI+10%LB,PreCulture,SRR8195163,Sequence Read Archives (SRA),39,99.57,14096020,14034961,This Publication
USA300_LAC_U01-Set001_R10LB_PreCulture_2,U01-Set001,USA300 LAC,0.373,0hr,37,RPMI+10%LB,PreCulture,SRR8195164,Sequence Read Archives (SRA),38.9,99.52,14535154,14465279,This Publication
USA300_LAC_U01-Set001_R10LB_Control_1,U01-Set001,USA300 LAC,0.3504,2hr,37,RPMI+10%LB,Control,SRR8195168,Sequence Read Archives (SRA),38.9,99.58,16643558,16573316,This Publication
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,U01-Set001,USA300 LAC,0.3259,2hr,37,RPMI+10%LB,Nafcillin 0.1,SRR8195183,Sequence Read Archives (SRA),38.9,99.58,15518390,15453645,This Publication
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,U01-Set001,USA300 LAC,0.287,2hr,37,RPMI+10%LB,Nafcillin 0.15,SRR8195170,Sequence Read Archives (SRA),38.9,98.24,15940960,15659812,This Publication
USA300_LAC_U01-Set001_R10LB_Control_2,U01-Set001,USA300 LAC,0.3701,2hr,37,RPMI+10%LB,Control,SRR8195187,Sequence Read Archives (SRA),38.7,99.63,13750778,13699574,This Publication
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,U01-Set001,USA300 LAC,0.3367,2hr,37,RPMI+10%LB,Nafcillin 0.1,SRR8195189,Sequence Read Archives (SRA),38.8,93.27,14346280,13380855,This Publication
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,U01-Set001,USA300 LAC,0.288,2hr,37,RPMI+10%LB,Nafcillin 0.15,SRR8195181,Sequence Read Archives (SRA),38.9,87.84,15009826,13184121,This Publication
USA300_TCH1516_U01-Set000_R10LB_Control_1,U01-Set000,USA300 TCH1516,0.4387,2.5hr,37,RPMI+10%LB,Control,SRR6802187,Sequence Read Archives (SRA),38.9,96.39,11022938,10624732,31028276
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,U01-Set000,USA300 TCH1516,0.3358,2.5hr,37,RPMI+10%LB,Nafcillin 0.031,SRR6802189,Sequence Read Archives (SRA),39,98.33,14142188,13906618,31028276
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,U01-Set000,USA300 TCH1516,0.291,2.5hr,37,RPMI+10%LB,Nafcillin 0.0625,SRR6802183,Sequence Read Archives (SRA),38.8,97.15,12927894,12560000,31028276
USA300_TCH1516_U01-Set000_R10LB_Control_2,U01-Set000,USA300 TCH1516,0.3575,2.5hr,37,RPMI+10%LB,Control,SRR6802182,Sequence Read Archives (SRA),38.9,98.13,14609358,14335589,31028276
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,U01-Set000,USA300 TCH1516,0.3627,2.5hr,37,RPMI+10%LB,Nafcillin 0.031,SRR6802190,Sequence Read Archives (SRA),38.8,97.06,11081704,10755565,31028276
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,U01-Set000,USA300 TCH1516,0.3308,2.5hr,37,RPMI+10%LB,Nafcillin 0.0625,SRR6802184,Sequence Read Archives (SRA),38.9,96.84,11683416,11314433,31028276
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,U01-Set000,USA300 TCH1516,0.3634,0hr,37,CA-MHB,PreCulture,SRR7203895,Sequence Read Archives (SRA),39,99.47,22965040,22844397,This Publication
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,U01-Set000,USA300 TCH1516,0.3686,0hr,37,CA-MHB,PreCulture,SRR7203896,Sequence Read Archives (SRA),39,99.65,21045900,20973175,This Publication
USA300_TCH1516_U01-Set000_CAMHB_Control_2,U01-Set000,USA300 TCH1516,0.8425,2.5hr,37,CA-MHB,Control,SRR7203886,Sequence Read Archives (SRA),39,97.28,20556530,19996496,31028276
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,U01-Set000,USA300 TCH1516,0.7385,2.5hr,37,CA-MHB,Nafcillin 0.0625,SRR7203884,Sequence Read Archives (SRA),39,98,19148208,18764783,31028276
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,U01-Set000,USA300 TCH1516,0.651,2.5hr,37,CA-MHB,Nafcillin 0.5,SRR7203890,Sequence Read Archives (SRA),38.8,97.84,21062460,20608349,31028276
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,U01-Set000,USA300 TCH1516,0.5626,2.5hr,37,CA-MHB,Nafcillin 1,SRR7203888,Sequence Read Archives (SRA),38.9,99.23,21167822,21003917,This Publication
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,U01-Set000,USA300 TCH1516,0.6047,2.5hr,37,CA-MHB,Nafcillin 1,SRR7203892,Sequence Read Archives (SRA),39.1,99.48,25203024,25072599,This Publication
USA300_LAC_U01-Set004_CAMHB_Control_1,U01-Set004,USA300 LAC,0.6683,2hr,37,CA-MHB,Vancomycin 0,SRR8710737,Sequence Read Archives (SRA),38.8,99.54,10594548,10545486,This Publication
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,U01-Set004,USA300 LAC,0.384,2hr,37,CA-MHB,Vancomycin 0.65,SRR8710736,Sequence Read Archives (SRA),39,99.37,10092832,10029313,This Publication
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,U01-Set004,USA300 LAC,0.2929,2hr,37,CA-MHB,Vancomycin 0.7,SRR8710734,Sequence Read Archives (SRA),38.9,99.28,9895108,9823740,This Publication
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,U01-Set004,USA300 LAC,0.0887,2hr,37,CA-MHB,Vancomycin 0.8,SRR8710733,Sequence Read Archives (SRA),39.2,99.21,9786612,9709640,This Publication
USA300_LAC_U01-Set004_CAMHB_Control_2,U01-Set004,USA300 LAC,0.5904,2hr,37,CA-MHB,Vancomycin 0,SRR8710732,Sequence Read Archives (SRA),39,99.38,8149382,8099196,This Publication
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,U01-Set004,USA300 LAC,0.4449,2hr,37,CA-MHB,Vancomycin 0.65,SRR8710735,Sequence Read Archives (SRA),39,99.21,12387428,12289007,This Publication
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,U01-Set004,USA300 LAC,0.2695,2hr,37,CA-MHB,Vancomycin 0.7,SRR8710731,Sequence Read Archives (SRA),39,99.38,8763888,8709635,This Publication
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,U01-Set004,USA300 LAC,0.0829,2hr,37,CA-MHB,Vancomycin 0.8,SRR8710730,Sequence Read Archives (SRA),39.1,99.23,13343112,13240791,This Publication
USA300_LAC_U01-Set004_R10LB_Control_1,U01-Set004,USA300 LAC,0.3854,2hr,37,RPMI+10%LB,Vancomycin 0,SRR8710739,Sequence Read Archives (SRA),39,99.43,15375246,15287828,This Publication
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,U01-Set004,USA300 LAC,0.2458,2hr,37,RPMI+10%LB,Vancomycin 0.6,SRR8710738,Sequence Read Archives (SRA),39,99.23,15118444,15002781,This Publication
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,U01-Set004,USA300 LAC,0.1869,2hr,37,RPMI+10%LB,Vancomycin 0.8,SRR8710727,Sequence Read Archives (SRA),38.9,99.21,15348576,15227671,This Publication
USA300_LAC_U01-Set004_R10LB_Control_2,U01-Set004,USA300 LAC,0.3456,2hr,37,RPMI+10%LB,Vancomycin 0,SRR8710726,Sequence Read Archives (SRA),38.9,99.27,15334236,15221872,This Publication
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,U01-Set004,USA300 LAC,0.2745,2hr,37,RPMI+10%LB,Vancomycin 0.6,SRR8710729,Sequence Read Archives (SRA),39,99.32,14448962,14351075,This Publication
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,U01-Set004,USA300 LAC,0.2025,2hr,37,RPMI+10%LB,Vancomycin 0.8,SRR8710728,Sequence Read Archives (SRA),38.7,99.4,11422132,11353400,This Publication
USA300_TCH1516_U01-Set003_CAMHB_Control_2,U01-Set003,USA300 TCH1516,0.8167,2.5hr,37,CA-MHB,Control,SRR11870502,Sequence Read Archives (SRA),34.6,99.65,15128982,15076063,This Publication
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,U01-Set003,USA300 TCH1516,0.83,2.5hr,37,CA-MHB,Vancomycin 0.45,SRR11870501,Sequence Read Archives (SRA),34.8,99.74,17344004,17298147,This Publication
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,U01-Set003,USA300 TCH1516,0.0446,2.5hr,37,CA-MHB,Vancomycin 0.65,SRR11870500,Sequence Read Archives (SRA),34.8,99.73,18910070,18859930,This Publication
