,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,sample,BioSample1,Submission,LibraryStrategy,LibrarySelection,LibrarySource,CenterName,InsertSize,InsertDev,BioSample2,doi,base_media,carbon_source,temperature,growth_phase,project,project_detail,condition,n_replicates,reference_condition,R1,R2,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_condition_name,passed_similar_replicates,passed_number_replicates,replicate
SBRG_BHIN_Growth_Late_1,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__BHIN_Growth_Late__1,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,BHIN,,30.0,Late,RichMedia,RichMedia,BHIN_Growth_Late,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_BHIN__Growth_phase_Late_Rep1_S59_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:BHIN_Growth_Late,True,True,1
SBRG_BHIN_Growth_Late_2,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__BHIN_Growth_Late__2,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,BHIN,,30.0,Late,RichMedia,RichMedia,BHIN_Growth_Late,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_BHIN__Growth_phase_Late_Rep2_S60_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:BHIN_Growth_Late,True,True,2
SBRG_BHIN_Growth_Mid_1,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__BHIN_Growth_Mid__1,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,BHIN,,30.0,Mid,RichMedia,RichMedia,BHIN_Growth_Mid,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_BHIN__Growth_phase_Mid_Rep1_S61_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:BHIN_Growth_Mid,True,True,1
SBRG_BHIN_Growth_Mid_2,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__BHIN_Growth_Mid__2,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,BHIN,,30.0,Mid,RichMedia,RichMedia,BHIN_Growth_Mid,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_BHIN__Growth_phase_Mid_Rep2_S62_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:BHIN_Growth_Mid,True,True,2
SBRG_BHIN_Growth_Stat_1,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__BHIN_Growth_Stat__1,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,BHIN,,30.0,Stationary,RichMedia,RichMedia,BHIN_Growth_Stat,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_BHIN__Growth_phase_Stationary_Rep1_S63_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:BHIN_Growth_Stat,True,True,1
SBRG_BHIN_Growth_Stat_2,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__BHIN_Growth_Stat__2,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,BHIN,,30.0,Stationary,RichMedia,RichMedia,BHIN_Growth_Stat,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_BHIN__Growth_phase_Stationary_Rep2_S64_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:BHIN_Growth_Stat,True,True,2
SBRG_LBv2_Growth_Late_1,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__LBv2_Growth_Late__1,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,LBv2,,30.0,Late,RichMedia,RichMedia,LBv2_Growth_Late,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_LBv2__Growth_phase_Late_Rep1_S75_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:LBv2_Growth_Late,True,True,1
SBRG_LBv2_Growth_Late_2,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__LBv2_Growth_Late__2,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,LBv2,,30.0,Late,RichMedia,RichMedia,LBv2_Growth_Late,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_LBv2__Growth_phase_Late_Rep2_S76_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:LBv2_Growth_Late,True,True,2
SBRG_LBv2_Growth_Mid_1,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__LBv2_Growth_Mid__1,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,LBv2,,30.0,Mid,RichMedia,RichMedia,LBv2_Growth_Mid,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_LBv2__Growth_phase_Mid_Rep1_S73_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:LBv2_Growth_Mid,True,True,1
SBRG_LBv2_Growth_Mid_2,na,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,691,1236,1219067,Vibrio natriegens,SINGLE,ILLUMINA,Illumina NovaSeq 6000,,na,na,na,Rich_TF_over_stress__LBv2_Growth_Mid__2,na,na,RNA-Seq,RANDOM,TRANSCRIPTOMIC,UCSD-SBRG,0,0,,,LBv2,,30.0,Mid,RichMedia,RichMedia,LBv2_Growth_Mid,2,LBv2_Growth_Mid,Vnat_data/VCi_HRS_Vnat_LBv2__Growth_phase_Mid_Rep2_S74_L002_R1_001.fastq.gz,,True,,True,True,Rich_TF_over_stress:LBv2_Growth_Mid,True,True,2
