,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,U01-Set001__USA300 LAC CA-MHB PreCulture,1.2822769965,0.12054425408983982,2.0,0.0,1.197039337,5.0,1.367514656,,
1,U01-Set001__USA300 LAC CA-MHB Control,0.0,0.08701108324368947,2.0,1.0,0.06152612700000001,6.0,-0.06152612700000001,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,0.5065171965,0.11967426243317995,2.0,2.0,0.5911396790000001,7.0,0.421894714,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,0.8650412845000001,0.041362257127447885,2.0,3.0,0.8357937520000001,8.0,0.8942888170000001,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,-0.16268214450000001,0.047408488211282,2.0,4.0,-0.12915928100000001,9.0,-0.19620500800000001,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,0.0,0.17742298523778716,2.0,10.0,0.12545699600000002,29.0,-0.12545699600000002,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,-0.17524436950000002,0.7346617927044752,2.0,11.0,-0.6947287050000001,30.0,0.344239966,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,0.1296419665,0.12092569152924248,2.0,12.0,0.21514934300000002,31.0,0.04413459,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,0.634638382,0.5005421549006828,2.0,13.0,0.28070163,14.0,0.9885751340000001,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,0.5568045845,0.1672349023461037,2.0,15.0,0.43855165100000004,18.0,0.675057518,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,0.4056275495,0.2971911811499935,2.0,16.0,0.19548165,19.0,0.6157734490000001,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,-0.39173841600000003,0.05634228953814755,2.0,17.0,-0.43157843100000004,20.0,-0.351898401,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,3.2101323964999997,0.36879993013558915,2.0,21.0,3.470913328,24.0,2.949351465,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,3.5625634315,0.11434196736782513,2.0,22.0,3.481711451,25.0,3.643415412,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,3.6358954495000004,0.2312911823947751,2.0,23.0,3.7994430130000003,26.0,3.472347886,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,2.6659757309999996,0.657880179312372,2.0,27.0,3.131167267,28.0,2.2007841949999998,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,1.2451751325,0.44957206034223207,2.0,32.0,1.5630705850000002,33.0,0.92727968,,
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,0.3322123175,0.12826054269740247,2.0,34.0,0.42290621700000003,38.0,0.241518418,,
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,0.5211505815,0.13242168225692225,2.0,35.0,0.6147868510000001,39.0,0.427514312,,
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,0.6387102025,0.01870267384200218,2.0,36.0,0.65193499,40.0,0.625485415,,
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,0.1881842115,0.22229557074284556,2.0,37.0,0.345370917,41.0,0.030997506,,
