k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,S-box,S-box,,AA/Nucleotide Metabolism,23,0.01064629658123517,0.6521739130434783,0.5769230769230769,1
1,uncharacterized-1,,,Uncharacterized,87,0.006978258014934902,,,10
2,WalR,WalR,,Cellular Processes,18,0.0033239177615767,0.3888888888888889,0.2916666666666667,5
3,uncharacterized-2,,,Uncharacterized,152,0.0014332490986546098,,,10
4,Rex,Rex,,Misc. Metabolism,7,0.004055242890925959,1.0,0.5833333333333334,2
5,Fnr,Fnr,,Misc. Metabolism,10,0.007025051149197936,0.6,0.5454545454545454,2
6,ybc-operon,,,Prophages,5,0.002899331190177268,,,7
7,YvaF,,,Other,5,0.0008005260023185023,,,8
8,SPbeta-1,,,Prophages,88,0.01823743779419873,,,7
9,uncharacterized-3,,,Uncharacterized,170,0.0006676259086574321,,,10
10,SigM,SigM,,Stress Response,19,0.004561626933736962,0.8947368421052632,0.1827956989247312,6
11,EAR riboswitch,EAR riboswitch,,Lifestyles,18,0.006146422724561007,0.8333333333333334,1.0,4
12,SigB-1,SigB,,Stress Response,53,0.012402394883761936,0.9622641509433962,0.23076923076923078,6
13,PyrR,PyrR,,AA/Nucleotide Metabolism,9,0.013346089532812577,1.0,0.9,1
14,SigV,SigV,,Stress Response,21,0.001917016869721233,0.3333333333333333,0.3333333333333333,6
15,CodY,CodY,,AA/Nucleotide Metabolism,73,0.012640582907592957,0.821917808219178,0.32085561497326204,1
16,ManR,ManR,,Carbon Metabolism,4,0.005030609405096587,1.0,1.0,0
17,SG_1,,,Single Gene,1,0.002085629816143242,,,9
18,CymR-1,CymR,,AA/Nucleotide Metabolism,29,0.006400181898911672,0.7586206896551724,0.5238095238095238,1
19,carbon metabolism/skin element,,,Carbon Metabolism,128,0.01952742876881597,,,0
20,SG_2,,,Single Gene,2,0.0022248260238056927,,,9
21,CymR-2,CymR,,Misc. Metabolism,21,0.0028743945608804555,0.8571428571428571,0.42857142857142855,2
22,stringent response,stringent response,,Cellular Processes,35,0.025893506907103236,0.9142857142857143,0.21768707482993196,5
23,SG_3,,,Single Gene,7,0.0011160853079503763,,,9
24,PhoP,PhoP,,Misc. Metabolism,18,0.01569577239542741,0.9444444444444444,0.2537313432835821,2
25,SigB-2,SigB,,Stress Response,56,0.013784705814032239,0.6964285714285714,0.17647058823529413,6
26,YonO-1,YonO,,Prophages,41,0.015054901825646283,0.9024390243902439,0.9024390243902439,7
27,TnrA-1,TnrA,,AA/Nucleotide Metabolism,38,0.01110722118477181,0.6052631578947368,0.27380952380952384,1
28,YlxR-1,YlxR,,AA/Nucleotide Metabolism,10,0.004413804946766797,0.8,0.2222222222222222,1
29,MtlR,MtlR,,Carbon Metabolism,3,0.003659068223981432,1.0,1.0,0
30,ImmR,ImmR,,Cellular Processes,17,0.014787485243133891,0.9411764705882353,0.8888888888888888,5
31,SigD,SigD,,Lifestyles,74,0.021725719398940413,0.8378378378378378,0.5166666666666667,4
32,TnrA-2,TnrA,,AA/Nucleotide Metabolism,32,0.006962104210686659,0.65625,0.25,1
33,SwrA,SwrA,,Lifestyles,25,0.016596138285934647,1.0,0.78125,4
34,YlxR-2,YlxR,,AA/Nucleotide Metabolism,13,0.014666877951316049,0.9230769230769231,0.3333333333333333,1
35,ComA,ComA,,Cellular Processes,21,0.0006258246839293546,0.2857142857142857,0.24,5
36,SigK,SigK,,Lifestyles,133,0.02650798029348056,0.6466165413533834,0.6466165413533834,4
37,SigI,SigI,,Stress Response,7,0.0019322582936582844,0.7142857142857143,0.29411764705882354,6
38,Zur,Zur,,Homeostasis,15,0.005983736805797557,0.8,1.0,3
39,Thi-box,Thi-box,,Misc. Metabolism,12,0.007487567862646927,1.0,0.8571428571428571,2
40,ComK/LevR/NusA,ComK or LevR or NusA,,Cellular Processes,129,0.011770406131327515,0.1937984496124031,0.352112676056338,5
41,SPbeta-2,,,Prophages,55,0.015380179184516063,,,7
42,SigB-3,SigB,,Stress Response,83,0.013571704351955427,0.7469879518072289,0.28054298642533937,6
43,FruR,FruR,,Carbon Metabolism,3,0.0018261241153076924,1.0,1.0,0
44,AcoR,AcoR,,Carbon Metabolism,4,0.006948559142434418,1.0,1.0,0
45,LnrK,LnrK,,Cellular Processes,3,0.001320375248706429,1.0,1.0,5
46,DegU,DegU,,Other,27,0.0059333914610573135,0.37037037037037035,0.11904761904761904,8
47,Xre/Xpf,Xre or Xpf,,Prophages,54,0.024476582683961245,0.6111111111111112,1.0,7
48,Fur,Fur,,Homeostasis,40,0.017337335684266764,0.95,0.6229508196721312,3
49,CcpA-1,CcpA,,Carbon Metabolism,82,0.011862196137305547,0.7195121951219512,0.22519083969465647,0
50,CcpN,CcpN,,Cellular Processes,6,0.003658181407132477,0.6666666666666666,0.6666666666666666,5
51,uncharacterized-4,,,Uncharacterized,4,0.004806380055253356,,,10
52,ykzB-related,,,Lifestyles,16,0.00535674989416135,,,4
53,SG_4,,,Single Gene,4,0.0008374411912156488,,,9
54,G-box,G-box,,AA/Nucleotide Metabolism,15,0.005721662505509095,1.0,0.9375,1
55,ResD,ResD,,Misc. Metabolism,58,0.011394957136069972,0.4827586206896552,0.56,2
56,SigW,SigW,,Stress Response,55,0.006527954201252073,0.8727272727272727,0.6075949367088608,6
57,SigE,SigE,,Lifestyles,97,0.09071255165621939,0.6288659793814433,0.25523012552301255,4
58,Rok,Rok,,Cellular Processes,96,0.008361049985278202,0.15625,0.4411764705882353,5
59,GlpP,GlpP,,Carbon Metabolism,13,0.004960021318237251,0.38461538461538464,1.0,0
60,YonO-2,YonO,,Prophages,12,0.0009402129334364906,0.4166666666666667,0.12195121951219512,7
61,early-biofilm,,,Lifestyles,35,0.005534836399135434,,,4
62,SG_5,,,Single Gene,5,0.0009045154867356464,,,9
