locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TrpR,Trp-tRNA,L-tryptophan,link
b1264,0.2874681961,trpE,anthranilate synthase subunit TrpE,Amino acid transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA,rydC",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11028
b1263,0.2856753041,trpD,anthranilate synthase subunit TrpD,Nucleotide transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11027
b3161,0.2177157218,mtr,tryptophan:H(+) symporter Mtr,Amino acid transport and metabolism,mtr,"RpoD,IHF,HU,TyrR,TrpR,Lrp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10617
b1262,0.2102724714,trpC,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,trpLEDCBA,"RpoD,ppGpp,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11026
b1260,0.2073055274,trpA,tryptophan synthase subunit alpha,Amino acid transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11024
b1261,0.2042868886,trpB,tryptophan synthase subunit beta,Amino acid transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11025
b2601,0.1539802851,aroF,3-deoxy-7-phosphoheptulonate synthase%2C Tyr-sensitive,Amino acid transport and metabolism,aroF-tyrA,"RpoD,SoxR,TyrR,Nac",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10078
b2600,0.142925299,tyrA,fused chorismate mutase/prephenate dehydrogenase,Amino acid transport and metabolism,aroF-tyrA,"RpoD,SoxR,TyrR",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11039
b1704,0.11616991260000001,aroH,3-deoxy-7-phosphoheptulonate synthase%2C Trp-sensitive,Amino acid transport and metabolism,aroH,"RpoD,YeiE,TrpR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10080
b3709,-0.154880484,tnaB,tryptophan:H(+) symporter TnaB,Amino acid transport and metabolism,tnaCAB,"RpoD,Crp,TorR,Nac,L-tryptophan",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11006
b3708,-0.1954214854,tnaA,tryptophanase,Amino acid transport and metabolism,tnaCAB,"RpoD,Crp,TorR,RplD,Nac,L-tryptophan",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11005
