,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,SRS_Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project,project_name,reference_condition,condition,condition_name,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,co_culture,time,host_plant,host_genotype,infiltration_agent,inoculation_time (h post infiltration),sample_time (h post inoculation),additional_notes,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_condition_name,passed_similar_replicates,passed_number_replicates,replicate,sample,n_replicates
SRX1828913,6/12/16 16:20,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR3644698,SRP076234,PRJNA324711,324711,SRS1490487,SAMN05213586,SRA431728,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,USDA-ARS,0,0,2612083,,,27325679,5213586,PS368+pJN105,,,algU_regulon,algU_regulon,empty_vector,empty_vector,empty_vector,DC3000,,,,,,,,,,,,,,,,,,True,True,True,True,algU_regulon:empty_vector,True,True,1.0,algU_regulon__empty_vector__1.0,3.0
SRX1828914,6/12/16 16:23,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR3644699,SRP076234,PRJNA324711,324711,SRS1490488,SAMN05213587,SRA431728,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,USDA-ARS,0,0,2612084,,,27325679,5213587,PS368+pEM53,,,algU_regulon,algU_regulon,empty_vector,algU_overexpression,algU_overexpression,DC3000,,,,,,,,,,,,,,,,,,True,True,True,True,algU_regulon:algU_overexpression,True,True,1.0,algU_regulon__algU_overexpression__1.0,3.0
SRX1828915,6/12/16 16:20,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR3644700,SRP076234,PRJNA324711,324711,SRS1490489,SAMN05213588,SRA431728,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,USDA-ARS,0,0,2612085,,,27325679,5213588,PS368+pJN105,,,algU_regulon,algU_regulon,empty_vector,empty_vector,empty_vector,DC3000,,,,,,,,,,,,,,,,,,True,True,True,True,algU_regulon:empty_vector,True,True,2.0,algU_regulon__empty_vector__2.0,3.0
SRX1828916,6/12/16 16:21,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR3644701,SRP076234,PRJNA324711,324711,SRS1490490,SAMN05213589,SRA431728,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,USDA-ARS,0,0,2612086,,,27325679,5213589,PS368+pEM53,,,algU_regulon,algU_regulon,empty_vector,algU_overexpression,algU_overexpression,DC3000,,,,,,,,,,,,,,,,,,True,True,True,True,algU_regulon:algU_overexpression,True,True,2.0,algU_regulon__algU_overexpression__2.0,3.0
SRX1828917,6/12/16 16:21,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR3644702,SRP076234,PRJNA324711,324711,SRS1490491,SAMN05213590,SRA431728,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,USDA-ARS,0,0,2612087,,,27325679,5213590,PS368+pJN105,,,algU_regulon,algU_regulon,empty_vector,empty_vector,empty_vector,DC3000,,,,,,,,,,,,,,,,,,True,True,True,True,algU_regulon:empty_vector,True,True,3.0,algU_regulon__empty_vector__3.0,3.0
SRX1828918,6/12/16 16:21,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR3644703,SRP076234,PRJNA324711,324711,SRS1490492,SAMN05213591,SRA431728,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,USDA-ARS,0,0,2612088,,,27325679,5213591,PS368+pEM53,,,algU_regulon,algU_regulon,empty_vector,algU_overexpression,algU_overexpression,DC3000,,,,,,,,,,,,,,,,,,True,True,True,True,algU_regulon:algU_overexpression,True,True,3.0,algU_regulon__algU_overexpression__3.0,3.0
SRX3983989,4/22/18 0:43,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR7053049,SRP141743,PRJNA439629,439629,SRS3208811,SAMN08769774,SRA694203,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,5451772,,,"33361318, https://doi.org/10.1101/2021.09.05.459016",8769774,DC3000,,,co_culture,co_culture,mono_12.5,c_viol_40,c_viol_40,DC3000,M9-Glucose,Glucose,,1.0,,27.0,7.4,,,Chromobacterium violaceum ATCC 315322,40.0,,,,,,,True,True,True,True,co_culture:c_viol_40,True,True,1.0,co_culture__c_viol_40__1.0,4.0
SRX3983990,4/22/18 0:43,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR7053048,SRP141745,PRJNA439612,439612,SRS3208813,SAMN08769697,SRA694203,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,5451773,,,"33361318, https://doi.org/10.1101/2021.09.05.459016",8769697,DC3000,,,co_culture,co_culture,mono_12.5,c_viol_12.5,c_viol_12.5,DC3000,M9-Glucose,Glucose,,1.0,,27.0,7.4,,,Chromobacterium violaceum ATCC 315322,12.5,,,,,,,True,True,True,True,co_culture:c_viol_12.5,True,True,1.0,co_culture__c_viol_12.5__1.0,4.0
SRX3983993,4/22/18 0:44,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR7053045,SRP141746,PRJNA439596,439596,SRS3208814,SAMN08769730,SRA694203,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,5451776,,,"33361318, https://doi.org/10.1101/2021.09.05.459016",8769730,DC3000,,,co_culture,co_culture,mono_12.5,b_thai_30,b_thai_30,DC3000,M9-Glucose,Glucose,,1.0,,27.0,7.4,,,Burkholderia thailandensis E264,30.0,,,,,,,True,True,True,True,co_culture:b_thai_30,True,True,1.0,co_culture__b_thai_30__1.0,4.0
SRX3983994,4/22/18 0:41,223283,Pseudomonas syringae pv. tomato str. DC3000,251701,1236,223283,Pseudomonas syringae group genomosp. 3,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR7053044,SRP141815,PRJNA439592,439592,SRS3208885,SAMN08769622,SRA694203,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,5451777,,,"33361318, https://doi.org/10.1101/2021.09.05.459016",8769622,DC3000,,,co_culture,co_culture,mono_12.5,b_thai_25,b_thai_25,DC3000,M9-Glucose,Glucose,,1.0,,27.0,7.4,,,Burkholderia thailandensis E264,25.0,,,,,,,True,True,True,True,co_culture:b_thai_25,True,True,1.0,co_culture__b_thai_25__1.0,3.0
