k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,Nitrogen,NtrC,"Nitrogen stress response: ntrB/ntrC two component system, glnK, amtB, utilization of alternate nitrogen sources: urea (conversion of urea to ammonia), amino acids (transporters), pyrimidines (rutABCD), allantoin (allantoin permease), GABA (GABA permease)",Metabolism,33,0.3638259566,0.151515,0.5,0
1,Unchar-1,,"colR/colS two component system, pyruvate metabolism, insecticidal toxins, groES, glycerol uptake, etc.",Uncharacterized,88,0.09782665730000001,,,1
2,Chemotaxis,,"crp, csrA, flgM, chemotaxis proteins, membrane components, fliC, methyl accepting chemotaxis proteins, glycosyltransferase, several genes involved in signal transduction, flagellar genes: hook-associated proteins, filament capping protein, motor protein, motor stator protein",Motility,110,1.2663363466,,,2
3,Sulfur-1,,"Taurine, alkane sulfonate, cysteine, and methionine transport",Metabolism,62,0.8077764508,,,3
4,Recombination,,"Recombinases family proteins, several genes of unknown function",Stress Response,60,3.6040224658,,,4
5,Unchar-4,,"Zinc transporters, cadA, rpme-1, iron transporters and receptors",Uncharacterized,26,0.26013003630000003,,,5
6,IS-elements,,"transposases, ptrB",Genomic,82,0.2227015531,,,6
7,Unchar-9,PSPTO_3698,"molybdenum cofactor-associated genes: moaA, fdhD, oxidoreductase (molydopterin binding protein); xanyhine dehydrogenase subunits (xdhAB) and xanthine dehydrogenase accessory protein (xdhC)",Uncharacterized,12,1.6388544611,0.25,0.75,7
8,Alginate,,"Alginate biosynthesis, phenol degradation protein, benzaldehyde dehydrogenase, dimethylglycine demethylation, genes involved in amino acid transport and metabolism",Exometabolites,20,0.4681388395,,,8
9,Resistance-1,,"MarR transcriptional regulator, efflux transporter subunits (RND, MFS, etc.), sulforaphane/aliphatic isothiocyanate, resistance proteins (saxAF)",Stress Response,56,1.4477274062,,,9
10,Sulfur-2,,"Sulfur starvation response protein (oscA), alkane sulfonate transporters, sulfate transporters, amino acid transporters",Metabolism,32,1.5036512778,,,10
11,Unchar-6,,uncharacterized,Uncharacterized,43,0.6282692082,,,11
12,Plasmid,,"Plasmid genes: conjugal transfer proteins, DNA primase, glycoside hydrolase, mobilization proteins, type III effectors, integrase, UV resistance protein A, replication initiation protein; efflux transporters, glycine metabolism, sarcosine oxidase subunits ( likely due to plasmid manipulation)",Genomic,80,0.6111008681,,,12
13,Transport,,"Transport of inorganic ions, amino acids, carbohydrates, and lipids; membrane proteins; carbon starvation protein A; tryptophan synthesis; syringafactin synthesis",Metabolism,95,6.3585376289,,,13
14,Chaperone,,"Chaperones, heat shock proteins, proteins involved in repair processes other than in response to heat shock, ATP-dependent protease ATPase subunits",Stress Response,35,0.4967178715,,,14
15,Coronatine,,Coronatine biosynthesis: coronamic acid and coronafacic acid; alginate biosynthesis; type III effectors,Exometabolites,37,1.2604817858000001,,,15
16,Unchar-8,,"fur, ribosomal proteins (rpsT, rplS, rpmE), ribosomal modulation factor, cold shock proteins, bacterioferritin, bacterioferritin-associated ferredoxin, transposases",Uncharacterized,43,1.450440005,,,16
17,Unchar-2,,"oxidative stress response: pqq, kdpf, organic hydroperoxide resistance protein, pirin (ortholog); nusA",Uncharacterized,36,0.15392661230000002,,,17
18,Translation-2,,"Ribosome maturation factor, rho, rpsU, rpiU",Translation,17,1.0519291492,,,18
19,single_gene_1,,"baeR, exdb, unknown genes",Noise,6,0.11598190010000001,,,19
20,single_gene_2,,"helix-turn-helix domain-containing protein, IS element, holin, kdpF, genes of unknown function",Noise,12,0.0775806264,,,20
