,A,Rv0681
R2,,0.05459697586765455
xmin,,-3.9784543108
xmid,,-1.2001993718251278
xmax,,1.6125724694999999
ystart,,2.159733374696398
yend,,-6.256609572704121
AX:AX_10_MIC:1,1.2295612757,0.27350904060000003
AX:AX_10_MIC:2,1.666791705,-0.0074547523
AX:AX_30_MIC:1,0.8421954839,0.1541668592
AX:AX_30_MIC:2,0.5070172339,0.3963482983
AX:QZ_10_MIC:1,0.7254091643,0.06572486970000001
AX:QZ_10_MIC:2,1.0392085586,0.4379116789
AX:QZ_30_MIC:1,0.48933054410000004,0.18745070700000002
AX:QZ_30_MIC:2,0.6715075641,0.0034999457
AX:wt:1,0.4699492508,-0.1432935631
AX:wt:2,-0.4699492508,0.1432935631
ITM_04:00h_clinic_ctrl:1,-6.1912806187000005,0.047505841900000005
ITM_04:00h_clinic_ctrl:2,-6.0059210072,-0.1913537873
ITM_04:00h_h37rv_control:1,0.0358479463,-0.0377144756
ITM_04:00h_h37rv_control:2,0.4661353338,-0.20424408030000002
ITM_04:00h_h37rv_control:3,-0.5019832801,0.2419585559
ITM_04:06h_clinic_delam:1,-7.9568321294,-0.27371033570000003
ITM_04:06h_clinic_delam:2,-8.0687475921,-0.3841005725
ITM_04:06h_clinic_delam:3,-7.0215947975,-0.38376036420000004
ITM_04:06h_clinic_DMSO:1,-15.0322165459,0.3230143836
ITM_04:06h_clinic_DMSO:2,-14.9140424901,0.43928342540000004
ITM_04:06h_clinic_DMSO:3,-14.4886115936,0.3580978446
ITM_04:06h_h37rv_delam:1,-7.421981378,0.34661389270000004
ITM_04:06h_h37rv_delam:2,-6.3639114041,0.2550615111
ITM_04:06h_h37rv_delam:3,-6.9285004763,-0.028356645700000002
ITM_04:06h_h37rv_DMSO:1,-12.6712421577,0.4780434575
ITM_04:06h_h37rv_DMSO:2,-12.5605649764,0.5943750574000001
ITM_04:06h_h37rv_DMSO:3,-11.0204763549,0.3664512361
ITM_04:24h_clinic_delam:1,-11.2221815874,0.0164865439
ITM_04:24h_clinic_delam:2,-11.832786522,-0.21012897160000002
ITM_04:24h_clinic_delam:3,-11.7486710769,-0.2835989914
ITM_04:24h_clinic_DMSO:1,-17.9457573343,0.3249323323
ITM_04:24h_clinic_DMSO:2,-18.8885044738,0.37828229999999996
ITM_04:24h_clinic_DMSO:3,-17.5764050137,0.3203862919
ITM_04:24h_h37rv_delam:1,-12.2306054412,0.3803779003
ITM_04:24h_h37rv_delam:2,-10.2239161413,0.4352644888
ITM_04:24h_h37rv_delam:3,-10.977052658,0.39200959020000004
ITM_04:24h_h37rv_DMSO:1,-15.8732669162,0.3642238249
ITM_04:24h_h37rv_DMSO:2,-15.4939341948,0.7217675663
JSF:DMSO:1,0.16351135860000002,0.0469878963
JSF:DMSO:2,-0.0663159972,-0.0780279303
JSF:DMSO:3,-0.1205705901,0.0845115218
JSF:DMSO:4,0.0233752287,-0.0534714878
JSF:JSF_2019:1,5.9488935033,0.0680645558
JSF:JSF_2019:2,5.9610439768,-0.1354992815
JSF:JSF_2019:3,5.2609405769,0.0467417955
JSF:JSF_2019:4,6.0527120488,0.0113313183
JSF:JSF_2026:1,1.0429997492,-0.38904326770000003
JSF:JSF_2026:2,1.0346702456,-0.36023400180000004
JSF:JSF_2026:3,1.2789190271,-0.40130200660000004
JSF:JSF_2026:4,1.3705348651,-0.2884786493
MTS1338:over_expression:1,-0.038770464500000004,-0.019962848800000002
MTS1338:over_expression:2,0.038770464500000004,0.019962848800000002
PAS:control:1,-0.1496165173,0.21013061130000002
PAS:control:2,0.4558875337,-0.0886868088
PAS:control:3,-0.3062710164,-0.1214438026
PAS:treated:1,3.2178974277,0.4963971783
PAS:treated:2,3.4498924612,0.7724364596000001
PAS:treated:3,2.7068666492,0.31274223630000003
THP-1:24h_THP_B_enriched:1,1.7984111111,0.157224538
THP-1:24h_THP_B_enriched:2,-1.7984111111,-0.157224538
aminoimidazoles:02h_treated:1,-1.5039300509,0.212539196
aminoimidazoles:02h_treated:2,-1.90129466,0.22335581910000002
aminoimidazoles:24h_treated:1,2.7553142201,-0.125779642
aminoimidazoles:24h_treated:2,2.2203429781,0.051173055
aminoimidazoles:untreated:1,0.0174828687,-0.0195594527
aminoimidazoles:untreated:2,-0.46335196710000004,-0.0157269389
aminoimidazoles:untreated:3,0.4458690984,0.0352863916
antibiotic:ctrl_24h:1,-0.8491250337,0.2680760092
antibiotic:ctrl_24h:2,-0.5967528443,0.0666175204
antibiotic:ctrl_24h:3,-0.7740593565,0.3029755303
antibiotic:ctrl_4h:1,-0.029186813500000002,-0.1078642045
antibiotic:ctrl_4h:2,0.0681933167,0.1887210961
antibiotic:ctrl_4h:3,-0.0390065031,-0.08085689160000001
antibiotic:izd_4h:1,-12.4739173535,1.0063163457
antibiotic:izd_4h:2,-13.13381028,1.6125724694999999
base:wt_glu_24:1,2.4109245595,-0.2680118312
base:wt_glu_24:2,2.0871886175,0.0097125356
base:wt_glu_24:3,2.024704318,0.2243434377
base:wt_glu_6:1,-0.6110274871,0.0106998244
base:wt_glu_6:2,0.5055767123,-0.0588764177
base:wt_glu_6:3,0.10545077480000001,0.0481765933
base:wt_llac_24:1,-1.2053201862,0.2359680389
base:wt_llac_24:2,-1.6879224322000002,0.1471676764
base:wt_llac_24:3,-1.929948563,0.0968834329
base:wt_llac_6:1,-0.44966778700000004,0.3248592213
base:wt_llac_6:2,-1.8849875916,0.1332007785
base:wt_llac_6:3,-0.287235324,-0.22856034590000002
base:wt_pyr_24:1,-0.690702625,0.1828929471
base:wt_pyr_24:2,0.3131277203,-0.0578326817
base:wt_pyr_24:3,0.6901955453,-0.1166898489
base:wt_pyr_6:1,-2.9599123104,-0.19769271400000002
base:wt_pyr_6:2,-2.3849584391,0.178314628
base:wt_pyr_6:3,-1.9545537826000001,-0.0999996045
biofilm:biofilm:1,5.6588550534,0.41115486300000004
biofilm:biofilm:2,5.7372184334,0.3984276289
biofilm:planktonic:1,-0.0024122754,-0.020367577
biofilm:planktonic:2,0.0024122754,0.020367577
btz043:0_days_.006:1,-0.586611399,-0.0581924838
btz043:0_days_.006:2,-0.5697840022,0.0105422237
btz043:0_days_.006:3,-0.10920701940000001,0.0574316933
btz043:0_days_control:1,-0.023934134000000003,0.052334485900000005
btz043:0_days_control:2,0.055267949600000005,-0.06286934620000001
btz043:0_days_control:3,-0.0313338156,0.0105348603
btz043:1_days_.006:1,-3.9022653603,0.3817458716
btz043:1_days_.006:2,-3.9817307464000002,0.5638581903000001
btz043:1_days_.006:3,-4.0785399801,0.5282473452
btz043:1_days_.006:4,-3.2892909926,0.22827086640000002
btz043:1_days_control:1,-4.5683367272,0.28343807800000004
btz043:1_days_control:2,-4.6125329774,0.3158766237
btz043:1_days_control:3,-4.6431023746,0.3294636534
btz043:1_days_control:4,-4.5975752857,0.34932122190000003
clarithromycin:1_days_control:1,0.1355755259,-0.07024409870000001
clarithromycin:1_days_control:2,-0.2236543905,0.1522300142
clarithromycin:1_days_control:3,0.0880788646,-0.0819859155
cnpB:del:1,-2.5708476410000003,0.0552568466
cnpB:del:2,-1.3392155343,-0.3380710071
cnpB:del:3,-4.069411974,0.07968245830000001
cnpB:wt:1,-0.6593246934,-0.042119786
cnpB:wt:2,-0.0004474128,0.0906373183
cnpB:wt:3,0.6597721062,-0.0485175323
csoR:ko:1,-1.5573876807,0.2769012174
csoR:ko:2,-0.7376533636,0.3550652103
csoR:wt:1,0.5657205619,-0.12529296
