,A,RpoH
R2,,0.26062744496906665
xmin,,-11.07822858
xmid,,0.44008372384386346
xmax,,2.123652802
ystart,,-0.3234163400900414
yend,,22.381515389287266
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-1.3521526334,-0.023578948000000002
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,1.3521526334,0.023578948000000002
AB569_EDTA_NaNO2:NaNO2:1,10.5799644584,1.101342286
AB569_EDTA_NaNO2:NaNO2:2,11.069696405,1.179468021
AB569_EDTA_NaNO2:EDTA:1,-3.3670788647,0.258020354
AB569_EDTA_NaNO2:EDTA:2,-3.6232815343,0.288636628
AB569_EDTA_NaNO2:EDTA:3,-4.4765664794,0.212236748
AB569_EDTA_NaNO2:NaNO2_EDTA:1,11.3253551972,1.326731013
AB569_EDTA_NaNO2:NaNO2_EDTA:2,12.1886934314,1.431957662
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.057407265900000004,0.011612359000000001
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.057407265900000004,-0.011612359000000001
Anthranilate_metabolism_GntR_AntP:antP:1,3.1208819502,-0.6730204870000001
Anthranilate_metabolism_GntR_AntP:antP:2,2.4251087317,-0.548276208
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,0.1952646099,0.118235882
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,-0.1952646099,-0.118235882
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,1.2548686425,0.195645064
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,-1.6853630459,0.16806072200000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,-3.3446717359,-0.998930521
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,-4.8259728274,-1.252690603
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,17.9998157181,1.880462846
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,16.4910209596,1.787262391
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,16.5985435034,2.123652802
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,17.5901693726,1.7862543670000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,-4.5740635601,-1.687652104
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,-5.095157546,-1.4837291430000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,-3.493435934,-0.705094796
Catabolise_Nucleic_Acids:L_asp:1,-1.5416723543000002,-1.003192707
Catabolise_Nucleic_Acids:L_asp:2,3.0846588495,-0.8872767960000001
Catabolise_Nucleic_Acids:DNA_1:1,0.0787749797,-0.00036634700000000005
Catabolise_Nucleic_Acids:DNA_1:2,0.058262838600000005,0.186529243
Catabolise_Nucleic_Acids:DNA_1:3,-0.1370378183,-0.18616289600000002
Catabolite_repression:del_hfq_crc_wt:1,0.61843389,0.05945795500000001
Catabolite_repression:del_hfq_crc_wt:2,-0.61843389,-0.05945795500000001
Catabolite_repression:delHfq:1,7.2588102756,-0.112100508
Catabolite_repression:delHfq:2,7.4900374389,-0.218369741
Catabolite_repression:deldcrc:1,4.8388336558,-0.60156109
Catabolite_repression:deldcrc:2,4.0286428243,-0.459179108
Diallyl_disulphide_treatment:PAO1_ctrl_wt:1,0.0604331643,-0.21115830600000002
Diallyl_disulphide_treatment:PAO1_ctrl_wt:2,-3.054122016,0.041207908
Diallyl_disulphide_treatment:PAO1_ctrl_wt:3,2.9936888516,0.169950398
Diallyl_disulphide_treatment:PAO1_DDS:1,2.6622827977,0.641237402
Diallyl_disulphide_treatment:PAO1_DDS:2,1.3048925951,0.677357145
Diallyl_disulphide_treatment:PAO1_DDS:3,1.6866095338,0.6813582020000001
Dispersed_cells:PAO1_dispersed_wt:1,0.25449859,-0.06087184
Dispersed_cells:PAO1_dispersed_wt:2,-0.25449859,0.06087184
Dispersed_cells:PyhjH_dispersed:1,9.9640238071,0.417141702
Dispersed_cells:PyhjH_dispersed:2,11.3959640537,0.490006743
Dispersed_cells:PA01_Planktonic:1,-7.7516041649,-0.224512083
Dispersed_cells:PA01_Planktonic:2,-8.0056403128,-0.307679023
Dispersed_cells:PAO1_Biofilm:1,-1.6105074438,0.815522421
Dispersed_cells:PAO1_Biofilm:2,1.0787814312,0.796919298
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:1,-5.0572028831,-0.13097878500000001
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:2,-4.2010245166,-0.22947087300000002
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:3,-4.5551083604,-0.38480547600000004
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:1,-1.3860900493,-0.023513485
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:2,0.7701480773,0.041536923
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:3,0.615941972,-0.018023438000000003
Farnesol_treatment:RNA of 0-1F_L:1,1.60470556,-0.09043308400000001
Farnesol_treatment:RNA of 0-1F_L:2,0.43979886760000003,-0.005105664
Farnesol_treatment:RNA of 0-1F_L:3,-2.0445044276,0.095538749
Farnesol_treatment:RNA of 6-F_L1:1,-1.9334189952,0.010659336
Farnesol_treatment:RNA of 6-F_L1:2,-1.4735626126999999,-0.132622568
Farnesol_treatment:RNA of 6-F_L1:3,-0.8319726620000001,-0.11416548
G_Quadruplex_Gene_Regulation:rG4seq_P_K_rep:1,0.14273518270000002,-0.002889542
G_Quadruplex_Gene_Regulation:rG4seq_P_K_rep:2,-0.14273518270000002,0.002889542
G_Quadruplex_Gene_Regulation:rG4seq_P_Li_rep:1,0.15176571,-0.075123305
G_Quadruplex_Gene_Regulation:rG4seq_P_Li_rep:2,0.1837437042,-0.041693101
Glucose_uptake_defective_mutants:PAO1_glu_wt:1,-0.2594743788,0.09800884800000001
Glucose_uptake_defective_mutants:PAO1_glu_wt:2,1.3545834211,0.38720876400000004
Glucose_uptake_defective_mutants:PAO!_delglucose_60min:1,-9.0218957033,-0.06377801500000001
Glucose_uptake_defective_mutants:PAO1_glu_wt:3,-0.2282287264,0.035592015000000005
Glucose_uptake_defective_mutants:PAO1_glu_wt:4,-0.8668803158,-0.520809626
Glucose_uptake_defective_mutants:PAO!_delglucose_60min:2,-7.8451167235,0.226319604
HapZ_SagS_mutant:PA_HapZ_SagS_wt:1,1.091848271,-0.025651208
HapZ_SagS_mutant:delHapZp:1,-1.9486688848,-0.19620921900000002
HapZ_SagS_mutant:delHapZp:2,-2.4103481095,-0.167406935
HapZ_SagS_mutants:PA_HapZ_SagS_wt:2,-2.5487835559,0.079357626
HapZ_SagS_mutants:PA_HapZ_SagS_wt:3,1.4569352849000001,-0.053706418000000006
HapZ_SagS_mutants:delHApZ:1,-2.4944254923,0.22206750800000002
HapZ_SagS_mutants:delHApZ:2,-3.4456707314,0.033403977
HapZ_SagS_mutants:delHApZ:3,-2.9988387255,0.259258775
HapZ_SagS_mutants:delSagS:1,-2.4559728264,-0.9084536150000001
