,A,rpoN
R2,,0.018859423021077126
xmin,,-2.6606302797
xmid,,
xmax,,4.1422587465
ystart,,-2.8338929656379985
yend,,2.567301732522476
2AA:WT:1.0,-0.3607740157,0.06289995030000001
2AA:WT:2.0,0.7314484623,-0.0863879996
2AA:WT:3.0,-0.9438198713,0.0838860835
2AA:WT:4.0,0.5731454247000001,-0.0603980342
2AA:del_ridA:1.0,0.07863167880000001,0.12841212870000002
2AA:del_ridA:2.0,0.3038110584,-0.0071426815
2AA:del_ridA:3.0,0.3321461562,0.1259503004
2AA:del_ridA:4.0,0.3436829105,0.104187472
GC_MS:WT:1.0,-0.1990937378,0.0421781025
GC_MS:WT:2.0,0.1156425556,-0.059100192100000004
GC_MS:WT:3.0,0.0834511822,0.016922089600000002
GC_MS:del_slyA:1.0,6.4831879349,-0.4287563106
GC_MS:del_slyA:2.0,5.0013164616,-0.3483676114
Rho:WT:1.0,0.0837609812,0.08172547200000001
Rho:WT:2.0,-0.2460248925,-0.13613330510000002
Rho:WT:3.0,0.1622639113,0.054407833100000004
Rho:rho_Y80C:1.0,-2.4399719187,-0.15451901510000002
Rho:rho_Y80C:2.0,-2.1372110904,0.1475743542
Rho:rho_Y80C:3.0,-2.0080473969,0.0555934915
Rho:rho_K130Q:1.0,-2.9826199237,0.0846777621
Rho:rho_K130Q:2.0,-3.1252650777,0.0903042909
Rho:rho_K130Q:3.0,-3.3210738041,0.076444881
flagella:WT:1.0,0.17907687260000002,0.1375601387
flagella:WT:2.0,-0.17907687260000002,-0.1375601387
flagella:del_rfaL:1.0,-0.9428793606,0.0898432685
flagella:del_rfaL:2.0,-0.821751643,0.2364628973
flagella:del_rfaG:1.0,-3.0747291404,0.1500655128
flagella:del_rfaG:2.0,-3.7380356865,-0.0992457157
flagella:del_rfaD:1.0,-2.463268523,-0.3378051615
flagella:del_rfaD:2.0,-2.2071633874,-0.0231962286
nusG:WT_OD08:1.0,-0.8537022258,0.3373000632
nusG:WT_OD08:2.0,0.8537022258,-0.3373000632
omv:spi2_ind_lowOD_intracellularRNAs:1.0,-1.6354750628999999,0.38977372390000004
omv:spi2_ind_lowOD_intracellularRNAs:2.0,0.4048482632,0.34058332480000003
omv:spi2_ind_highOD_intracellularRNAs:1.0,-8.9502658937,-1.1140458936
omv:spi1_ind_highOD_intracellularRNAs:1.0,-12.3469149109,-0.1274335074
omv:spi2_ind_highOD_intracellularRNAs:2.0,-6.4602626595,-0.6325887696
omv:spi2_ind_highOD_intracellularRNAs:3.0,-5.6960173728,-0.3765220019
omv:controlPCN_highOD_intracellularRNAs:1.0,-18.1166005007,-0.0642805637
