,A,fliA
R2,,0.7223784360167561
xmin,,-9.1784870105
xmid,,-5.435213622362305
xmax,,4.634682651
ystart,,-20.718198535093002
yend,,18.95123512872444
2AA:WT:1.0,1.0503753732,0.4946630138
2AA:WT:2.0,-0.22818131160000002,0.056094397600000005
2AA:WT:3.0,-0.6413323167,-0.2928305043
2AA:WT:4.0,-0.1808617449,-0.2579269071
2AA:del_ridA:1.0,-4.1007500595,-1.7675953132000002
2AA:del_ridA:2.0,-4.1034936725,-2.2723240192
2AA:del_ridA:3.0,-3.9144939464,-2.03091009
2AA:del_ridA:4.0,-4.1326027372,-1.8295092553
GC_MS:WT:1.0,-0.0708214076,-0.031333276
GC_MS:WT:2.0,0.0687788312,0.0400719738
GC_MS:WT:3.0,0.0020425764,-0.0087386978
GC_MS:del_slyA:1.0,-0.6270110680000001,-0.17539916600000002
GC_MS:del_slyA:2.0,2.2898772118,0.7856191518000001
Rho:WT:1.0,1.0914341713,0.0920928315
Rho:WT:2.0,-1.7295192202,-0.2794450878
Rho:WT:3.0,0.6380850488,0.1873522562
Rho:rho_Y80C:1.0,-0.6779082451,-0.38422133610000003
Rho:rho_Y80C:2.0,-1.2147807087,-0.37403808590000004
Rho:rho_Y80C:3.0,-0.9632543915,-0.2973937204
Rho:rho_K130Q:1.0,-3.5729571262,-0.2387826788
Rho:rho_K130Q:2.0,-4.5279493962,0.10389426830000001
Rho:rho_K130Q:3.0,-3.8096205305,-0.2126851492
flagella:WT:1.0,0.4027806821,0.0777896954
flagella:WT:2.0,-0.4027806821,-0.0777896954
flagella:del_rfaL:1.0,-0.47047475180000004,-0.2361646114
flagella:del_rfaL:2.0,-0.1665778624,-0.0586186119
flagella:del_rfaG:1.0,-21.9047924815,-3.1846662878
flagella:del_rfaG:2.0,-21.4142953882,-3.3414793496
flagella:del_rfaD:1.0,-27.6911073099,-3.7497614121
flagella:del_rfaD:2.0,-27.765098818,-3.503851919
nusG:WT_OD08:1.0,-0.8937528068,-0.0549701615
nusG:WT_OD08:2.0,0.8937528068,0.0549701615
omv:spi2_ind_lowOD_intracellularRNAs:1.0,-7.3048114766,-1.7212470492
omv:spi2_ind_lowOD_intracellularRNAs:2.0,-10.0898907186,-2.5727586661
omv:spi2_ind_highOD_intracellularRNAs:1.0,-11.457083795399999,-1.8266431871000002
omv:spi1_ind_highOD_intracellularRNAs:1.0,9.6412959944,2.7107728680000003
omv:spi2_ind_highOD_intracellularRNAs:2.0,-8.6722734639,-1.9691476464000002
omv:spi2_ind_highOD_intracellularRNAs:3.0,-8.4673924189,-1.320009757
omv:controlPCN_highOD_intracellularRNAs:1.0,-5.5342323584,-0.48137497220000003
omv:controlPCN_highOD_intracellularRNAs:2.0,-2.0576746422,0.2039587169
omv:controlPCN_highOD_intracellularRNAs:3.0,-2.3933419513,0.1318775161
omv:spi1_ind_highOD_intracellularRNAs:2.0,9.4679889056,2.7963919173000003
