locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NanR,link
b4311,0.21891989380000001,nanC,N-acetylneuraminic acid outer membrane channel,Cell wall/membrane/envelope biogenesis,nanCMS,"Crp,NagC,NanR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7921
b3224,0.2059529101,nanT,N-acetylneuraminate:H(+) symporter,Amino acid transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=G436
b2838,0.205460562,lysA,diaminopimelate decarboxylase,Amino acid transport and metabolism,lysA,"RpoD,LysR,ArgP,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10549
b3225,0.1895347423,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b3223,0.18238037640000002,nanE,putative N-acetylmannosamine-6-phosphate epimerase,Carbohydrate transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7677
b3222,0.1622901411,nanK,N-acetylmannosamine kinase,Nucleotide transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7676
b4279,0.16087789460000002,yjhB,putative sialic acid transporter,Inorganic ion transport and metabolism,yjhBC,"RpoH,NanR,NanR,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12544
b3221,0.1314355973,yhcH,DUF386 domain-containing protein YhcH,Carbohydrate transport and metabolism,nanATEK-yhcH,"RpoD,Fis,NanR,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7675
b4309,0.1124492279,nanS,N-acetyl-9-O-acetylneuraminate esterase,Function unknown,nanCMS,"YciT,Crp,NagC,NanR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7919
b4280,0.11053166240000001,yjhC,KpLE2 phage-like element%3B putative oxidoreductase YjhC,Function unknown,yjhBC,"RpoD,RpoH,NanR,NanR,RpoH,RpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7901
