,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,U01-Set001__USA300 LAC CA-MHB PreCulture,-0.6866193155,0.3773588085978271,2.0,0.0,-0.953452288,5.0,-0.419786343,,
1,U01-Set001__USA300 LAC CA-MHB Control,0.0,0.12731167681483502,2.0,1.0,0.09002295,6.0,-0.09002295,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,-1.8702512775,0.08433257053472941,2.0,2.0,-1.92988341,7.0,-1.810619145,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,-2.041395118,0.48547136462751084,2.0,3.0,-2.384675212,8.0,-1.698115024,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,-3.395108849,0.01708703879168781,2.0,4.0,-3.40719121,9.0,-3.383026488,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,0.0,0.11774457156285571,2.0,10.0,0.083257985,29.0,-0.083257985,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,0.8110198885,0.4490941692952349,2.0,11.0,1.128577421,30.0,0.493462356,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,0.2828756895,0.059189348219471236,2.0,12.0,0.2410225,31.0,0.324728879,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,-31.223682025000002,0.9256920346621802,2.0,13.0,-31.87824514,14.0,-30.56911891,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,-31.425222885,0.3349271868141214,2.0,15.0,-31.66205217,18.0,-31.1883936,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,-30.953192565000002,0.6218109155482721,2.0,16.0,-31.39287928,19.0,-30.51350585,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,-30.99480046,0.3668298860954763,2.0,17.0,-30.73541256,20.0,-31.25418836,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,-44.430009065,0.32955245402818995,2.0,21.0,-44.19698029,24.0,-44.66303784,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,-43.58586531500001,0.3006078440420473,2.0,22.0,-43.79842716,25.0,-43.37330347,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,-44.17259465,0.8063506179975101,2.0,23.0,-44.74277064,26.0,-43.60241866,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,-14.88915043,1.1540648622130985,2.0,27.0,-15.70519752,28.0,-14.07310334,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,-1.28500703,0.43136881319135484,2.0,32.0,-1.590030843,33.0,-0.979983217,,
