,Value,list
TF,CcpA,
reg_genes,121,"['acuA' 'USA300HOU_RS12515' 'arcA' 'pfkA' 'nupC' 'pflB' 'arcC' 'malR'
 'yifK' 'arcD' 'pfkB' 'gcvH' 'rbsD' 'pyK' 'sdcS' 'hlyiiI' 'gltS' 'spA'
 'acuC' 'fadX' 'rbsU' 'glpD' 'rbsK' 'mvaA' 'liP' 'psuG' 'hutI' 'arcB'
 'ptsG' 'gntR' 'nagC' 'glvR' 'fadA' 'nupC' 'scrA' 'putP' 'fadE' 'pmI'
 'fhS' 'USA300HOU_RS11765' 'USA300HOU_RS02145' 'yjcG' 'cp_1013'
 'USA300HOU_RS09665' 'mvaS' 'manP' 'sdaA' 'USA300HOU_RS14350' 'glpF'
 'gntP' 'ccpA' 'glpK' 'hutU' 'fruA' 'ybeC' 'hlA' 'arcR' 'fruR' 'ydjM'
 'acsA' 'gntK' 'fadB' 'scrR' 'kbL' 'fadD' 'fbA']"
comp_genes,73,"['glpQ' 'USA300HOU_RS12875' 'USA300HOU_RS09545' 'gcvT' 'sucC'
 'USA300HOU_RS13205' 'deoA' 'gcvpA' 'USA300HOU_RS09540' 'sucA' 'sucD'
 'gcvpB' 'yecD' 'deoD' 'USA300HOU_RS11525' 'USA300HOU_RS05095'
 'USA300HOU_RS09550' 'sucB']"
both_genes,55,"['treR' 'acnA' 'lapC' 'kipI' 'tdH' 'glvC' 'ybbF' 'ybgL' 'sdhC'
 'USA300HOU_RS13605' 'pckA' 'dhaL' 'treC' 'USA300HOU_RS06740' 'deoc2'
 'drp35' 'fbP' 'malD' 'dhaK' 'icD' 'araB' 'USA300HOU_RS01120'
 'USA300HOU_RS01005' 'hutH' 'malA' 'accB' 'USA300HOU_RS13735' 'gudB'
 'sdhB' 'USA300HOU_RS01020' 'pflA' 'citZ' 'putA' 'USA300HOU_RS01115'
 'kipA' 'malC' 'ssS' 'glpT' 'ycsG' 'treP' 'alD' 'sdaaB' 'rocF' 'sdhA'
 'nanA' 'accC' 'aldA' 'msmK' 'ipdC' 'murQ' 'rocD' 'uhpT' 'malX' 'dhaM'
 'rocA']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,69,
comp_ops,37,
both_ops,30,
