k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,Fur-1,Fur,Iron homeostasis,Inorganic ions,41,0.0075199460000000004,0.3658536585,0.3488372093,0
1,NDH-1,,NADPH dehyrogenase I operon,Energy metabolism,9,0.01519521,,,1
2,BfmR-BfmS,BfmR,Two-component system regulating the pili chaperone-usher assembly system,Virulence,6,0.002410951,1.0,1.0,2
3,PhoR-PhoB,,Two-component system regulating inorganic phosphate levels,Inorganic ions,20,0.004925219000000001,,,3
4,Fur-2,Fur,Iron homeostasis,Inorganic ions,52,0.020673973000000002,0.3653846154,0.44186046510000004,4
5,Pnt,,Pnt operon encoding subunits of NADP transhydrogenase,Energy metabolism,3,0.004305471,,,5
6,GigA-GigB KO,,Single gene iModulon capturing gigA and gigB knockouts,Genomic,2,0.00163272,,,6
7,Cbl/GigC,,Sulfur transport and cysteine metabolism,Inorganic ions,27,0.016704280000000002,,,7
8,R7 mutant,AbaM,iModulon capturing the loss of the p1AB5075 plasmid,Plasmid,59,0.011959916000000001,0.1694915254,0.1428571429,8
9,ABUW_1645,ABUW_1645,Key regulator of the VIR-O/AV-T high frequency phenotypic switch,Virulence,24,0.032379095000000004,0.5833333333,0.12068965520000001,9
10,Prophage,Phage region 3,Enriched with PHASter data for three prophage regions,Virulence,51,0.013100599000000001,0.3137254902,0.48484848480000003,10
11,Acetoin/butanediol,,Acetoin and butanediol catabolic pathways ,Energy metabolism,14,0.009807199,,,11
12,Motility,,Fimbrial subunits,Virulence,10,0.007165295,,,12
13,Unc-1,Phage region 1,Uncharacterized iModulon 1,Uncharacterized,46,0.009618888,0.1739130435,0.1739130435,13
14,GacA-GacS,ABUW_1645,iModulon associated with decreased activity in GacA mutant - potential stationary phase response,Virulence,50,0.053747159,0.48,0.20689655170000001,14
15,CRISPR,,Endogenous CRISPR-Cas system,Stress,16,0.011963273,,,15
16,HGT,AbaM,Manually annotated iModulon capturing genomic transposase genes and plasmid encoded genes associated with conjugation.,Plasmid,52,0.005990687000000001,0.2115384615,0.1571428571,16
17,adeB KO,AdeR,Effect of adeB knockout,Genomic,52,0.009124557,0.0576923077,1.0,17
18,Tyrosine,,Tyrosine transport and metabolism,Amino acid metabolism,6,0.004187447,,,18
19,mumR,mumR,"Contains the mumR regulon homologs from ATCC 17978 associated with manganese import and urea metabolism <a href=""https://doi.org/10.1128/mBio.01475-16"" target=""blank"">[link]</a>",Inorganic ions,5,0.005235478,1.0,1.0,19
20,Lipoprotein,,Increased activity in colistin and LL-37 treatment,Virulence,12,0.0040076040000000005,,,20
21,Unc-2,,Uncharacterized iModulon 2,Uncharacterized,6,0.008408027,,,21
22,Translation,,Translational machinery,Functional,43,0.060521542000000005,,,22
23,Amino acid,,Manually annotated iModulon with genes associated with amino acids,Amino acid metabolism,9,0.00468609,,,23
24,Unc-3,,Uncharacterized iModulon 3,Uncharacterized,14,0.0036499030000000003,,,24
25,GigA-GigB,,iModulon associated with decreased activity in gigA and gigB mutants,Virulence,61,0.01919696,,,25
26,Unc-4,,Uncharacterized iModulon 4,Uncharacterized,12,0.0040853470000000005,,,26
27,Unc-5,,Uncharacterized iModulon 5,Uncharacterized,98,0.014161147,,,27
28,PaaX,GacA,"Phenylacetic acid pathway genes <a href=""https://doi.org/10.1093/infdis/jiu024"" target=""blank"">[link]</a>",Virulence,15,0.020915433,0.6666666667000001,0.4761904762,28
29,Unc-6,,Uncharacterized iModulon 6,Uncharacterized,15,0.0033950480000000003,,,29
30,Unc-7,,Uncharacterized iModulon 7,Uncharacterized,2,0.010725012,,,30
31,Type IV Pili,,Manually annotated iModulon with genes associated with type IV pili ,Virulence,32,0.016186802,,,31
32,Unc-8,,Uncharacterized iModulon 8,Uncharacterized,6,0.017236732,,,32
33,Unc-9,,Uncharacterized iModulon 9,Uncharacterized,42,0.012226421000000001,,,33
34,Leucine,ABUW_1645,Manually annotated iModulon with genes associated with Leucine degradation,Amino acid metabolism,13,0.010409295,0.6153846154,0.0689655172,34
35,KpdD-KpdE,KpdE,Two-component system regulating pottassium homeostasis,Inorganic ions,7,0.007006092,0.4285714286,1.0,35
36,ppGpp,,Stringent response iModulon identified by comparing to E.coli PRECISE 2.0 iModulome,Stress,28,0.040781612,,,36
37,Unc-10,,Uncharacterized iModulon 10,Uncharacterized,12,0.0036616310000000003,,,37
38,Unc-11,,Uncharacterized iModulon 11,Uncharacterized,20,0.0056140930000000006,,,38
39,RpoH,,"iModulon containing various heat shock proteins, chaperones, and DNA repair genes identified by comparing to E.coli PRECISE 2.0 iModulome",Stress,26,0.006596159000000001,,,39
40,LldR,LldR,Transcription factor associated with lactate utilization,Carbon metabolism,4,0.006359358000000001,0.75,1.0,40
41,cyd,,Consists of cyd operon,Energy metabolism,8,0.008770366,,,41
42,ABUW_1645 OE,,iModulon capturing the overexpression of ABUW_1645 in AB5075_VIR-O_AV-T project,Genomic,3,0.005593662,,,42
43,AMR,,Antimicrobial resistance island on p1AB5075 plasmid,Plasmid,15,0.010348586,,,43
44,Unc-12,,Uncharacterized iModulon 12,Uncharacterized,21,0.000619732,,,44
45,Fe-S Cluster,,Fe-S cluster assembly,Energy metabolism,8,0.004396242,,,45
46,Urease/Ammonia,,Manually annotated iModulon containing urease and ammonia transport genes,Amino acid metabolism,14,0.00155754,,,46
47,Heavy metal resistance,,ISPpu12 gene cluster/heavy metal resistance,Stress,3,0.00402302,,,47
48,Unc-13,,Uncharacterized iModulon 13,Uncharacterized,14,0.006971927,,,48
