,A,fhlA
R2,,0.04591123918927542
xmin,,-3.4676948975
xmid,,-0.6547719554559627
xmax,,4.6401537465
ystart,,-1.528836378298382
yend,,6.5176877920889424
2AA:WT:1.0,0.0016463471,-0.13338630710000002
2AA:WT:2.0,-0.32562372510000004,-0.0901161433
2AA:WT:3.0,0.369829389,0.1447478506
2AA:WT:4.0,-0.0458520111,0.0787545998
2AA:del_ridA:1.0,0.3259798868,0.1574114915
2AA:del_ridA:2.0,-0.1207805103,0.0767343135
2AA:del_ridA:3.0,-0.3628391221,0.2004621604
2AA:del_ridA:4.0,-0.1536481338,0.1532049193
GC_MS:WT:1.0,0.200069558,0.029193829900000003
GC_MS:WT:2.0,0.1412228975,0.0060537347000000005
GC_MS:WT:3.0,-0.34129245550000004,-0.0352475645
GC_MS:del_slyA:1.0,2.0344935249,1.1242560682
GC_MS:del_slyA:2.0,2.0579999446,1.3129253512
Rho:WT:1.0,-0.3342985097,0.0220004504
Rho:WT:2.0,0.5774289891000001,-0.09281032010000001
Rho:WT:3.0,-0.24313047940000002,0.0708098697
Rho:rho_Y80C:1.0,0.364028888,0.8625620966
Rho:rho_Y80C:2.0,0.37819813700000005,1.3426680611
Rho:rho_Y80C:3.0,0.2389169459,1.2206042184
Rho:rho_K130Q:1.0,0.6754533785,0.7101498782
Rho:rho_K130Q:2.0,1.232778636,0.9450421559000001
Rho:rho_K130Q:3.0,2.0724085122,0.7969080994000001
flagella:WT:1.0,-0.8526877007,-0.0064958986
flagella:WT:2.0,0.8526877007,0.0064958986
flagella:del_rfaL:1.0,1.6427536208,-0.3750794608
flagella:del_rfaL:2.0,1.6658344457,-0.6305705295
flagella:del_rfaG:1.0,1.9365974426,0.0947274273
flagella:del_rfaG:2.0,2.6369045333,0.4712904399
flagella:del_rfaD:1.0,1.8100370058,0.23689298560000002
flagella:del_rfaD:2.0,2.4023587752,-0.051668560100000004
nusG:WT_OD08:1.0,0.26627330790000003,0.21631210720000002
nusG:WT_OD08:2.0,-0.26627330790000003,-0.21631210720000002
omv:spi2_ind_lowOD_intracellularRNAs:1.0,13.5982164232,1.5585324847000002
omv:spi2_ind_lowOD_intracellularRNAs:2.0,7.7885142563,1.1592000362000001
omv:spi2_ind_highOD_intracellularRNAs:1.0,13.2925808734,0.583250024
omv:spi1_ind_highOD_intracellularRNAs:1.0,-21.341015518,-0.5391884695
omv:spi2_ind_highOD_intracellularRNAs:2.0,11.5897606713,0.6893504992
omv:spi2_ind_highOD_intracellularRNAs:3.0,9.4033998698,0.3419935671
omv:controlPCN_highOD_intracellularRNAs:1.0,-11.1183616517,0.9543654269
omv:controlPCN_highOD_intracellularRNAs:2.0,-15.2126939808,0.6618778427
omv:controlPCN_highOD_intracellularRNAs:3.0,-8.6551231859,1.4016554221
omv:spi1_ind_highOD_intracellularRNAs:2.0,-21.5202932517,-0.5586888683
omv:spi1_ind_highOD_intracellularRNAs:3.0,-21.7586684528,-0.5889228746
