,A,FleN
R2,,0.30216661022233504
xmin,,-2.54503178
xmid,,
xmax,,1.472502212
ystart,,-10.964308229139982
yend,,7.0476629704741445
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,0.8446577006,0.024751634
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,-0.8446577006,-0.024751634
AB569_EDTA_NaNO2:NaNO2:1,-4.503878784,0.422955472
AB569_EDTA_NaNO2:NaNO2:2,-4.2507546713,0.464245083
AB569_EDTA_NaNO2:EDTA:1,-1.6966639511000001,0.17472221000000002
AB569_EDTA_NaNO2:EDTA:2,-2.2144474136,0.169594241
AB569_EDTA_NaNO2:EDTA:3,-1.0398106419,0.27017022900000004
AB569_EDTA_NaNO2:NaNO2_EDTA:1,-4.2925187957,0.27680029
AB569_EDTA_NaNO2:NaNO2_EDTA:2,-3.5493440382,0.525782143
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,-0.0086044239,-0.052751767000000005
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,0.0086044239,0.052751767000000005
Anthranilate_metabolism_GntR_AntP:antP:1,-3.0541412211,0.37154213900000005
Anthranilate_metabolism_GntR_AntP:antP:2,-3.6572008786,0.5431214910000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,0.2607750101,-0.010296358
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,-0.2607750101,0.010296358
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,4.1428273426,0.616522129
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,1.9331482949,0.32627009700000004
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,0.6481700016,-0.205602359
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,-0.6386244644,-0.47297731
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,11.2422442251,0.428947927
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,10.4157750319,0.43379918100000003
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,10.9451153924,0.493728871
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,11.7472283631,0.5823031780000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,-0.5867003584,-0.773362243
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,-0.8902700097,-0.544865342
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,-1.0097648757,-0.6715406850000001
Catabolise_Nucleic_Acids:L_asp:1,-2.2889062461,-0.066604519
Catabolise_Nucleic_Acids:L_asp:2,3.467757982,0.06810980700000001
Catabolise_Nucleic_Acids:DNA_1:1,0.2177119284,0.008097492000000001
Catabolise_Nucleic_Acids:DNA_1:2,-1.1099031692,-0.008787524
Catabolise_Nucleic_Acids:DNA_1:3,0.8921912408,0.000690032
Catabolite_repression:del_hfq_crc_wt:1,0.2108780982,-0.064957151
Catabolite_repression:del_hfq_crc_wt:2,-0.2108780982,0.064957151
Catabolite_repression:delHfq:1,6.1800295009,0.24448649
Catabolite_repression:delHfq:2,6.7277009166,0.389771768
Catabolite_repression:deldcrc:1,6.7399944207,0.875134363
