,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,7.14514173835,0.010405701014001283,2.0,0.0,7.1524996801,5.0,7.1377837966
1,U01-Set001__USA300 LAC CA-MHB Control,7.26877011485,0.09767728480004267,2.0,1.0,7.1997018444,6.0,7.3378383852999995
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,7.29890122645,0.002001192588798929,2.0,2.0,7.2974861696,7.0,7.3003162833
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,7.33421977055,0.0002973656251001842,2.0,3.0,7.3340095013,8.0,7.3344300398
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,7.45165807055,0.06834211173722435,2.0,4.0,7.4999832412,9.0,7.4033328999
5,U01-Set000__USA300 TCH1516 CA-MHB Control,7.3413278714,0.14111269182366384,2.0,10.0,7.2415461301,29.0,7.4411096127
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,7.131773612150001,0.08853044860488316,2.0,11.0,7.0691731316,30.0,7.1943740927
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,7.24670661595,0.02964587104485671,2.0,12.0,7.2257438195,31.0,7.2676694124
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,7.0823486666,0.019723052261778253,2.0,13.0,7.0684023626,14.0,7.0962949706
9,U01-Set001__USA300 LAC RPMI+10%LB Control,6.8575585091,0.04941033692446284,2.0,15.0,6.8226201248,18.0,6.8924968934
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,6.75593448825,0.06188999457276376,2.0,16.0,6.7996973231,19.0,6.7121716534
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,6.943291965749999,0.11090232711162695,2.0,17.0,7.0217117533,20.0,6.8648721782
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,6.656828062,0.13715255316497188,2.0,21.0,6.5598465616,24.0,6.7538095624
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,6.7853974139,0.042848660069640485,2.0,22.0,6.815695992,25.0,6.7550988358
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,6.7153876858,0.06375096859396016,2.0,23.0,6.6703089436,26.0,6.760466428
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,6.9579623905000005,0.011874506967547289,2.0,27.0,6.9495658461000005,28.0,6.9663589349
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,7.22542438855,0.07264268469297645,2.0,32.0,7.1740582536,33.0,7.2767905235
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,7.43730862595,0.028128002699429045,2.0,34.0,7.4174191245,38.0,7.4571981274
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,7.530010121549999,0.07387841418001935,2.0,35.0,7.4777701939,39.0,7.5822500492
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,7.603911365449999,0.006875486955226112,2.0,36.0,7.599049662,40.0,7.6087730689
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,9.002459070050001,0.05885331516714888,2.0,37.0,9.0440746483,41.0,8.9608434918
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,7.2955334935,0.02932773613795801,2.0,42.0,7.3162713346,45.0,7.2747956524
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,7.4001811597,0.056880144654402796,2.0,43.0,7.4404014957,46.0,7.3599608237
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,7.415766674,0.06812879353124265,2.0,44.0,7.4639410059,47.0,7.3675923421
24,U01-Set003__USA300 TCH1516 CA-MHB Control,7.069255501200001,0.25278553558779043,2.0,48.0,6.8905091348,52.0,7.2480018676
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,7.01450163945,0.06328665576492902,2.0,49.0,6.969751216,53.0,7.0592520629
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,7.330932031950001,0.11293632599024973,2.0,50.0,7.25107399,54.0,7.4107900739
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,6.85066439815,0.19028249612345785,2.0,51.0,6.9852144415,55.0,6.7161143548
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,7.0443454779,0.01644889203365088,2.0,56.0,7.0327143548,57.0,7.055976601
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,6.8910570027,0.06021545547696671,2.0,58.0,6.9336357596,59.0,6.8484782458
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,7.48777842975,0.02105487862104409,2.0,60.0,7.5026664772,61.0,7.4728903823
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,8.10499849885,0.11248698791507644,2.0,62.0,8.0254581869,63.0,8.1845388108
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,6.204499821800001,0.08670794713227997,2.0,64.0,6.1431880444,65.0,6.2658115992
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,6.35266506435,0.22182482621195393,2.0,66.0,6.5095189032,67.0,6.1958112255
34,BK-Set001__USA300 TCH1516 THB 2.5 ug-mL Nafcillin,7.1985543238,0.3719539489617946,2.0,68.0,7.4615654834,69.0,6.9355431642
35,BK-Set001__USA300 TCH1516 THB 0.5ug-mL Vancomycin,6.5066986756,0.255499402928703,2.0,70.0,6.687364036,71.0,6.3260333152
36,ICA-Set002__USA300 LAC CA-MHB 25mMNaCHO3,7.09377916765,0.007348739098895512,2.0,72.0,7.0989755109,73.0,7.0885828244
37,ICA-Set002__USA300 LAC CA-MHB 2gLglucose,6.508278217,0.009323692793522976,2.0,74.0,6.5148710634,75.0,6.5016853706
38,ICA-Set002__USA300 LAC CA-MHB Control,6.8605749171,0.035714387093874145,2.0,76.0,6.8858288024,77.0,6.8353210318
