,A,RpoN
R2,,0.06840207538704168
xmin,,-1.350103282
xmid,,
xmax,,2.153625913
ystart,,5.180878424258639
yend,,-8.21524379175657
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-1.145453514,0.050849741000000004
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,1.145453514,-0.050849741000000004
AB569_EDTA_NaNO2:NaNO2:1,5.48915303,0.469542742
AB569_EDTA_NaNO2:NaNO2:2,5.4028751790000005,0.506129956
AB569_EDTA_NaNO2:EDTA:1,8.730266307,-0.583864814
AB569_EDTA_NaNO2:EDTA:2,7.794651525,-0.497361092
AB569_EDTA_NaNO2:EDTA:3,7.054999167,-0.568083262
AB569_EDTA_NaNO2:NaNO2_EDTA:1,7.342695524,0.070809974
AB569_EDTA_NaNO2:NaNO2_EDTA:2,8.690411038,-0.018285352
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.287077954,-0.077468517
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.287077954,0.077468517
Anthranilate_metabolism_GntR_AntP:antP:1,1.8132816150000002,-0.397528417
Anthranilate_metabolism_GntR_AntP:antP:2,1.139478874,-0.192421586
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.210174621,0.135977451
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.210174621,-0.135977452
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-2.207003657,-0.5438604930000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,1.480559103,-0.732086503
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,1.7988770760000001,-0.640474144
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,2.365327826,-0.917637388
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-10.25862211,1.674559683
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-8.672691176,2.110937362
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-9.712746209,2.153625913
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-9.513853514000001,2.048013642
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,3.054128118,-0.7700011910000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,2.133862524,-0.976934308
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,1.815383384,-0.511833195
Pseudomonas_culture_Cisplatin_Bile:PAO1_untreated:1,-0.11968977,-0.12728687700000002
Pseudomonas_culture_Cisplatin_Bile:PAO1_untreated:2,0.11968977,0.12728687700000002
Pseudomonas_culture_Cisplatin_Bile:PAO1_cisplatin:1,-3.834590349,-0.25938849999999997
