,A,DguR
R2,,0.0
xmin,,-2.06877894
xmid,,
xmax,,5.35066202
ystart,,0.023584107009732357
yend,,0.023584107009732357
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-0.40205172710000003,0.7253700390000001
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,0.40205172710000003,-0.7253700390000001
AB569_EDTA_NaNO2:NaNO2:1,3.1007824817,0.869466709
AB569_EDTA_NaNO2:NaNO2:2,2.8616327341,0.8687221140000001
AB569_EDTA_NaNO2:EDTA:1,0.5177581551,0.563396138
AB569_EDTA_NaNO2:EDTA:2,-1.488126966,0.23392300900000002
AB569_EDTA_NaNO2:EDTA:3,-0.5718503339000001,-0.176175343
AB569_EDTA_NaNO2:NaNO2_EDTA:1,2.6873418436,0.79908842
AB569_EDTA_NaNO2:NaNO2_EDTA:2,3.0414700246,0.9023600190000001
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.0737478938,-0.046068694
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.0737478938,0.046068694
Anthranilate_metabolism_GntR_AntP:antP:1,0.4364244621,-0.23656363100000002
Anthranilate_metabolism_GntR_AntP:antP:2,-1.3653079069,0.091652884
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.1981029981,-0.016440341
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.1981029981,0.016440341
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,0.9453236978,-0.302633425
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,-0.1518335906,-0.43052621
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,-0.5806436236,-0.11583985200000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,-0.21146010680000002,0.156181852
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-0.18716424310000002,-1.360509654
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-0.0732814009,-1.211583434
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-0.41716824010000003,-0.905731103
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-0.0614029977,-1.290100822
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,-0.1164271146,0.079758805
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,-0.0738132122,0.291644135
