locus,gene_weight,gene_name,gene_product,COG,operon,regulator,GntR,link
b4267,0.36672825340000004,idnD,L-idonate 5-dehydrogenase,Amino acid transport and metabolism,idnDOTR,"IdnR,Crp,GntR,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7893
b4266,0.3425453618,idnO,5-keto-D-gluconate 5-reductase,Lipid transport and metabolism,idnDOTR,"IdnR,Crp,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7892
b3437,0.31266508530000003,gntK,D-gluconate kinase%2C thermostable,Nucleotide transport and metabolism,gntRKU,"RpoD,Crp,IdnR,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12629
b4268,0.2838857758,idnK,D-gluconate kinase%2C thermosensitive,Nucleotide transport and metabolism,idnK,"RpoD,IdnR,Crp,GntR,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12152
b4476,0.2744221085,gntU,low-affinity gluconate transporter,Inorganic ion transport and metabolism,gntRKU,"RpoD,Crp,IdnR,ppGpp,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12631
b4265,0.23064174810000002,idnT,L-idonate/5-ketogluconate/gluconate transporter,Inorganic ion transport and metabolism,idnDOTR,"IdnR,Crp,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12539
b3415,0.2240640922,gntT,high-affinity gluconate transporter,Inorganic ion transport and metabolism,gntT,"RpoD,Crp,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12380
b1851,0.16973005770000002,edd,phosphogluconate dehydratase,Amino acid transport and metabolism,edd-eda,"RpoD,KdgR,Cra,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10257
b4264,0.09893030300000001,idnR,DNA-binding transcriptional dual regulator IdnR,Transcription,idnDOTR,"RpoD,IdnR,Crp,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7891
b3893,0.0968462659,fdoH,formate dehydrogenase O subunit beta,Energy production and conversion,fdoGHI-fdhE,SdhX,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11857
b1850,0.0920037727,eda,KHG/KDPG aldolase,Carbohydrate transport and metabolism,edd-eda,"RpoD,Cra,KdgR,PhoB,GntR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10256
b3892,0.08011241720000001,fdoI,formate dehydrogenase O subunit gamma,Energy production and conversion,fdoGHI-fdhE,SdhX,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11856
b1101,-0.077041737,ptsG,glucose-specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,ptsG,"RpoD,sgrS,Crp,ArcA,Mlc,Fis,SoxS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10787
