,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,U01-Set001__USA300 LAC CA-MHB PreCulture,4.8133985075000005,0.6498080781080503,2.0,0.0,5.272882206,5.0,4.353914809,,
1,U01-Set001__USA300 LAC CA-MHB Control,0.0,0.03831685640821494,2.0,1.0,0.027094109,6.0,-0.027094109,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,0.139397407,0.49276492924493104,2.0,2.0,0.48783483,7.0,-0.209040016,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,-0.9921987925,0.13024525001083687,2.0,3.0,-0.900101493,8.0,-1.084296092,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,5.784793298,0.11840251462375939,2.0,4.0,5.701070077000001,9.0,5.868516519,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,0.0,0.4018881356549016,2.0,10.0,-0.284177826,29.0,0.284177826,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,1.6185606904999998,0.3570164128201162,2.0,11.0,1.871009417,30.0,1.366111964,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,1.5484122585,0.5580072501042882,2.0,12.0,1.153841548,31.0,1.942982969,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,20.504729904999998,2.1393983415934748,2.0,13.0,22.01751298,14.0,18.99194683,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,27.817014615,0.9943245259509277,2.0,15.0,27.113921,18.0,28.52010823,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,29.129980745,1.5796184320644022,2.0,16.0,28.01302184,19.0,30.24693965,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,26.50316399,0.8693543837445176,2.0,17.0,25.88843761,20.0,27.11789037,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,27.941404505,0.7444163300438373,2.0,21.0,28.46778634,24.0,27.41502267,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,26.94952637,1.2366171464692988,2.0,22.0,26.075106,25.0,27.82394674,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,23.523031125,2.3749320607306736,2.0,23.0,21.84370056,26.0,25.20236169,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,-0.4463562675,0.8356053713818364,2.0,27.0,-1.037218492,28.0,0.144505957,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,3.8934032185,0.16321602418567746,2.0,32.0,3.777992061,33.0,4.008814376,,
