,Value,list
TF,CodY,
reg_genes,147,"['cap5N' 'hlB' 'aspC' 'pfos/R' 'opucD' 'USA300HOU_RS05095' 'arpJ'
 'USA300HOU_RS02030' 'oppD' 'ba_5646' 'srpF' 'argG' 'yisU' 'cap5K' 'comD'
 'lysA' 'parB' 'gdH' 'budC' 'USA300HOU_RS10965' 'brnQ' 'oppA' 'oppC'
 'USA300HOU_RS07470' 'USA300HOU_RS11510' 'icaA' 'lipM' 'sodM'
 'USA300HOU_RS06780' 'trpF' 'oppB' 'argH' 'amtB' 'auR' 'katA' 'oppF'
 'opucC' 'trpD' 'sodA' 'oppD' 'aroB' 'glnQ' 'pyC' 'cap8A'
 'USA300HOU_RS13890' 'acuA' 'gltC' 'oppA' 'trpG' 'trpE' 'cap5J' 'cap5P'
 'metX' 'USA300HOU_RS01885' 'ypiA' 'oppB' 'acuC' 'tyrA'
 'USA300HOU_RS14485' 'adhR' 'cap5L' 'yocS' 'mtnE' 'USA300HOU_RS03630'
 'capB' 'ilvE' 'USA300HOU_RS07480' 'opucB' 'aroC' 'cap5I' 'trpB' 'agrB'
 'glnR' 'dtpT' 'USA300HOU_RS13250' 'cap5H' 'ybeC' 'capM' 'gltD' 'aroA'
 'acsA' 'nfrA' 'agrA' 'appC' 'hmrA' 'yifK' 'opucA' 'icaB' 'ilvA' 'yqhL'
 'ykbA' 'glnA' 'trpC' 'brnQ' 'USA300HOU_RS07475' 'oppF' 'icaC' 'trpA'
 'USA300HOU_RS14120']"
comp_genes,80,"['USA300HOU_RS05895' 'USA300HOU_RS04475' 'USA300HOU_RS07670'
 'USA300HOU_RS10850' 'lysC' 'metn1' 'LAC_H_01829' 'fadX'
 'USA300HOU_RS15185' 'USA300HOU_RS04460' 'USA300HOU_RS14580' 'azlD' 'metQ'
 'USA300HOU_RS10710' 'ykoD' 'pmI' 'USA300HOU_RS10695' 'USA300HOU_RS14560'
 'yuiF' 'kdpB' 'USA300HOU_RS14575' 'manP' 'kdpC' 'cbiQ' 'LAC_H_01830'
 'argB' 'USA300HOU_RS03180' 'USA300HOU_RS02330' 'argJ' 'adhC' 'kdpA' 'ldH']"
both_genes,48,"['mtrF' 'hoM' 'metf-2' 'serA' 'hipO' 'metI' 'thrC' 'hisA' 'capC' 'dapB'
 'ilvD' 'leuD' 'hisF' 'metC' 'hisC' 'hisD' 'asD' 'ilvB' 'sgaA' 'lysC'
 'comK' 'metB' 'hisG' 'dapH' 'metQ' 'gltB' 'metE' 'ilvN' 'hisB' 'metN'
 'ilvA' 'cap5F' 'dapA' 'hisZ' 'USA300HOU_RS00830' 'yfnA' 'gabT' 'capD'
 'thrB' 'hisH' 'leuA' 'hisF' 'alsT' 'leuC' 'ilvC' 'leuB' 'wecC' 'alr2']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,59,
comp_ops,32,
both_ops,20,
