,A,narP
R2,,0.09643228133426329
xmin,,-2.939684258
xmid,,0.8265442977604759
xmax,,3.462158571
ystart,,-1.9852161398487063
yend,,18.678283022377
2AA:WT:1.0,-0.1600183305,0.0354432582
2AA:WT:2.0,-0.0612831868,0.2861292617
2AA:WT:3.0,-1.6368241577,-0.0609760971
2AA:WT:4.0,1.8581256749000001,-0.2605964228
2AA:del_ridA:1.0,-2.7941646103,-0.2712246135
2AA:del_ridA:2.0,-3.2374558188,-0.3102252542
2AA:del_ridA:3.0,-2.7186768362000002,-0.34082953320000003
2AA:del_ridA:4.0,-2.6994220657,-0.3288237115
GC_MS:WT:1.0,-0.188472686,0.019980554600000002
GC_MS:WT:2.0,0.2395128518,0.0274024684
GC_MS:WT:3.0,-0.0510401658,-0.047383023
GC_MS:del_slyA:1.0,1.3427859817,0.8628585048
GC_MS:del_slyA:2.0,2.8046838396,1.0465905071
Rho:WT:1.0,0.6382731397,0.19865644570000002
Rho:WT:2.0,-0.7619978752000001,-0.20333314830000002
Rho:WT:3.0,0.1237247355,0.0046767026
Rho:rho_Y80C:1.0,-0.48575507300000004,-1.6069541873
Rho:rho_Y80C:2.0,-1.2007863297,-1.5626721832000001
Rho:rho_Y80C:3.0,-0.689032583,-1.5317592402
Rho:rho_K130Q:1.0,0.0901988273,-0.201883422
Rho:rho_K130Q:2.0,0.28775237200000003,-0.3509302743
Rho:rho_K130Q:3.0,0.4332869026,-0.2661780045
flagella:WT:1.0,0.5508247576,0.1052029813
flagella:WT:2.0,-0.5508247576,-0.1052029813
flagella:del_rfaL:1.0,-0.9066613053,-0.0738347909
flagella:del_rfaL:2.0,-1.1453612284,-0.4025287792
flagella:del_rfaG:1.0,-3.7846446396,0.006805522400000001
flagella:del_rfaG:2.0,-3.5864292561999997,-0.1308438805
flagella:del_rfaD:1.0,0.7598549023000001,0.4120699217
flagella:del_rfaD:2.0,-1.0232867753,0.3047153338
nusG:WT_OD08:1.0,-0.5087938315,0.0403859144
nusG:WT_OD08:2.0,0.5087938315,-0.0403859144
omv:spi2_ind_lowOD_intracellularRNAs:1.0,-8.2565671497,0.6848778194
omv:spi2_ind_lowOD_intracellularRNAs:2.0,-6.2028574014,-0.0531737366
omv:spi2_ind_highOD_intracellularRNAs:1.0,-6.8643090353,1.1696352421
omv:spi1_ind_highOD_intracellularRNAs:1.0,-5.6090047095,0.8399986259000001
omv:spi2_ind_highOD_intracellularRNAs:2.0,-7.0380303365,1.2209564827000001
omv:spi2_ind_highOD_intracellularRNAs:3.0,-8.5296708462,0.9037710516
omv:controlPCN_highOD_intracellularRNAs:1.0,1.0679276847999999,1.9400423859
omv:controlPCN_highOD_intracellularRNAs:2.0,3.4974384135,1.370231203
omv:controlPCN_highOD_intracellularRNAs:3.0,6.3568043371,1.3454700669
omv:spi1_ind_highOD_intracellularRNAs:2.0,-5.5118086363,0.9277483259
omv:spi1_ind_highOD_intracellularRNAs:3.0,-5.3126241124,0.8428269514000001
omv:controlPCN_lowOD_intracellularRNAs:1.0,1.0158234011,-0.2075800295
