,name,x,y,cog,color,link
meta,start,0.094768473,,,,
LAC_H_00012,,0,-0.015319823,,#ff0000,
LAC_H_00018,,0,0.012413384,,#ff0000,
LAC_H_00201,,0,-0.018255755,,#ff0000,
LAC_H_00210,,0,-0.015176231,,#ff0000,
LAC_H_00215,,0,0.004346345,,#ff0000,
LAC_H_00216,,0,-0.000284199,,#ff0000,
LAC_H_00237,,0,0.009137299,,#ff0000,
LAC_H_00238,,0,0.022890216,,#ff0000,
LAC_H_00303,,0,-0.022143331,,#ff0000,
LAC_H_00304,,0,0.00013324299999999998,,#ff0000,
LAC_H_00448,,0,0.017821971000000002,,#ff0000,
LAC_H_00507,,0,0.015003071000000003,,#ff0000,
LAC_H_00563,,0,-0.026177734,,#ff0000,
LAC_H_00606,,0,0.0065701940000000006,,#ff0000,
LAC_H_00645,,0,0.027564071,,#ff0000,
LAC_H_01013,,0,-0.002294778,,#ff0000,
LAC_H_01308,,0,-0.000925641,,#ff0000,
LAC_H_01365,,0,0.002997359,,#ff0000,
LAC_H_01559,,0,-0.001362312,,#ff0000,
LAC_H_01570,,0,0.00512131,,#ff0000,
LAC_H_01575,,0,-0.010240706,,#ff0000,
LAC_H_01687,,0,0.027224559,,#ff0000,
LAC_H_01688,,0,0.014484841000000004,,#ff0000,
LAC_H_01807,,0,-0.018047427,,#ff0000,
LAC_H_01829,,0,0.00666502,,#ff0000,
LAC_H_01830,,0,-0.010283452,,#ff0000,
LAC_H_01836,,0,0.005031925,,#ff0000,
LAC_H_01887,,0,0.005248658000000001,,#ff0000,
LAC_H_01907,,0,-0.008976538000000001,,#ff0000,
LAC_H_01918,,0,0.0033033570000000003,,#ff0000,
LAC_H_01926,,0,0.002081332,,#ff0000,
LAC_H_01941,,0,-0.002186342,,#ff0000,
LAC_H_01958,,0,0.009742565,,#ff0000,
LAC_H_02127,,0,0.003669391,,#ff0000,
LAC_H_02204,,0,-0.002156579,,#ff0000,
LAC_H_02205,,0,0.03297074,,#ff0000,
LAC_H_02206,,0,0.007919462,,#ff0000,
LAC_H_02207,,0,-0.00248246,,#ff0000,
LAC_H_02216,,0,0.002499964,,#ff0000,
LAC_H_02217,,0,0.013723828,,#ff0000,
LAC_H_02499,,0,-0.01331378,,#ff0000,
LAC_H_02500,,0,-0.017555678,,#ff0000,
LAC_H_02514,,0,0.011924329,,#ff0000,
LAC_H_02515,,0,0.006890632,,#ff0000,
LAC_H_02543,,0,-0.011781457,,#ff0000,
LAC_H_02544,,0,-0.005494949,,#ff0000,
LAC_H_02591,,0,-0.006117531999999999,,#ff0000,
LAC_H_02662,,0,0.014357303,,#ff0000,
