,A,SoxR
R2,,0.09656806977124266
xmin,,-2.415317899
xmid,,-1.2029550768454313
xmax,,3.376829576
ystart,,-1.6865746485659776
yend,,4.489923783679863
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-1.2703099933,0.36515534600000005
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,1.2703099933,-0.36515534600000005
AB569_EDTA_NaNO2:NaNO2:1,-2.2934754252,2.39051271
AB569_EDTA_NaNO2:NaNO2:2,-2.6175197589,2.225328677
AB569_EDTA_NaNO2:EDTA:1,-0.5821869737,1.254380384
AB569_EDTA_NaNO2:EDTA:2,-0.3867486941,1.8412544460000002
AB569_EDTA_NaNO2:EDTA:3,-0.7371852276,1.76050305
AB569_EDTA_NaNO2:NaNO2_EDTA:1,-2.013346285,2.360311306
AB569_EDTA_NaNO2:NaNO2_EDTA:2,-2.1372033766,2.354059726
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,-0.0141241985,0.012816161000000001
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,0.0141241985,-0.012816161000000001
Anthranilate_metabolism_GntR_AntP:antP:1,0.0415153499,-0.45294272500000005
Anthranilate_metabolism_GntR_AntP:antP:2,0.0070288391,-0.438348141
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.1566141856,-0.052391044000000005
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.1566141856,0.052391044000000005
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-1.0262074481,0.595419503
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,-0.5699255251,0.6723993530000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,-0.2288174654,-0.459294132
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.1689474437,0.031914809
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-2.0318063411,-1.74556109
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-2.248981621,-1.293791646
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-1.6719516663,-0.976140628
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-2.0321899268,-1.477627084
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.1850734639,0.190491867
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,0.0732050138,0.607402338
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,-0.2736708965,1.140648559
Catabolise_Nucleic_Acids:L_asp:1,-0.5395637419,-0.332715715
Catabolise_Nucleic_Acids:L_asp:2,-0.19813751810000002,-0.46762442200000004
Catabolise_Nucleic_Acids:DNA_1:1,-0.6898355643,-0.087860851
Catabolise_Nucleic_Acids:DNA_1:2,0.46858268200000003,0.17075748000000002
Catabolise_Nucleic_Acids:DNA_1:3,0.2212528823,-0.082896629
Catabolite_repression:del_hfq_crc_wt:1,-0.4251430131,0.138263982
Catabolite_repression:del_hfq_crc_wt:2,0.4251430131,-0.138263982
Catabolite_repression:delHfq:1,-2.0774841471,-1.5673095479999999
Catabolite_repression:delHfq:2,-1.7288058802,-1.570071273
Catabolite_repression:deldcrc:1,-5.5719483062,-1.2768697850000001
Catabolite_repression:deldcrc:2,-3.4556577407,-1.2349420260000001
Diallyl_disulphide_treatment:PAO1_ctrl_wt:1,-0.0778556345,0.090693464
Diallyl_disulphide_treatment:PAO1_ctrl_wt:2,0.3547517944,-0.038159114
Diallyl_disulphide_treatment:PAO1_ctrl_wt:3,-0.2768961599,-0.05253435
Diallyl_disulphide_treatment:PAO1_DDS:1,5.5389297565,0.265374445
Diallyl_disulphide_treatment:PAO1_DDS:2,6.230522188,0.334781174
Diallyl_disulphide_treatment:PAO1_DDS:3,5.7979158542,0.457398179
Dispersed_cells:PAO1_dispersed_wt:1,1.1216618427,0.170980192
Dispersed_cells:PAO1_dispersed_wt:2,-1.1216618427,-0.170980192
Dispersed_cells:PyhjH_dispersed:1,-3.0982733242,1.545811394
Dispersed_cells:PyhjH_dispersed:2,-1.8271870739,1.544603025
Dispersed_cells:PA01_Planktonic:1,0.1919475729,2.690381788
