,A,devR
R2,,0.7088987735333636
xmin,,-3.8857855916
xmid,,-3.0715452098862444
xmax,,5.5357560441
ystart,,-15.337861237279762
yend,,28.327632564512225
AX:AX_10_MIC:1,1.1453637794,0.1440828361
AX:AX_10_MIC:2,0.4080744368,0.1756288315
AX:AX_30_MIC:1,0.6068989129,0.1622708643
AX:AX_30_MIC:2,-0.6320800512,0.3262798163
AX:QZ_10_MIC:1,0.9154687505,0.1055125184
AX:QZ_10_MIC:2,-0.38823844100000005,0.1793820899
AX:QZ_30_MIC:1,-0.262182676,0.2755147267
AX:QZ_30_MIC:2,0.050589062500000004,0.0330585823
AX:wt:1,0.07721799260000001,-0.0375905442
AX:wt:2,-0.07721799260000001,0.0375905442
ITM_04:00h_clinic_ctrl:1,-0.5583359501,1.6260483492
ITM_04:00h_clinic_ctrl:2,0.3384958313,1.5723669840999999
ITM_04:00h_h37rv_control:1,0.1241254921,0.0652521539
ITM_04:00h_h37rv_control:2,0.06899096240000001,-0.035575427800000003
ITM_04:00h_h37rv_control:3,-0.1931164545,-0.029676726100000002
ITM_04:06h_clinic_delam:1,-14.5514382089,0.17223473620000002
ITM_04:06h_clinic_delam:2,-14.5517708021,0.1433585961
ITM_04:06h_clinic_delam:3,-15.537879635,0.2782411473
ITM_04:06h_clinic_DMSO:1,-4.5352300679,1.1521427924
ITM_04:06h_clinic_DMSO:2,-5.584927388,1.144336512
ITM_04:06h_clinic_DMSO:3,-4.2900547569,1.158191378
ITM_04:06h_h37rv_delam:1,-12.9541304771,-2.2045942243
ITM_04:06h_h37rv_delam:2,-13.9747103602,-2.6468425896000003
ITM_04:06h_h37rv_delam:3,-14.0073970384,-2.4623414277
ITM_04:06h_h37rv_DMSO:1,-5.0395613804,-0.9134443867
ITM_04:06h_h37rv_DMSO:2,-4.3627266902,-0.8150375574000001
ITM_04:06h_h37rv_DMSO:3,-4.3752199609,-0.8608099574
ITM_04:24h_clinic_delam:1,-18.1090060656,-0.1226792614
ITM_04:24h_clinic_delam:2,-17.3507435199,-0.052958167800000004
ITM_04:24h_clinic_delam:3,-17.9065851997,-0.2888270243
ITM_04:24h_clinic_DMSO:1,-8.5817924277,1.1416200114
ITM_04:24h_clinic_DMSO:2,-7.881397819,1.0145852368
ITM_04:24h_clinic_DMSO:3,-7.6838368628,1.0847818923
ITM_04:24h_h37rv_delam:1,-18.6238067591,-3.2357864825
ITM_04:24h_h37rv_delam:2,-17.2001355493,-3.0556694819
ITM_04:24h_h37rv_delam:3,-18.8630525417,-3.2795514954
ITM_04:24h_h37rv_DMSO:1,-4.453856455,-0.2148192468
ITM_04:24h_h37rv_DMSO:2,-4.8701818284,-0.4757668984
JSF:DMSO:1,-0.6101893253,0.0197201374
JSF:DMSO:2,-0.11819912910000001,-0.0200292016
JSF:DMSO:3,0.5627874187,0.0288415646
JSF:DMSO:4,0.1656010357,-0.0285325004
JSF:JSF_2019:1,2.8645418419,0.3404284779
JSF:JSF_2019:2,5.0619705604,0.49367555420000003
JSF:JSF_2019:3,3.0924273655,0.27920957020000003
JSF:JSF_2019:4,3.0378225763,0.6522132496
JSF:JSF_2026:1,1.5689861681,0.2166602944
JSF:JSF_2026:2,2.5524864843,0.42070033640000004
