,A,YdfF
R2,,0.062479446190551347
xmin,,-3.945324929
xmid,,2.369955672921993
xmax,,3.770577952
ystart,,-1.5305671735612023
yend,,-12.47458991486296
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-0.5478882574,-0.7485906370000001
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,0.5478882574,0.7485906370000001
AB569_EDTA_NaNO2:NaNO2:1,-13.5020074971,2.573798149
AB569_EDTA_NaNO2:NaNO2:2,-12.8997832627,3.402220128
AB569_EDTA_NaNO2:EDTA:1,-5.2508124362,0.7657050510000001
AB569_EDTA_NaNO2:EDTA:2,-4.3347802879,0.5534416320000001
AB569_EDTA_NaNO2:EDTA:3,-3.6585324519,0.49385754800000004
AB569_EDTA_NaNO2:NaNO2_EDTA:1,-13.4727256669,3.390838308
AB569_EDTA_NaNO2:NaNO2_EDTA:2,-13.8038249026,3.770577952
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.42661355510000004,-0.09301585400000001
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.42661355510000004,0.09301585400000001
Anthranilate_metabolism_GntR_AntP:antP:1,2.3627791453,-0.7011405860000001
Anthranilate_metabolism_GntR_AntP:antP:2,1.9838628352,-0.354089627
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.0651255115,-0.126609588
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.0651255115,0.126609588
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-0.2969961837,0.074506897
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,-0.9000075881,0.231117706
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,0.7129988224,-0.69574746
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.7714077209,-0.642189867
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-3.998136438,-3.211147345
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-4.0259091491,-3.067883579
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-4.0631519855,-2.6580587170000003
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-1.9481699962,-3.150486167
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.6010064657,-0.5747929740000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,0.3005775113,0.23301627200000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,-0.4625074604,0.61620662
Catabolise_Nucleic_Acids:L_asp:1,-3.3195669358,0.49567087400000004
Catabolise_Nucleic_Acids:L_asp:2,-5.463469733,0.43516973000000003
Catabolise_Nucleic_Acids:DNA_1:1,0.901748206,0.13644688800000002
Catabolise_Nucleic_Acids:DNA_1:2,-0.7211176824000001,-0.06463363200000001
Catabolise_Nucleic_Acids:DNA_1:3,-0.18063052370000002,-0.071813256
Catabolite_repression:del_hfq_crc_wt:1,-0.5801663818,0.19761566400000002
Catabolite_repression:del_hfq_crc_wt:2,0.5801663818,-0.19761566400000002
Catabolite_repression:delHfq:1,-0.2730052988,-0.34768539200000004
Catabolite_repression:delHfq:2,-0.5539447223,-0.170607889
Catabolite_repression:deldcrc:1,-6.3528667237,0.129488064
Catabolite_repression:deldcrc:2,-5.8152694151,0.18830928500000002
Diallyl_disulphide_treatment:PAO1_ctrl_wt:1,0.0680751816,-0.047072383
Diallyl_disulphide_treatment:PAO1_ctrl_wt:2,-0.0877972313,0.14201439
Diallyl_disulphide_treatment:PAO1_ctrl_wt:3,0.0197220497,-0.09494200700000001
Diallyl_disulphide_treatment:PAO1_DDS:1,3.3535063913,-1.35318078
Diallyl_disulphide_treatment:PAO1_DDS:2,0.9649024117,-1.222381219
Diallyl_disulphide_treatment:PAO1_DDS:3,3.104053395,-1.142508095
Dispersed_cells:PAO1_dispersed_wt:1,1.8009022336,-0.9074486570000001
Dispersed_cells:PAO1_dispersed_wt:2,-1.8009022336,0.9074486570000001
Dispersed_cells:PyhjH_dispersed:1,1.6940123454,1.259100838
Dispersed_cells:PyhjH_dispersed:2,1.8827785647000002,1.014420579
Dispersed_cells:PA01_Planktonic:1,-7.0513061782,2.197187408
Dispersed_cells:PA01_Planktonic:2,-4.2395326052,1.4307328990000001
Dispersed_cells:PAO1_Biofilm:1,3.7631740961,1.8525777429999999
Dispersed_cells:PAO1_Biofilm:2,6.9845676048000005,1.531859577
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:1,-2.5361843735000003,-0.6077722790000001
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:2,-3.5875044438,-0.879295711
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_Doxorubicin:3,-4.9292961262,-0.92859304
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:1,-0.4544212267,-0.17579661600000002
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:2,0.5028581812,-0.018548995000000002
Doxorubicin_treatment:PAO1 _wspFpelApslBCD_wt:3,-0.0484369544,0.194345612
Farnesol_treatment:RNA of 0-1F_L:1,0.5725641323,-0.010738267000000001
Farnesol_treatment:RNA of 0-1F_L:2,-0.5268670817000001,0.052608502
Farnesol_treatment:RNA of 0-1F_L:3,-0.045697050600000004,-0.041870235000000006
Farnesol_treatment:RNA of 6-F_L1:1,0.827344179,-0.065061376
Farnesol_treatment:RNA of 6-F_L1:2,0.0689261693,-0.08912304700000001
Farnesol_treatment:RNA of 6-F_L1:3,0.5583440525,0.33161218600000003
G_Quadruplex_Gene_Regulation:rG4seq_P_K_rep:1,0.7448329639,0.02705275
