,regulator,regulator_id,gene_id,gene_name,Strain,gene_id (evidence),evidence,Ims,Link,Unnamed: 9
0,AphA,PN96_RS14990,PN96_RS00310,csrD,V. cholerae E7946,VC0398,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
1,AphA,PN96_RS14990,PN96_RS01105,eno,V. cholerae E7946,VC2447,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
2,AphA,PN96_RS14990,PN96_RS01930,chrA,V. cholerae E7946,VC2339,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
3,AphA,PN96_RS14990,PN96_RS03335,,V. cholerae E7946,VC1021,Chip-Seq,6.0,https://doi.org/10.1371/journal.pgen.1008362,
4,AphA,PN96_RS14990,PN96_RS04580,,V. cholerae E7946,VCA0291,Chip-Seq,40.0,https://doi.org/10.1371/journal.pgen.1008362,
5,AphA,PN96_RS14990,PN96_RS05995,,V. cholerae E7946,VC1523,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
6,AphA,PN96_RS14990,PN96_RS07470,,V. cholerae E7946,VC1153,Chip-Seq,20.0,https://doi.org/10.1371/journal.pgen.1008362,
7,AphA,PN96_RS14990,PN96_RS07475,,V. cholerae E7946,VC1152,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
8,AphA,PN96_RS14990,PN96_RS09765,,V. cholerae E7946,VC2212,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
9,AphA,PN96_RS14990,PN96_RS11145,brnQ,V. cholerae E7946,VC0662,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
10,AphA,PN96_RS14990,PN96_RS11150,,V. cholerae E7946,VC0661,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
11,AphA,PN96_RS14990,PN96_RS12145,rpsS,V. cholerae E7946,VC2592,Chip-Seq,29.0,https://doi.org/10.1371/journal.pgen.1008362,
12,AphA,PN96_RS14990,PN96_RS12955,add,V. cholerae E7946,VC2751,Chip-Seq,17.0,https://doi.org/10.1371/journal.pgen.1008362,
13,AphA,PN96_RS14990,PN96_RS14760,hflK,V. cholerae E7946,VC0349,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
14,AphA,PN96_RS14990,PN96_RS14990,,V. cholerae E7946,VC2647,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
15,AphA,PN96_RS14990,PN96_RS22765,,V. cholerae E7946,VCA0163,Chip-Seq,,https://doi.org/10.1371/journal.pgen.1008362,
16,ArgR,PN96_RS11860,PN96_RS00585,argF,Vibrio parahaemolyticus RIMD 2210633,VP2653,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
17,ArgR,PN96_RS11860,PN96_RS00590,arcA,Vibrio parahaemolyticus RIMD 2210633,VP2652,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
18,ArgR,PN96_RS11860,PN96_RS02050,argA,Vibrio parahaemolyticus RIMD 2210633,VP2371,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
19,ArgR,PN96_RS11860,PN96_RS14820,argD,Vibrio parahaemolyticus RIMD 2210633,VP2797,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
20,ArgR,PN96_RS11860,PN96_RS14825,astA,Vibrio parahaemolyticus RIMD 2210633,VP2796,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
21,ArgR,PN96_RS11860,PN96_RS14830,astD,Vibrio parahaemolyticus RIMD 2210633,VP2795,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
22,ArgR,PN96_RS11860,PN96_RS14995,argG,Vibrio parahaemolyticus RIMD 2210633,VP2757,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
23,ArgR,PN96_RS11860,PN96_RS15000,argE,Vibrio parahaemolyticus RIMD 2210633,VP2760,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
24,ArgR,PN96_RS11860,PN96_RS15005,argC,Vibrio parahaemolyticus RIMD 2210633,VP2759,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
25,ArgR,PN96_RS11860,PN96_RS15010,argB,Vibrio parahaemolyticus RIMD 2210633,VP2758,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
26,ArgR,PN96_RS11860,PN96_RS15015,,V. cholerae strain N16961,VC2642,BioCyc,35.0,https://biocyc.org/gene?orgid=VCHO&id=VC0431-MONOMER#tab=REGULON,
27,ArgR,PN96_RS11860,PN96_RS15020,argH,Vibrio parahaemolyticus RIMD 2210633,VP2756,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
28,ArgR,PN96_RS11860,PN96_RS21600,artM,Vibrio parahaemolyticus RIMD 2210633,VPA0639,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
29,ArgR,PN96_RS11860,PN96_RS21605,artQ,Vibrio parahaemolyticus RIMD 2210633,VPA0638,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
30,ArgR,PN96_RS11860,PN96_RS21610,artI,Vibrio parahaemolyticus RIMD 2210633,VPA0637,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
31,ArgR,PN96_RS11860,PN96_RS21615,artP,Vibrio parahaemolyticus RIMD 2210633,VPA0636,RegPrecise,35.0,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=2347,
32,BirA,PN96_RS00055,PN96_RS08000,bioD,Vibrio parahaemolyticus RIMD 2210633,VP1116,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=1600,
33,BirA,PN96_RS00055,PN96_RS08005,bioC,Vibrio parahaemolyticus RIMD 2210633,VP1115,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=1600,
34,BirA,PN96_RS00055,PN96_RS08010,bioF,Vibrio parahaemolyticus RIMD 2210633,VP1114,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=1600,
35,BirA,PN96_RS00055,PN96_RS08015,bioB,Vibrio parahaemolyticus RIMD 2210633,VP1113,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=1600,
36,BirA,PN96_RS00055,PN96_RS08020,bioA,Vibrio parahaemolyticus RIMD 2210633,VP1112,RegPrecise,,http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulog.jsp?regulog_id=1600,
37,Cobalamin,RF00174,PN96_RS14280,COG2102,Vibrio parahaemolyticus RIMD 2210633,VP2937,RegPrecise,,https://regprecise.lbl.gov/regulon.jsp?regulon_id=40255,
38,Cobalamin,RF00174,PN96_RS14285,COG0796,Vibrio parahaemolyticus RIMD 2210633,VP2936,RegPrecise,,https://regprecise.lbl.gov/regulon.jsp?regulon_id=40255,
39,Crp,PN96_RS14840,PN96_RS00060,coaA,V. cholerae strain N16961,VC0320,BioCyc,,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
40,Crp,PN96_RS14840,PN96_RS00295,galU,V. cholerae strain N16961,VC0395,BioCyc,41.0,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
41,Crp,PN96_RS14840,PN96_RS00460,,V. cholerae strain N16961,VC2536,BioCyc,,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
42,Crp,PN96_RS14840,PN96_RS00585,,V. cholerae strain N16961,VC2508,BioCyc,35.0,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
43,Crp,PN96_RS14840,PN96_RS00590,arcA,V. cholerae strain N16961,VC0423,Chip-Seq,,https://doi.org/10.1128/mBio.00966-18,
44,Crp,PN96_RS14840,PN96_RS00595,rraB,V. cholerae strain N16961,VC0424,Chip-Seq,,https://doi.org/10.1128/mBio.00966-18,
45,Crp,PN96_RS14840,PN96_RS00625,pepA,V. cholerae strain N16961,VC2501,BioCyc,,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
46,Crp,PN96_RS14840,PN96_RS00940,,V. cholerae strain N16961,VC0482,BioCyc,,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
47,Crp,PN96_RS14840,PN96_RS00950,serA,V. cholerae strain N16961,VC2481,BioCyc,,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
48,Crp,PN96_RS14840,PN96_RS00955,rpiA,V. cholerae strain N16961,VC2480,BioCyc,,https://biocyc.org/gene?orgid=VCHO&id=VC2614-MONOMER#tab=REGULON,
