,name,x,y,cog,color,link
meta,start,0.08395297770722666,,,,
PA0001,dnaA,483,-0.0025721346,"Replication, recombination and repair",#1e90ff,
PA0002,dnaN,2056,-0.0023964353000000002,"Replication, recombination and repair",#1e90ff,
PA0003,recF,3169,0.0090685158,"Replication, recombination and repair",#1e90ff,
PA0004,gyrB,4275,0.0034334424000000002,"Replication, recombination and repair",#1e90ff,
PA0005,lptA,7018,-0.0035666485,Lipid transport and metabolism,#87cefa,
PA0006,PA0006,7803,0.0013252054,Carbohydrate transport and metabolism,#ffc0cb,
PA0007,PA0007,8671,-0.0059049048,Energy production and conversion,#708090,
PA0008,glyS,10434,-0.0028215547000000002,"Translation, ribosomal structure and biogenesis",#daa520,
PA0009,glyQ,12488,0.0022528035,"Translation, ribosomal structure and biogenesis",#daa520,
PA0010,tag,13540,0.007329599500000001,"Replication, recombination and repair",#1e90ff,
PA0011,PA0011,14235,-0.0027183926000000002,Cell wall/membrane/envelope biogenesis,#c71585,
PA0012,PA0012,15207,0.0020564488,Function unknown,#0000ff,
PA0013,PA0013,15620,-0.0072309523,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PA0014,PA0014,16335,0.0117061204,No COG annotation,#00bfbf,
PA0015,PA0015,16900,0.0024890387,Cell motility,#da70d6,
PA0016,trkA,17366,-0.0036544476,Inorganic ion transport and metabolism,#8b4513,
PA0017,PA0017,18767,-0.006112192000000001,"Translation, ribosomal structure and biogenesis",#daa520,
PA0018,fmt,20068,0.0046478009,"Translation, ribosomal structure and biogenesis",#daa520,
PA0019,def,21067,0.0026433824000000002,"Translation, ribosomal structure and biogenesis",#daa520,
PA0020,PA0020,21712,0.00044002300000000005,Function unknown,#0000ff,
PA0021,PA0021,22872,-0.0149924648,"Replication, recombination and repair",#1e90ff,
PA0022,PA0022,24001,0.0014837348,"Translation, ribosomal structure and biogenesis",#daa520,
PA0023,qor,24568,0.0011729603000000001,Energy production and conversion,#708090,
PA0024,hemF,25736,-0.0002663876,Coenzyme transport and metabolism,#d3d3d3,
PA0025,aroE,26711,-0.0042206093,Amino acid transport and metabolism,#ff0000,
PA0026,plcB,27646,0.0039465387,No COG annotation,#00bfbf,
PA0027,PA0027,28613,-0.0085464854,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0028,PA0028,29896,-0.0235724615,No COG annotation,#00bfbf,
PA0029,PA0029,30502,-0.0085889031,Inorganic ion transport and metabolism,#8b4513,
PA0030,PA0030,32060,-0.0086217651,Amino acid transport and metabolism,#ff0000,
PA0031,betC,33000,0.016059805,Inorganic ion transport and metabolism,#8b4513,
PA0032,PA0032,34624,-0.004240999200000001,Transcription,#000000,
PA0032a,PA0032a,35549,-0.003125815,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
PA0033,PA0033,35905,-0.0023557263,Signal transduction mechanisms,#f4a460,
PA0034,PA0034,36278,-0.0041901921,Transcription,#000000,
