locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoN,FhlA,link
b2725,0.4413466911,hycA,regulator of the transcriptional regulator FhlA,Transcription,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10474
b2724,0.3867599463,hycB,formate hydrogenlyase subunit HycB,Energy production and conversion,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10475
b2722,0.2672506565,hycD,formate hydrogenlyase subunit HycD,Energy production and conversion,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10477
b2720,0.2511967459,hycF,formate hydrogenlyase subunit HycF,Energy production and conversion,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10479
b2723,0.2490617718,hycC,formate hydrogenlyase subunit HycC,Energy production and conversion,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10476
b2721,0.2381900302,hycE,formate hydrogenlyase subunit HycE,Energy production and conversion,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10478
b2713,0.2158999017,hydN,putative electron transport protein HydN,Energy production and conversion,hydN-hypF,"RpoN,FlhDC,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11552
b2719,0.16764310570000002,hycG,formate hydrogenlyase subunit HycG,Energy production and conversion,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10480
b2718,0.12774971840000002,hycH,formate hydrogenlyase assembly protein,Amino acid transport and metabolism,hycABCDEFGHI,"RpoN,NsrR,ModE,IHF,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10481
b4079,0.1043549074,fdhF,formate dehydrogenase H,Energy production and conversion,fdhF,"YeiE,RpoN,Fnr,NarP,NarL,FhlA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10285
