,A,AntR
R2,,0.7015052307481457
xmin,,-2.854843603
xmid,,0.1973316464538134
xmax,,5.286107627
ystart,,-0.4645916067928463
yend,,22.543616107687686
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-0.2413194123,0.279574052
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,0.2413194123,-0.279574052
AB569_EDTA_NaNO2:NaNO2:1,6.0728534436,2.058973695
AB569_EDTA_NaNO2:NaNO2:2,6.6535636577,2.08887404
AB569_EDTA_NaNO2:EDTA:1,2.9443876047,0.118709217
AB569_EDTA_NaNO2:EDTA:2,0.1486229053,0.518326721
AB569_EDTA_NaNO2:EDTA:3,1.2955184445999999,0.8018173200000001
AB569_EDTA_NaNO2:NaNO2_EDTA:1,6.7466833766,1.7698611940000002
AB569_EDTA_NaNO2:NaNO2_EDTA:2,6.689989375,1.948754944
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.2911116279,0.059485734000000005
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.2911116279,-0.059485734000000005
Anthranilate_metabolism_GntR_AntP:antP:1,12.5185741254,2.552072836
Anthranilate_metabolism_GntR_AntP:antP:2,12.4760226249,2.8528579140000003
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.1269870321,-0.045422758
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.1269870321,0.045422758
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,1.8444662938,0.21860567800000003
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,1.4286585802,0.622869079
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,0.5421582548,-0.23932239900000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.6365112066,0.186711639
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-2.4679167622,-2.659353337
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-1.8767620822,-2.854843603
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-1.6268579639,-2.403873342
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-1.9586425835,-2.533019207
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.8138418538000001,0.10880850700000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,0.7739188279,0.665886865
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,0.7806302934,0.780895301
Catabolise_Nucleic_Acids:L_asp:1,-0.2152693186,0.341947612
Catabolise_Nucleic_Acids:L_asp:2,-5.3808136243,-0.628552286
Catabolise_Nucleic_Acids:DNA_1:1,0.12279395870000001,0.205481132
Catabolise_Nucleic_Acids:DNA_1:2,0.7272633735,0.282935256
Catabolise_Nucleic_Acids:DNA_1:3,-0.8500573322,-0.488416387
