,A,Sfa2
R2,,0.6944287868110539
xmin,,-5.457867501
xmid,,-2.0714394158778435
xmax,,4.749796405
ystart,,-9.444718845880933
yend,,21.354968059706785
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,2.2405984512,0.023274719000000003
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,-2.2405984512,-0.023274719000000003
AB569_EDTA_NaNO2:NaNO2:1,-12.6651166864,-1.344278783
AB569_EDTA_NaNO2:NaNO2:2,-12.5361531415,-1.268301178
AB569_EDTA_NaNO2:EDTA:1,-16.2354138194,-2.7112614710000003
AB569_EDTA_NaNO2:EDTA:2,-15.6056887699,-2.034886231
AB569_EDTA_NaNO2:EDTA:3,-14.6618184696,-1.909748187
AB569_EDTA_NaNO2:NaNO2_EDTA:1,-14.3504711758,-1.358997966
AB569_EDTA_NaNO2:NaNO2_EDTA:2,-13.8632388103,-1.589942114
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.1154236143,-0.108546187
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.1154236143,0.108546187
Anthranilate_metabolism_GntR_AntP:antP:1,3.8062058606,0.290684188
Anthranilate_metabolism_GntR_AntP:antP:2,3.2410969424,0.511568447
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,0.1840665434,-0.018538274
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,-0.1840665434,0.018538274
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-1.8629754405,-0.095380056
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,-1.6912227818,0.7254566250000001
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,1.4513349785,0.18515172700000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.4759875021,0.46859464900000003
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-8.0669930709,-1.6322577360000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-6.1102773074,-1.3947059130000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-7.6437948361,-1.3300944110000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-6.825950826,-1.573444429
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.5603651883,0.505279723
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,0.6465178259000001,0.590251905
