,A,sigK
R2,,0.7568278595365384
xmin,,6.9517
xmid,,
xmax,,15.7367
ystart,,-18.017620676753104
yend,,46.41144496547781
M9exp_1,5.66235785581,8.6178
M9exp_2,6.24582705645,8.3599
M9exp_3,-11.9081849123,7.6103
M9tran_1,-10.9196153394,8.1205
M9tran_2,-10.411223225599999,8.3123
M9tran_3,-12.925119047999999,8.1061
M9stat_1,2.30575212427,10.1831
M9stat_2,1.82480806876,8.3991
M9stat_3,1.59784686456,8.1221
MG-0.1_1,-5.7373019553199995,7.5512
MG-0.1_2,-8.854586162999999,6.9517
MG-0.1_3,-16.8182906879,7.3805
MG-0.2_2,-11.244763933900002,7.0622
MG-0.2_3,-11.4485158282,7.4915
MG+5_1,-8.27210754814,7.7595
MG+5_2,-13.917235164800001,7.0098
MG+5_3,-8.73099855692,7.6269
MG+10_1,-12.8693358096,7.5605
MG+10_2,-14.5121952276,7.1919
MG+10_3,-5.3618317939199995,7.8694
MG+15_1,-8.76263534362,7.5416
MG+15_2,-13.8384822872,7.8795
MG+15_3,-15.0907540871,7.3889999999999985
MG+25_1,-12.3379632476,7.7238
MG+25_2,-12.100829275899999,7.4864
MG+25_3,-15.0322211345,7.3303
MG+45_1,-12.5619108434,7.6835
MG+45_2,-9.39495453336,7.3428
MG+45_3,-17.0225043817,7.4893
MG+60_2,-12.3482952059,7.6444
MG+60_3,-10.3355930491,7.7164
MG+90_2,-14.3892637877,7.2017
MG+90_3,-16.907329323800006,7.3035
MG+120_1,-7.58537698886,7.865
MG+120_2,-15.552153756600001,7.7157
MG+120_3,-14.1899793874,7.2908
MG+150_1,-12.277342246099998,8.0766
MG+150_3,-13.516361623900002,7.7766
GM-0.1_1,-9.96493691279,7.7296
GM-0.1_2,-16.1436991806,7.4911
GM-0.1_3,-13.3727426224,7.9518
GM-0.2_1,-5.65516275036,8.1806
GM-0.2_2,-11.9399688152,7.8187
GM-0.2_3,-16.647708542100002,7.6441
GM+5_1,-9.848453841960001,7.7788
GM+5_2,-17.3491521475,7.42
GM+5_3,-15.650927581500001,7.8913
GM+10_2,-16.2269317188,7.2171
GM+10_3,-8.98849044103,7.4962
GM+15_1,-12.434474827799999,7.8954
GM+15_2,-12.0349141782,7.5127
GM+15_3,-13.6442739249,7.7944
GM+25_1,-14.9505355004,8.0194
GM+25_2,-14.580211175499999,7.4702
GM+25_3,-8.997236334419998,7.9083
GM+45_1,-13.6741149435,8.0639
