,A,LaoR,AtuR
R2,,0.32677552307904023,0.2700158416913788
xmin,,-1.84358705,-6.810864039
xmid,,0.39613610964757895,
xmax,,3.2756091830000003,2.142193337
ystart,,0.09346676137818744,-14.5687438243797
yend,,15.717901172554118,5.390752731360363
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:1,-0.601603874,-0.008795961,-0.198644607
AB569_EDTA_NaNO2:EDTA_NaNo2_wt:2,0.601603874,0.00879596,0.198644607
AB569_EDTA_NaNO2:NaNO2:1,2.91750176,0.6356598920000001,1.144809355
AB569_EDTA_NaNO2:NaNO2:2,4.791228016,0.152196825,1.392369785
AB569_EDTA_NaNO2:EDTA:1,1.951255457,0.176829226,0.6016520710000001
AB569_EDTA_NaNO2:EDTA:2,1.407813012,0.46281551200000004,0.6538451150000001
AB569_EDTA_NaNO2:EDTA:3,1.161307256,0.179998751,0.6143846510000001
AB569_EDTA_NaNO2:NaNO2_EDTA:1,5.765050668,0.6836964170000001,1.367510185
AB569_EDTA_NaNO2:NaNO2_EDTA:2,6.381840624,1.060869621,1.696137631
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:1,0.052712957000000005,-0.08224911400000001,-0.004329568000000001
Anthranilate_metabolism_GntR_AntP:GntR_AntP_wt:2,-0.052712957000000005,0.08224911400000001,0.004329568000000001
Anthranilate_metabolism_GntR_AntP:antP:1,-1.161556392,-0.485135305,-0.379433409
Anthranilate_metabolism_GntR_AntP:antP:2,-1.877779135,-0.041571633000000004,-0.33051716000000003
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:1,-0.177436059,-0.017811165,-0.032438426
Antibiotics_impregnated_catheters:PA01_Planktonic_Ctrl:2,0.177436059,0.017811164,0.032438425
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:1,-0.542580308,-0.13522603700000002,0.074601844
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:2,0.22335506600000002,-0.19644168,0.252160435
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:3,0.262863581,0.286031119,-0.092585346
Antibiotics_impregnated_catheters:PA01_Biofilm_Ctrl:4,0.7343451630000001,-0.216619356,-0.06759846500000001
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:1,-7.564564627,-1.5139866400000002,-2.153468987
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:2,-6.173649654,-1.520033804,-1.7826220460000002
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:3,-7.39206523,-1.424522071,-1.48570142
Antibiotics_impregnated_catheters:PA01_Planktonic_Clin-Rif:4,-7.4820955,-1.415388061,-1.930809253
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:1,0.8570301010000001,-0.025465526000000002,0.018911518000000002
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:2,0.843833575,0.11286733,0.426807959
Antibiotics_impregnated_catheters:PA01_Biofilm_Clin-Rif:3,1.037066469,0.066471549,0.589236246
Pseudomonas_culture_Cisplatin_Bile:PAO1_untreated:1,-0.17989345,0.057310517000000005,0.057645694000000004
Pseudomonas_culture_Cisplatin_Bile:PAO1_untreated:2,0.17989345,-0.057310518000000005,-0.057645694000000004
