locus,gene_weight,gene_name,gene_product,cog,regulator,mraZ,link
STM0129,0.15402595560000001,murC,L-alanine adding enzyme,Cell wall/membrane/envelope biogenesis,"lexA,mraZ,pdhR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0129
STM0130,0.1451387633,ddlB,D-alanine-D-alanine ligase B,Nucleotide transport and metabolism,"lexA,mraZ,pdhR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0130
STM0131,0.1406765698,ftsQ,cell division protein,"Cell cycle control, cell division, chromosome partitioning","lexA,lrp,mraZ,pdhR,rpoD,rpoS,sdiA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0131
STM0128,0.1399487027,murG,UDP-N-acetylglucosamine:N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,Cell wall/membrane/envelope biogenesis,"lexA,mraZ,pdhR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0128
STM0230,0.12540767690000001,rnhB,RNAse HII,"Replication, recombination and repair",rpoE,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0230
STM0127,0.1170234083,ftsW,essential cell division gene,"Cell cycle control, cell division, chromosome partitioning","lexA,mraZ,pdhR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0127
STM3929,0.11204046100000001,wecG,putative UDP-N-acetyl-D-mannosaminuronic acid transferase,Nucleotide transport and metabolism,"nac,nsrR,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3929
STM0229,0.10870789930000001,lpxB,tetraacyldisaccharide-1-P,Cell wall/membrane/envelope biogenesis,rpoE,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0229
STM0132,0.10687966850000001,ftsA,ATP-binding cell division protein,"Cell cycle control, cell division, chromosome partitioning","lexA,lrp,mraZ,pdhR,rcsB,rpoD,rpoS,sdiA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0132
STM3715,0.1068747954,rfaZ,lipopolysaccharide core biosynthesis protein,Function unknown,"marA,nac,rpoD,soxS",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3715
STM3927,0.10276666920000001,STM3927,putative inner membrane protein,Energy production and conversion,"nac,nsrR,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3927
STM0231,0.0986091503,dnaE,DNA polymerase III%2C alpha subunit,"Replication, recombination and repair",rpoE,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0231
STM4155,0.0984086505,STM4155,putative inner membrane protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4155
STM3615,0.09158191210000001,yhjK,putative diguanylate cyclase/phosphodiesterase,Signal transduction mechanisms,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3615
STM2993,0.0904701886,recD,exonuclease V%2C alpha chain,"Replication, recombination and repair","lexA,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2993
STM3616,0.0868396862,yhjL,putative TPR-repeat-containing protein,"Post-translational modification, protein turnover,and chaperones",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3616
STM3717,0.08626744160000001,rfaJ,UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase,Cell wall/membrane/envelope biogenesis,"nac,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3717
STM2088,0.0841632543,rfbX,putative O-antigen transferase,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2088
STM3926,0.0788476577,wzxE,O-antigen translocase in LPS biosynthesis,"Intracellular trafficking, secretion, and vesicular transport","nac,nsrR,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3926
STM0126,0.0774194574,murD,UDP-N-acetylmuramoylalanine-D-glutamate ligase,Cell wall/membrane/envelope biogenesis,"lexA,mraZ,pdhR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0126
STM3696,-0.0789446736,STM3696,putative transcriptional regulator,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3696
STM3699,-0.08444956590000001,cysE,serine acetyltransferase,Amino acid transport and metabolism,sutR,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3699
