locus,gene_weight,gene_name,gene_product,cog,operon,regulator,old_locus_tag,synonyms,link
SACI_RS08335,0.3663003990096395,Saci_1744,DUF3311 domain-containing protein,No COG annotation,Op982,,Saci_1744,,https://www.uniprot.org/uniprot/A0A0U3H881
SACI_RS03460,0.3311804897983517,SACI_RS03460,hypothetical protein,No COG annotation,Op387,,,,https://www.uniprot.org/uniprot/A0A0U3FV95
SACI_RS02320,0.15763005236491867,Saci_0480,hypothetical protein,No COG annotation,Op272,,Saci_0480,,https://www.uniprot.org/uniprot/A0A0U2NCG0
SACI_RS11590,0.15368473947913047,SACI_RS11590,hypothetical protein,No COG annotation,Op429,,,,
SACI_RS11535,0.14333998996083833,SACI_RS11535,integrase,Function unknown,Op298,,,,https://www.uniprot.org/uniprot/UPI0002B29D24
SACI_RS11880,0.1292061669892085,SACI_RS11880,PIN domain nuclease,No COG annotation,Op1179,,,,
SACI_RS11940,0.12335387362217592,SACI_RS11940,hypothetical protein,No COG annotation,Op1110,,,,https://www.uniprot.org/uniprot/UPI0002B260AD
SACI_RS05455,0.11570925417440645,SACI_RS05455,hypothetical protein,Energy production and conversion,Op627,,,,https://www.uniprot.org/uniprot/A0A0U3H132
SACI_RS07300,0.1114024054792296,SACI_RS07300,integrase,Function unknown,Op845,,,,https://www.uniprot.org/uniprot/UPI000B5A97B4
SACI_RS11570,-0.12197804142632372,SACI_RS11570,putative integrase,Function unknown,Op365,,,,https://www.uniprot.org/uniprot/UPI000AE9D732
SACI_RS08040,-0.12463328071784455,SACI_RS08040,hypothetical protein,No COG annotation,Op935,,,,https://www.uniprot.org/uniprot/A0A0U3GYK6
SACI_RS09900,-0.18271098357331095,Saci_2047,hypothetical protein,No COG annotation,Op1216,,Saci_2047,,https://www.uniprot.org/uniprot/A0A0U3GQM3
