k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,Null-1,,Null,Uncharacterized,0,0.011927205186894385,,,10
1,GbdR,GbdR,Glycine Betaine Catabolism,Stress,36,0.007778687783268956,0.4722222222222222,0.5483870967741935,7
2,PP_2034-7,,Benzoate catabolism,Carbon,4,0.005607168712618571,,,0
3,Multiple stress-1,,Multiple stress response,Stress,58,0.03382262454874441,,,7
4,PedR1-1,PedR1,Alcohol/aromatics catabolism,Carbon,2,0.0011456942385309477,1.0,0.058823529411764705,0
5,Acetate stress,,Acetate specific response,Stress,10,0.006667028057012692,,,7
6,Noise-1,,"Noise, PP_2520 hypothetical protein, 117 bp",Uncharacterized,1,0.0007709437366347771,,,10
7,Genomic-1,,Muconate production study,Genomic,10,0.048937004841348664,,,9
8,Zinc,,Metal related response,Element homeostasis,17,0.002119243887333422,,,3
9,TCA cycle,,TCA cycle,Carbon,55,0.007588160774590569,,,0
10,Redox,,Redox state homeostasis,Stress,3,0.006251173492552664,,,7
11,Pentose and glucuronate,,Pentose and glucuronate interconversions,Carbon,9,0.008579656246170075,,,0
12,GclR,GclR,C2 carbon metabolism,Carbon,14,0.007290905788708835,0.7142857142857143,0.5263157894736842,0
13,FnrA-1,FnrA,Redox state homeostasis,Energy generation,16,0.007104172422709665,0.1875,0.2727272727272727,2
14,Osmotic stress-1,,"Osmotic stress, lipoprotein, membrane",Stress,46,0.010120396622476546,,,7
15,Phage-1,,Phage related,Phage,29,0.005737343978594489,,,8
16,Multiple stress-2,,"Multiple stress response, PP_3231-89",Stress,9,0.006227647381483625,,,7
17,Putrescine,,Polyamine metabolism,Carbon,7,0.004176546962741723,,,0
18,Unchar-1,,Unknown,Uncharacterized,6,0.009410548854763334,,,10
19,Zur,Zur,Metal homeostasis,Element homeostasis,33,0.018591039257856767,0.5151515151515151,1.0,3
20,Unchar-2,,Unknown,Uncharacterized,28,0.011537036895334696,,,10
21,LldR,LldR,Lactate catabolism,Carbon,4,0.0033166578450779527,0.75,0.75,0
22,VanR,VanR,Aromatic acid catabolism,Carbon,4,0.002390685647482682,0.75,1.0,0
23,Osmotic stress-2,,Osmotic stress response,Stress,31,0.016068128846303043,,,7
24,ColR,ColR,Metal related response,Element homeostasis,11,0.00342745918470444,0.2727272727272727,0.2727272727272727,3
25,Unchar-3,,Unknown,Uncharacterized,11,0.017780782013820717,,,10
26,Exporters,,"FleQ related exporters, aldehyde stress",Stress,10,0.008094466826791713,,,7
27,BenR,BenR,Aromatic acid catabolism,Carbon,10,0.004792742265573802,0.4,1.0,0
28,PtxS,PtxS,Sugar catabolism,Carbon,11,0.012208550275057406,0.7272727272727273,1.0,0
29,Noise-2,,"Noise, PP_1176 hypothetical protein, 135 bp",Uncharacterized,1,0.0008988362514101844,,,10
30,PvdS,PvdS,Pyoverdine biosynthesis,Secondary metabolite,36,0.0066089934161359665,0.3333333333333333,0.9230769230769231,4
31,BkdR,BkdR,Starvation response,Stress,19,0.02843522309189639,0.15789473684210525,0.75,7
32,GltR-II,GltR-II,Sugar catabolism,Carbon,7,0.009041590996684779,0.7142857142857143,0.625,0
33,Unchar-4,,ICE related,Uncharacterized,5,0.0015688708196184287,,,10
34,Null-2,,Null,Uncharacterized,0,0.009719873308719373,,,10
35,T6SS,,T6SS system,Structural components,15,0.006371575487340686,,,6
36,InfA,,Translation,Translation,4,0.015479203606804437,,,5
37,PydR/RpoS,PydR,Stationary phase response,Stress,30,0.05425955752642164,0.16666666666666666,1.0,7
38,FliA,FliA,Cell mobility,Structural components,29,0.012216514444301385,0.1724137931034483,0.625,6
39,PplR1,PplR1,Light inducible iModulon,Stress,22,0.009427383953808377,0.7727272727272727,1.0,7
40,Citrate,,Citrate transportation,Carbon,5,0.0026278688003830153,,,0
41,Unchar-5,,Unknown,Uncharacterized,12,0.0028702130886141264,,,10
42,Unchar-6,,mfsR related,Uncharacterized,80,0.01007569413540832,,,10
43,AcoR,AcoR,Acetoin catabolism,Carbon,5,0.0045712886371646055,1.0,0.7142857142857143,0
44,TurA-1,TurA,Biosynthesis of lipodepsinonapeptide phytotoxins,Secondary metabolite,17,0.04045892132340401,0.9411764705882353,0.07048458149779736,4
45,Genomic-2,,TurA deletion,Genomic,4,0.0030566716940065852,,,9
46,HutC,HutC,Histidine metabolism,Amino acid,9,0.004099457139244089,0.6666666666666666,0.75,1
47,Unchar-7,,Galactose ALE specific,Uncharacterized,117,0.008255546865609031,,,10
48,Metr-I,Metr-I,Homocysteine metabolism,Amino acid,6,0.003835510700532674,0.8333333333333334,0.5,1
49,AmrZ,AmrZ,Alginate biosynthesis,Structural components,12,0.004841760959903851,1.0,0.08695652173913043,6
50,Noise-3,,"Noise, PP_5437 hypothetical protein, 183 bp",Uncharacterized,1,0.0005880911445523829,,,10
51,Phage-2,,Phage related,Phage,47,0.013292652514838244,,,8
52,HexR,HexR,Sugar catabolism,Carbon,9,0.006392568532112564,1.0,1.0,0
53,Acetate,,Acetate utilization,Carbon,4,0.004719367515891859,,,0
54,RbsR,RbsR,"Ribose, nicotinic acid catabolism",Carbon,7,0.0023036148026742698,0.7142857142857143,0.7142857142857143,0
55,Translation,,Protein synthesis,Translation,45,0.024015683376229835,,,5
56,PP_5350,PP_5350,Glyoxylate and dicarboxylate metabolism,Carbon,4,0.004006650724081795,0.75,0.42857142857142855,0
57,PedR1-2,PedR1,Alcohol/aromatics catabolism,Carbon,31,0.026118988700924106,0.8387096774193549,0.7647058823529411,0
58,PP_0204/CysB,PP_0204,Sulfur metabolism,Element homeostasis,29,0.011042874905240363,0.10344827586206896,0.375,3
59,IonicLiquid,,Triethylamine hydrogen sulfate stress,Stress,14,0.002120480861595997,,,7
60,GlnG,GlnG,Amino acid transportation,Amino acid,11,0.007485897405484332,0.8181818181818182,0.14285714285714285,1
61,Unchar-8,,potentially iron metabolism,Uncharacterized,14,0.0036717392255093406,,,10
