,A,dsdC
R2,,0.1838616434637771
xmin,,-3.5169621592
xmid,,-0.965958928457598
xmax,,3.3763330276
ystart,,-2.313797810177125
yend,,6.0451237867491265
2AA:WT:1.0,0.1186817517,0.35706102770000003
2AA:WT:2.0,0.19221557220000002,-0.24356204180000002
2AA:WT:3.0,-0.9140956823,-0.0561498306
2AA:WT:4.0,0.6031983584,-0.0573491552
2AA:del_ridA:1.0,-0.1343277675,0.5171582142
2AA:del_ridA:2.0,-0.5302803695,0.187905239
2AA:del_ridA:3.0,-0.43876614300000005,0.0276273007
2AA:del_ridA:4.0,-0.48537665900000004,0.2826384722
GC_MS:WT:1.0,0.1153817057,-0.0696226033
GC_MS:WT:2.0,0.15038167600000002,0.016963244000000002
GC_MS:WT:3.0,-0.2657633817,0.0526593594
GC_MS:del_slyA:1.0,-0.8665743443,-0.250427383
GC_MS:del_slyA:2.0,-1.3483913289,-0.4608593709
Rho:WT:1.0,-0.019985488500000002,0.1101437856
Rho:WT:2.0,-0.2594284189,-0.1011896079
Rho:WT:3.0,0.2794139074,-0.0089541777
Rho:rho_Y80C:1.0,-5.0001326366,-1.0247708924
Rho:rho_Y80C:2.0,-4.0483356956,-1.6609368424
Rho:rho_Y80C:3.0,-4.315434651,-1.3067382872
Rho:rho_K130Q:1.0,-1.0339720577,-0.5526013419
Rho:rho_K130Q:2.0,-1.1633757132,-0.6065390859
Rho:rho_K130Q:3.0,-1.1726478446,-0.7940942273
flagella:WT:1.0,-0.0159919793,0.4941592705
flagella:WT:2.0,0.0159919793,-0.4941592705
flagella:del_rfaL:1.0,-0.4803941926,0.0029229628
flagella:del_rfaL:2.0,-0.9694543967,0.19318502270000001
flagella:del_rfaG:1.0,-2.2843047795,0.286318356
flagella:del_rfaG:2.0,-2.0281119326,0.8095472495
flagella:del_rfaD:1.0,-1.9086841432,0.5504686681000001
flagella:del_rfaD:2.0,-2.1006705898,0.3294971619
nusG:WT_OD08:1.0,0.5601512931,-0.0235772546
nusG:WT_OD08:2.0,-0.5601512931,0.0235772546
omv:spi2_ind_lowOD_intracellularRNAs:1.0,0.7956758254,0.3093621817
omv:spi2_ind_lowOD_intracellularRNAs:2.0,-0.8168643705,0.1405537368
omv:spi2_ind_highOD_intracellularRNAs:1.0,1.5275050612,0.37783634110000003
omv:spi1_ind_highOD_intracellularRNAs:1.0,-0.0961645773,-0.0448009661
omv:spi2_ind_highOD_intracellularRNAs:2.0,1.474697275,0.5076537415
omv:spi2_ind_highOD_intracellularRNAs:3.0,0.6900336025,0.3306035277
omv:controlPCN_highOD_intracellularRNAs:1.0,-4.6800625556,0.7104464157
omv:controlPCN_highOD_intracellularRNAs:2.0,-3.0374098583,0.8119027240000001
omv:controlPCN_highOD_intracellularRNAs:3.0,-3.8450910107,0.6942611864
omv:spi1_ind_highOD_intracellularRNAs:2.0,-0.2671194356,-0.0229663489
omv:spi1_ind_highOD_intracellularRNAs:3.0,-0.4139982082,-0.0736454039
omv:controlPCN_lowOD_intracellularRNAs:1.0,-0.3450668974,0.0379348636
omv:controlPCN_lowOD_intracellularRNAs:2.0,0.7925785876,-0.1090849582
omv:spi2_ind_lowOD_intracellularRNAs:3.0,-0.7298403082,0.22662477120000002
omv:controlPCN_lowOD_intracellularRNAs:3.0,-0.44751169030000004,0.0711500947
sv5015:STM1625:1.0,-0.9145848871000001,1.0417865797
sv5015:STM1625:2.0,-1.3196162831,1.1240498965
