,Value,list
TF,CcpA,
reg_genes,121,"['acuA' 'USA300HOU_RS12515' 'arcA' 'nupC' 'treR' 'arcC' 'malR' 'kipI'
 'arcD' 'glvC' 'pfkB' 'rbsD' 'pyK' 'USA300HOU_RS13605' 'sdhC' 'sdcS'
 'hlyiiI' 'acuC' 'rbsU' 'glpD' 'deoc2' 'rbsK' 'mvaA' 'drp35'
 'USA300HOU_RS06740' 'psuG' 'malD' 'nagC' 'dhaK' 'icD' 'araB'
 'USA300HOU_RS01120' 'putP' 'hutH' 'fadE' 'USA300HOU_RS13735' 'fhS'
 'USA300HOU_RS02145' 'yjcG' 'cp_1013' 'mvaS' 'manP' 'sdaA' 'citZ' 'pflA'
 'glpK' 'malC' 'ybeC' 'arcR' 'fruR' 'glpT' 'alD' 'rocF' 'sdaaB' 'accC'
 'msmK' 'ipdC' 'murQ' 'fbA' 'uhpT' 'lapC' 'pfkA' 'pflB' 'acnA' 'yifK'
 'ybbF' 'tdH' 'gcvH' 'ybgL' 'gltS' 'spA' 'dhaL' 'fadX' 'treC' 'liP' 'fbP'
 'arcB' 'ptsG' 'glvR' 'fadA' 'nupC' 'scrA' 'USA300HOU_RS01005' 'malA'
 'accB' 'pmI' 'gudB' 'sdhB' 'USA300HOU_RS09665' 'USA300HOU_RS14350'
 'USA300HOU_RS01020' 'glpF' 'USA300HOU_RS01115' 'kipA' 'ccpA' 'fruA' 'hlA'
 'ydjM' 'ycsG' 'treP' 'sdhA' 'fadB' 'aldA' 'scrR' 'kbL' 'pckA' 'rocD'
 'fadD' 'malX' 'dhaM' 'rocA']"
comp_genes,19,"['mtlA' 'USA300HOU_RS01760' 'USA300HOU_RS13205' 'sgaB' 'USA300HOU_RS01765'
 'USA300HOU_RS01695' 'gapB' 'nanE' 'ulaA']"
both_genes,10,"['hutU' 'ssS' 'acsA' 'gntK' 'USA300HOU_RS11765' 'nanA' 'hutI' 'gntR'
 'putA' 'gntP']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,69,
comp_ops,10,
both_ops,6,
