,argA
Cr_1,0.005885800098370725
Cr_2,0.007201284730415855
Cr_3,0.0042170615685014935
Cr_4,0.004756702470886109
Cr_5,0.008920510371869033
Cr_6,0.012745863292553894
Fe_1,0.008094235517760472
Fe_2,0.04347939848547177
Fe_3,0.08541417264602044
Fe_4,0.13755592742921532
Fe_5,0.19586680618923408
Fe_6,0.2470044333697483
Cd_1,-2.8291185819940748e-05
Cd_2,0.008011564003566415
Cd_3,0.01589917069958964
Cd_4,0.02159867578019156
Cd_5,0.022983198094590342
Cd_6,0.02858762671076766
Zn_1,0.00016262544231272042
Zn_2,-0.006203702818562297
Zn_3,-0.015256911922735391
Zn_4,-0.022387436831925508
Zn_5,-0.027079446986908704
Zn_6,-0.028645073185559825
Cu_1,0.009261771327212542
Cu_2,0.02496366381576741
Cu_3,0.034117050038680805
Cu_4,0.03895120221284566
Cu_5,0.04844343323397335
Cu_6,0.05585408626377554
Pb_1,0.007083516916388986
Pb_2,0.015886620883827002
Pb_3,0.022203002678386992
Pb_4,0.02842350980508545
Pb_5,0.0326175390638325
Pb_6,0.041677412241694765
