k,Name,Regulator,Function,Category,n_genes,precision,recall,category_num
0,YieP,YieP,Unknown,Regulator Discovery,11,,,7
1,GlpR,GlpR,Glycerol catabolism,Carbon Source Utilization,9,1.0,1.0,0
2,YgbI,YgbI,Unknown Function,Regulator Discovery,9,,,7
3,efeU-repair,,Accounts for repair and expression of efeU operon,Genomic Alterations,8,,,9
4,ydcI-KO,,Accounts for ydcI knock-out,Genomic Alterations,3,,,9
5,BW25113,,Transcriptional difference between BW25113 and MG1655,Genomic Alterations,17,,,9
6,proVWX,,Glycine betaine transport,Biological Enrichment,4,,,8
7,DhaR/Mlc,DhaR or Mlc,Dihydroxyacetone kinase and phosphotransferase systems,Carbon Source Utilization,11,0.7272727272727271,0.5714285714285711,0
8,ArgR,ArgR,Arginine biosynthesis,Amino Acid and Nucleotide Biosynthesis,13,0.923076923076923,0.09836065573770501,1
9,YneJ,YneJ,Unknown Function,Regulator Discovery,5,,,7
10,NarL,NarL,Nitrate respiration,Energy Metabolism,29,0.931034482758621,0.228813559322034,2
11,e14-deletion,,Removal of e14 prophage,Genomic Alterations,11,,,9
12,MalT,MalT,Maltose catabolism,Carbon Source Utilization,9,0.8888888888888891,0.8,0
13,OxyR,OxyR,Peroxide reductases,Stress Response,8,1.0,0.170212765957447,6
14,Crp-2,Crp,Various carbon source catabolism,Carbon Source Utilization,40,0.7,0.047700170357750996,0
15,AtoC,AtoC,Acetoacetate degradation,Miscellaneous Metabolism,6,0.666666666666667,1.0,4
16,PurR-1,PurR,Purine Biosynthesis,Amino Acid and Nucleotide Biosynthesis,16,0.8125,0.36111111111111105,1
17,yheO-KO,,Accounts for yheO knock-out,Genomic Alterations,16,,,9
18,CsqR,CsqR,Sulfoquinovose catabolism,Miscellaneous Metabolism,10,0.5,1.0,4
19,MetJ,MetJ,Methionine biosynthesis,Amino Acid and Nucleotide Biosynthesis,17,0.647058823529412,0.733333333333333,1
20,entC-menF-KO,,Accounts for entC and menF knock-outs,Genomic Alterations,3,,,9
21,uncharacterized-6,,Unknown Function,Uncharacterized,54,,,10
